Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,121.487723,[486  86] ; [19 50],[450.63962559 121.36037441] ; [54.36037441 14.63962559],1
r3,1,0.0,114.440581,[565  10] ; [46 21],[547.23520249  27.76479751] ; [63.76479751  3.23520249],1
r2,1,0.0,101.967268,[555  16] ; [42 22],[536.82992126  34.17007874] ; [60.17007874  3.82992126],1
v4,1,0.0,95.042679,[563  12] ; [45 19],[547.10485133  27.89514867] ; [60.89514867  3.10485133],1
n6,1,1e-06,24.188329,[498  74] ; [43 24],[484.27543036  87.72456964] ; [56.72456964 10.27543036],1
a7,1,3.4e-05,17.204652,[430 144] ; [36 34],[415.34782609 158.65217391] ; [50.65217391 19.34782609],1
p8,1,6.6e-05,15.923024,[325 243] ; [22 47],[309.41287284 258.58712716] ; [37.58712716 31.41287284],1
s6,1,9.8e-05,15.168745,[385 182] ; [30 38],[370.55905512 196.44094488] ; [44.44094488 23.55905512],1
d1,1,0.000113,14.90865,[352 223] ; [26 44],[336.97674419 238.02325581] ; [41.02325581 28.97674419],1
a6,1,0.00024,13.487352,[402 170] ; [34 36],[388.46105919 183.53894081] ; [47.53894081 22.46105919],1
p7,1,0.000245,13.446472,[376 187] ; [29 37],[362.50397456 200.49602544] ; [42.49602544 23.50397456],1
d3,1,0.000265,13.305902,[399 174] ; [33 36],[385.57009346 187.42990654] ; [46.42990654 22.57009346],1
b1,1,0.000385,12.603166,[196 379] ; [39 31],[209.49612403 365.50387597] ; [25.50387597 44.49612403],1
p10,1,0.000462,12.262914,[523  51] ; [51 15],[514.80625  59.19375] ; [59.19375  6.80625],1
n4,1,0.000519,12.045786,[463 110] ; [44 26],[451.80559876 121.19440124] ; [55.19440124 14.80559876],1
p3,1,0.000804,11.231257,[309 265] ; [22 46],[295.94080997 278.05919003] ; [35.05919003 32.94080997],1
v2,1,0.00171,9.837064,[335 214] ; [28 40],[322.99351702 226.00648298] ; [40.00648298 27.99351702],0
d5,1,0.001748,9.797066,[473  99] ; [47 23],[463.30218069 108.69781931] ; [56.69781931 13.30218069],0
p11,1,0.002288,9.302858,[486  89] ; [49 21],[476.9379845  98.0620155] ; [58.0620155 11.9379845],0
p4,1,0.003215,8.681336,[361 210] ; [31 38],[349.7375 221.2625] ; [42.2625 26.7375],0
d4,1,0.003365,8.598313,[481  91] ; [49 21],[472.21183801  99.78816199] ; [57.78816199 12.21183801],0
a5,1,0.003408,8.574931,[438 137] ; [42 28],[427.90697674 147.09302326] ; [52.09302326 17.90697674],0
s8,1,0.006466,7.415517,[273 299] ; [21 48],[262.3525741 309.6474259] ; [31.6474259 37.3525741],0
a2,1,0.009676,6.693669,[146 429] ; [ 8 62],[137.28682171 437.71317829] ; [16.71317829 53.28682171],0
p2,1,0.014983,5.918447,[504  69] ; [51 15],[497.67605634  75.32394366] ; [57.32394366  8.67605634],0
u3,1,0.01777,5.61864,[90 61] ; [ 9 17],[84.45762712 66.54237288] ; [14.54237288 11.45762712],0
a1,1,0.018883,5.512321,[ 27 548] ; [ 8 62],[ 31.20155039 543.79844961] ; [ 3.79844961 66.20155039],0
s2,1,0.021005,5.326406,[283 289] ; [24 45],[273.95319813 298.04680187] ; [33.04680187 35.95319813],0
u2,1,0.022843,5.180367,[94 57] ; [10 16],[88.72316384 62.27683616] ; [15.27683616 10.72316384],0
s7,1,0.030482,4.681923,[277 272] ; [24 42],[268.69756098 280.30243902] ; [32.30243902 33.69756098],0
n5,1,0.03362,4.513917,[449 122] ; [45 22],[442.12225705 128.87774295] ; [51.87774295 15.12225705],0
