Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,80.122991,[356  98] ; [ 76 106],[308.37735849 145.62264151] ; [123.62264151  58.37735849],1
d3,1,0.0,72.977068,[358  97] ; [ 80 102],[312.85714286 142.14285714] ; [125.14285714  56.85714286],1
a2,1,0.0,45.794279,[154 301] ; [ 14 168],[120. 335.] ; [ 48. 134.],1
u1,1,0.0,27.807301,[121 334] ; [ 14 168],[ 96.42857143 358.57142857] ; [ 38.57142857 143.42857143],1
b5,1,1e-06,24.995395,[298 157] ; [ 80 102],[270. 185.] ; [108.  74.],1
r4,1,1e-06,24.039759,[432  23] ; [151  31],[416.42857143  38.57142857] ; [166.57142857  15.42857143],1
d1,1,0.000437,12.365609,[303 152] ; [94 88],[283.57142857 171.42857143] ; [113.42857143  68.57142857],1
r2,1,0.000887,11.050205,[434  14] ; [162  17],[425.85007974  22.14992026] ; [170.14992026   8.85007974],1
r3,1,0.001,10.828489,[437  14] ; [165  17],[428.91311216  22.08688784] ; [173.08688784   8.91311216],0
r1,1,0.001441,10.152568,[382  70] ; [134  48],[367.87381703  84.12618297] ; [148.12618297  33.87381703],0
v4,1,0.008096,7.012108,[438  15] ; [167  15],[431.5984252  21.4015748] ; [173.4015748   8.5984252],0
d4,1,0.008247,6.979095,[387  68] ; [138  43],[375.58962264  79.41037736] ; [149.41037736  31.58962264],0
u3,1,0.0085,6.924937,[70 51] ; [17 31],[62.28994083 58.71005917] ; [24.71005917 23.28994083],0
d5,1,0.012954,6.175356,[387  68] ; [139  42],[376.30503145  78.69496855] ; [149.69496855  31.30503145],0
b1,1,0.015639,5.842969,[163 292] ; [84 98],[176.42857143 278.57142857] ; [ 70.57142857 111.42857143],0
p4,1,0.017418,5.653732,[304 148] ; [103  77],[291.08227848 160.91772152] ; [115.91772152  64.08227848],0
v2,1,0.023958,5.097685,[267 172] ; [89 86],[254.53420195 184.46579805] ; [101.46579805  73.53420195],0
u2,1,0.081911,3.026576,[67 54] ; [19 28],[61.94047619 59.05952381] ; [24.05952381 22.94047619],0
n2,1,0.090533,2.864865,[61 16] ; [28 15],[57.10833333 19.89166667] ; [31.89166667 11.10833333],0
b2,1,0.094615,2.794055,[107 180] ; [58 68],[114.66101695 172.33898305] ; [50.33898305 75.66101695],0
b3,1,0.094615,2.794055,[107 180] ; [58 68],[114.66101695 172.33898305] ; [50.33898305 75.66101695],0
a5,1,0.095846,2.773333,[358  97] ; [132  50],[350. 105.] ; [140.  42.],0
a8,1,0.124054,2.365381,[ 70 332] ; [ 21 150],[ 63.84293194 338.15706806] ; [ 27.15706806 143.84293194],0
s8,1,0.137309,2.207859,[210 239] ; [97 85],[218.45166403 230.54833597] ; [88.54833597 93.45166403],0
v1,1,0.140992,2.167099,[259 184] ; [92 85],[250.79516129 192.20483871] ; [100.20483871  76.79516129],0
p2,1,0.152758,2.044493,[389  65] ; [146  34],[383.10725552  70.89274448] ; [151.89274448  28.10725552],0
p10,1,0.171566,1.869206,[387  63] ; [147  33],[381.42857143  68.57142857] ; [152.57142857  27.42857143],0
b4,1,0.177659,1.817098,[274 181] ; [99 83],[266.42857143 188.57142857] ; [106.57142857  75.42857143],0
n3,1,0.189948,1.718024,[63 14] ; [30 12],[60.17647059 16.82352941] ; [32.82352941  9.17647059],0
s7,1,0.22606,1.465478,[226 202] ; [103  74],[232.74710744 195.25289256] ; [96.25289256 80.74710744],0
s2,1,0.302422,1.063483,[242 204] ; [90 91],[236.15948963 209.84051037] ; [95.84051037 85.15948963],0
s5,1,0.304567,1.054091,[148 286] ; [ 67 107],[153.47039474 280.52960526] ; [ 61.52960526 112.47039474],0
p6,1,0.309821,1.031439,[191 257] ; [ 68 110],[185.35463259 262.64536741] ; [ 73.64536741 104.35463259],0
p9,1,0.313988,1.013825,[391  56] ; [152  28],[387.11483254  59.88516746] ; [155.88516746  24.11483254],0
p1,1,0.339651,0.911749,[ 49 404] ; [ 15 166],[ 45.72870662 407.27129338] ; [ 18.27129338 162.72870662],0
s6,1,0.348585,0.8786,[314 129] ; [118  58],[309.16962843 133.83037157] ; [122.83037157  53.16962843],0
p8,1,0.40195,0.702485,[252 194] ; [94 84],[247.30128205 198.69871795] ; [98.69871795 79.30128205],0
n5,1,0.43367,0.612976,[401  52] ; [165  17],[403.77637795  49.22362205] ; [162.22362205  19.77637795],0
s4,1,0.447233,0.577654,[ 63 381] ; [ 30 151],[ 66.0672 377.9328] ; [ 26.9328 154.0672],0
p12,1,0.548204,0.360545,[ 45 408] ; [ 15 164],[ 43.00632911 409.99367089] ; [ 16.99367089 162.00632911],0
d2,1,0.549156,0.358831,[244 210] ; [92 88],[240.60567823 213.39432177] ; [95.39432177 84.60567823],0
a4,1,0.578559,0.308571,[225 228] ; [85 95],[221.84834123 231.15165877] ; [88.15165877 91.84834123],0
v3,1,0.582527,0.302168,[190 251] ; [81 97],[193.07108239 247.92891761] ; [ 77.92891761 100.07108239],0
p5,1,0.608471,0.262408,[ 63 388] ; [ 28 152],[ 65.04120444 385.95879556] ; [ 25.95879556 154.04120444],0
p11,1,0.693882,0.154915,[376  79] ; [148  34],[374.28571429  80.71428571] ; [149.71428571  32.28571429],0
p3,1,0.696708,0.151919,[248 205] ; [96 85],[245.79179811 207.20820189] ; [98.20820189 82.79179811],0
s3,1,0.717892,0.130522,[254 191] ; [105  74],[256.01762821 188.98237179] ; [102.98237179  76.01762821],0
a1,1,0.780473,0.077675,[ 25 430] ; [  9 173],[ 24.28571429 430.71428571] ; [  9.71428571 172.28571429],0
u4,1,0.813377,0.05573,[ 11 443] ; [  5 177],[ 11.42138365 442.57861635] ; [  4.57861635 177.42138365],0
s1,1,0.848122,0.036678,[ 16 432] ; [  7 173],[ 16.40764331 431.59235669] ; [  6.59235669 173.40764331],0
p7,1,0.866913,0.028083,[290 154] ; [115  63],[289.09967846 154.90032154] ; [115.90032154  62.09967846],0
n1,1,0.901597,0.015288,[34 41] ; [20 23],[34.3220339 40.6779661] ; [19.6779661 23.3220339],0
a3,1,0.990469,0.000143,[333 119] ; [134  48],[332.94006309 119.05993691] ; [134.05993691  47.94006309],0
