Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,36.029096,[223  12] ; [70 28],[206.77177177  28.22822823] ; [86.22822823 11.77177177],1
p11,1,0.0,35.867821,[183  53] ; [43 55],[159.68862275  76.31137725] ; [66.31137725 31.68862275],1
p9,1,0.0,35.282911,[184  51] ; [42 52],[161.42857143  73.57142857] ; [64.57142857 29.42857143],1
r3,1,0.0,34.557246,[222  14] ; [69 29],[205.61676647  30.38323353] ; [85.38323353 12.61676647],1
p7,1,0.0,29.75295,[142  90] ; [27 69],[119.53658537 112.46341463] ; [49.46341463 46.53658537],1
p10,1,0.0,28.205901,[174  60] ; [42 54],[153.16363636  80.83636364] ; [62.83636364 33.16363636],1
p4,1,0.0,27.911591,[123 111] ; [20 76],[101.4 132.6] ; [41.6 54.4],1
r4,1,4e-06,21.215591,[199  37] ; [60 38],[183.00598802  52.99401198] ; [75.99401198 22.00598802],1
p8,1,6e-06,20.400136,[116 118] ; [22 75],[ 97.55891239 136.44108761] ; [40.44108761 56.55891239],1
n6,1,0.000125,14.715349,[187  49] ; [57 40],[172.92492492  63.07507508] ; [71.07507508 25.92492492],1
p6,1,0.000426,12.415564,[ 66 168] ; [10 87],[ 53.72809668 180.27190332] ; [22.27190332 74.72809668],1
s6,1,0.000491,12.148228,[120 113] ; [30 68],[105.58912387 127.41087613] ; [44.41087613 53.58912387],1
s3,1,0.000627,11.693067,[120 113] ; [30 67],[105.90909091 127.09090909] ; [44.09090909 52.90909091],1
d3,1,0.000913,10.996981,[161  73] ; [48 49],[147.75226586  86.24773414] ; [61.24773414 35.75226586],1
s8,1,0.002413,9.205177,[ 80 156] ; [17 81],[ 68.53892216 167.46107784] ; [28.46107784 69.53892216],0
s7,1,0.002938,8.845407,[ 84 143] ; [18 73],[ 72.81132075 154.18867925] ; [29.18867925 61.81132075],0
s2,1,0.003981,8.292327,[ 94 141] ; [23 75],[ 82.56756757 152.43243243] ; [34.43243243 63.56756757],0
a1,1,0.007621,7.120474,[  6 230] ; [ 9 89],[ 10.5988024 225.4011976] ; [ 4.4011976 93.5988024],0
p3,1,0.013671,6.080178,[ 88 147] ; [23 75],[ 78.33333333 156.66666667] ; [32.66666667 65.33333333],0
b1,1,0.015669,5.839607,[ 89 147] ; [51 47],[ 98.92215569 137.07784431] ; [41.07784431 56.92215569],0
a7,1,0.029419,4.742912,[170  65] ; [59 39],[161.60660661  73.39339339] ; [67.39339339 30.60660661],0
