Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000191,13.917709,[16  8] ; [15 48],[ 8.55172414 15.44827586] ; [22.44827586 40.55172414],1
p7,1,0.000718,11.440926,[15  7] ; [17 45],[ 8.38095238 13.61904762] ; [23.61904762 38.38095238],1
p11,1,0.000755,11.347953,[21  4] ; [28 35],[13.92045455 11.07954545] ; [35.07954545 27.92045455],1
p5,1,0.002176,9.394761,[ 7 18] ; [ 3 59],[ 2.87356322 22.12643678] ; [ 7.12643678 54.87356322],0
p3,1,0.002533,9.116687,[14 11] ; [14 48],[ 8.04597701 16.95402299] ; [19.95402299 42.04597701],0
r3,1,0.009547,6.717574,[18  5] ; [28 32],[12.74698795 10.25301205] ; [33.25301205 26.74698795],0
v4,1,0.013048,6.162656,[17  4] ; [31 31],[12.14457831  8.85542169] ; [35.85542169 26.14457831],0
p10,1,0.013542,6.096915,[17  5] ; [29 33],[12.04761905  9.95238095] ; [33.95238095 28.04761905],0
p2,1,0.031606,4.619751,[19  6] ; [31 30],[14.53488372 10.46511628] ; [35.46511628 25.53488372],0
p9,1,0.039356,4.245433,[19  5] ; [33 27],[14.85714286  9.14285714] ; [37.14285714 22.85714286],0
n6,1,0.042565,4.112604,[19  4] ; [36 25],[15.05952381  7.94047619] ; [39.94047619 21.05952381],0
s8,1,0.072232,3.231563,[ 9 15] ; [12 51],[ 5.79310345 18.20689655] ; [15.20689655 47.79310345],0
p12,1,0.123247,2.375567,[ 2 22] ; [ 1 62],[ 0.82758621 23.17241379] ; [ 2.17241379 60.82758621],0
a2,1,0.124362,2.361509,[ 6 19] ; [ 7 56],[ 3.69318182 21.30681818] ; [ 9.30681818 53.69318182],0
b2,1,0.128517,2.310321,[ 4 14] ; [18 24],[ 6.6 11.4] ; [15.4 26.6],0
b3,1,0.128517,2.310321,[ 4 14] ; [18 24],[ 6.6 11.4] ; [15.4 26.6],0
n2,1,0.161617,1.959029,[10  2] ; [17 11],[8.1 3.9] ; [18.9  9.1],0
u3,1,0.217044,1.52381,[3 5] ; [ 4 20],[1.75 6.25] ; [ 5.25 18.75],0
s1,1,0.224423,1.475865,[ 3 22] ; [ 3 60],[ 1.70454545 23.29545455] ; [ 4.29545455 58.70454545],0
b4,1,0.233387,1.420098,[12 13] ; [39 24],[14.48863636 10.51136364] ; [36.51136364 26.48863636],0
a7,1,0.233589,1.41887,[14 11] ; [26 36],[11.49425287 13.50574713] ; [28.50574713 33.49425287],0
v1,1,0.245077,1.351152,[10 13] ; [18 42],[ 7.75903614 15.24096386] ; [20.24096386 39.75903614],0
a6,1,0.322412,0.979137,[16  9] ; [33 30],[13.92045455 11.07954545] ; [35.07954545 27.92045455],0
v2,1,0.327187,0.96,[12 12] ; [23 37],[10. 14.] ; [25. 35.],0
s7,1,0.334772,0.93035,[11 12] ; [21 37],[ 9.08641975 13.91358025] ; [22.91358025 35.08641975],0
p6,1,0.344244,0.894561,[ 7 17] ; [12 49],[ 5.36470588 18.63529412] ; [13.63529412 47.36470588],0
b5,1,0.360606,0.835782,[15 10] ; [31 32],[13.06818182 11.93181818] ; [32.93181818 30.06818182],0
n1,1,0.442631,0.589453,[4 8] ; [13 15],[5.1 6.9] ; [11.9 16.1],0
s4,1,0.45758,0.551807,[ 5 19] ; [ 9 54],[ 3.86206897 20.13793103] ; [10.13793103 52.86206897],0
