Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,140.353083,[25 66] ; [226  22],[67.37758112 23.62241888] ; [183.62241888  64.37758112],1
s6,1,0.0,46.924944,[58 34] ; [228  17],[78.07715134 13.92284866] ; [207.92284866  37.07715134],1
s5,1,0.0,26.551726,[22 70] ; [131 105],[42.91463415 49.08536585] ; [110.08536585 125.91463415],1
s8,1,0.000373,12.660532,[51 40] ; [189  60],[64.23529412 26.76470588] ; [175.76470588  73.23529412],1
v4,1,0.003881,8.338632,[83  8] ; [244   5],[87.52058824  3.47941176] ; [239.47941176   9.52058824],0
r2,1,0.004753,7.971113,[83  7] ; [244   4],[87.07100592  2.92899408] ; [239.92899408   8.07100592],0
r4,1,0.00642,7.428374,[78 14] ; [236  15],[84.22157434  7.77842566] ; [229.77842566  21.22157434],0
p6,1,0.009315,6.761381,[32 60] ; [126 123],[42.62756598 49.37243402] ; [115.37243402 133.62756598],0
d1,1,0.012697,6.210779,[55 37] ; [185  66],[64.37317784 27.62682216] ; [175.62682216  75.37317784],0
n4,1,0.018602,5.538517,[73 19] ; [222  27],[79.58944282 12.41055718] ; [215.41055718  33.58944282],0
n6,1,0.020263,5.38912,[77 15] ; [226  19],[82.71810089  9.28189911] ; [220.28189911  24.71810089],0
s4,1,0.024888,5.031658,[11 81] ; [ 57 192],[18.34604106 73.65395894] ; [ 49.65395894 199.34604106],0
v1,1,0.029191,4.756308,[45 44] ; [155  88],[53.61445783 35.38554217] ; [146.38554217  96.61445783],0
a3,1,0.045702,3.992547,[75 17] ; [224  26],[80.43274854 11.56725146] ; [218.56725146  31.43274854],0
a4,1,0.059849,3.541574,[44 47] ; [150 101],[51.61988304 39.38011696] ; [142.38011696 108.61988304],0
s1,1,0.069866,3.286166,[ 1 91] ; [ 14 235],[ 4.04692082 87.95307918] ; [ 10.95307918 238.04692082],0
u4,1,0.071573,3.246572,[ 1 91] ; [ 14 237],[ 4.02332362 87.97667638] ; [ 10.97667638 240.02332362],0
v2,1,0.072137,3.233701,[51 40] ; [162  81],[58.03293413 32.96706587] ; [154.96706587  88.03293413],0
p9,1,0.078564,3.094366,[78 12] ; [232  18],[82.05882353  7.94117647] ; [227.94117647  22.05882353],0
n5,1,0.083377,2.997807,[70 22] ; [208  39],[75.44542773 16.55457227] ; [202.55457227  44.44542773],0
n3,1,0.092455,2.831097,[16 10] ; [39 10],[19.06666667  6.93333333] ; [35.93333333 13.06666667],0
d4,1,0.104175,2.640439,[75 17] ; [219  29],[79.55294118 12.44705882] ; [214.44705882  33.55294118],0
a1,1,0.122537,2.384591,[ 3 89] ; [ 20 231],[ 6.16909621 85.83090379] ; [ 16.83090379 234.16909621],0
r3,1,0.169191,1.890093,[86  6] ; [242   8],[88.23391813  3.76608187] ; [239.76608187  10.23391813],0
p7,1,0.180672,1.792092,[58 32] ; [175  68],[62.97297297 27.02702703] ; [170.02702703  72.97297297],0
d5,1,0.193479,1.690926,[75 17] ; [216  32],[78.74117647 13.25882353] ; [212.25882353  35.74117647],0
p4,1,0.202238,1.626135,[58 34] ; [175  74],[62.86217009 29.13782991] ; [170.13782991  78.86217009],0
p2,1,0.207249,1.59054,[74 18] ; [215  35],[77.74269006 14.25730994] ; [211.25730994  38.74269006],0
p5,1,0.257803,1.280515,[18 74] ; [ 36 212],[14.61176471 77.38823529] ; [ 39.38823529 208.61176471],0
r1,1,0.284643,1.144788,[76 16] ; [217  32],[79.04985337 12.95014663] ; [213.95014663  35.04985337],0
a8,1,0.30834,1.037772,[12 68] ; [ 46 182],[15.06493506 64.93506494] ; [ 42.93506494 185.06493506],0
d2,1,0.332371,0.939637,[55 37] ; [163  86],[58.81524927 33.18475073] ; [159.18475073  89.81524927],0
a2,1,0.343215,0.898385,[29 63] ; [ 93 158],[32.72303207 59.27696793] ; [ 89.27696793 161.72303207],0
v3,1,0.397006,0.717376,[38 51] ; [116 126],[41.40785498 47.59214502] ; [112.59214502 129.40785498],0
u3,1,0.401156,0.704857,[12  5] ; [22  5],[13.13636364  3.86363636] ; [20.86363636  6.13636364],0
p12,1,0.42183,0.645211,[ 8 82] ; [ 30 220],[10.05882353 79.94117647] ; [ 27.94117647 222.05882353],0
n2,1,0.439194,0.598388,[20  7] ; [40  9],[21.31578947  5.68421053] ; [38.68421053 10.31578947],0
p10,1,0.47135,0.51881,[77 14] ; [219  31],[78.99120235 12.00879765] ; [217.00879765  32.99120235],0
b1,1,0.484974,0.487658,[35 57] ; [106 145],[37.81924198 54.18075802] ; [103.18075802 147.81924198],0
u1,1,0.492131,0.471863,[24 68] ; [ 75 176],[26.55393586 65.44606414] ; [ 72.44606414 178.55393586],0
b4,1,0.509202,0.435706,[48 44] ; [141 110],[50.69387755 41.30612245] ; [138.30612245 112.69387755],0
a6,1,0.581233,0.304246,[67 25] ; [173  75],[64.94117647 27.05882353] ; [175.05882353  72.94117647],0
b3,1,0.607529,0.26379,[31 42] ; [81 95],[32.83534137 40.16465863] ; [79.16465863 96.83534137],0
b2,1,0.607529,0.26379,[31 42] ; [81 95],[32.83534137 40.16465863] ; [79.16465863 96.83534137],0
b5,1,0.621692,0.243497,[53 39] ; [152  99],[54.98542274 37.01457726] ; [150.01457726 100.98542274],0
a7,1,0.661648,0.191528,[63 29] ; [178  73],[64.64139942 27.35860058] ; [176.35860058  74.64139942],0
p8,1,0.678609,0.171695,[48 42] ; [138 109],[49.6735905 40.3264095] ; [136.3264095 110.6735905],0
u2,1,0.721817,0.126758,[12  5] ; [17  9],[11.46511628  5.53488372] ; [17.53488372  8.46511628],0
n1,1,0.743521,0.107056,[13 14] ; [25 23],[13.68 13.32] ; [24.32 23.68],0
p3,1,0.760561,0.092869,[53 39] ; [148 101],[54.228739 37.771261] ; [146.771261 102.228739],0
p11,1,0.828028,0.047189,[75 17] ; [202  49],[74.29737609 17.70262391] ; [202.70262391  48.29737609],0
p1,1,0.878107,0.023522,[ 9 83] ; [ 23 226],[ 8.63343109 83.36656891] ; [ 23.36656891 225.63343109],0
d3,1,0.9974,1.1e-05,[68 24] ; [184  65],[67.98826979 24.01173021] ; [184.01173021  64.98826979],0
