Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,37.075493,[103   5] ; [7 9],[95.80645161 12.19354839] ; [14.19354839  1.80645161],1
r1,1,0.0,28.164499,[90 20] ; [ 4 14],[80.78125 29.21875] ; [13.21875  4.78125],1
r3,1,2e-06,22.166675,[107   3] ; [12  6],[102.265625   7.734375] ; [16.734375  1.265625],1
v4,1,0.000469,12.234382,[107   3] ; [13  4],[103.93700787   6.06299213] ; [16.06299213  0.93700787],1
d4,1,0.000575,11.853796,[89 20] ; [ 8 10],[83.2519685 25.7480315] ; [13.7480315  4.2519685],1
d1,1,0.001395,10.212246,[63 47] ; [ 3 15],[56.71875 53.28125] ; [9.28125 8.71875],0
p9,1,0.001967,9.580413,[98 12] ; [11  7],[93.671875 16.328125] ; [15.328125  2.671875],0
a5,1,0.003194,8.693186,[81 29] ; [ 7 11],[75.625 34.375] ; [12.375  5.625],0
s5,1,0.015577,5.849989,[50 56] ; [ 3 15],[45.30645161 60.69354839] ; [ 7.69354839 10.30645161],0
v3,1,0.016626,5.735391,[51 58] ; [ 3 15],[46.34645669 62.65354331] ; [ 7.65354331 10.34645669],0
s6,1,0.018606,5.538182,[76 29] ; [ 8 10],[71.70731707 33.29268293] ; [12.29268293  5.70731707],0
d5,1,0.021444,5.29034,[83 26] ; [9 9],[78.96062992 30.03937008] ; [13.03937008  4.96062992],0
n4,1,0.025437,4.99387,[92 18] ; [11  7],[88.515625 21.484375] ; [14.484375  3.515625],0
n6,1,0.025611,4.982088,[96 14] ; [12  6],[92.8125 17.1875] ; [15.1875  2.8125],0
p10,1,0.025611,4.982088,[96 14] ; [12  6],[92.8125 17.1875] ; [15.1875  2.8125],0
p2,1,0.05059,3.821781,[98 12] ; [13  5],[95.390625 14.609375] ; [15.609375  2.390625],0
d3,1,0.058497,3.579506,[57 53] ; [ 5 13],[53.28125 56.71875] ; [8.71875 9.28125],0
b3,1,0.060612,3.520562,[31 37] ; [ 2 10],[28.05 39.95] ; [4.95 7.05],0
b2,1,0.060612,3.520562,[31 37] ; [ 2 10],[28.05 39.95] ; [4.95 7.05],0
a3,1,0.061315,3.501466,[74 36] ; [ 8 10],[70.46875 39.53125] ; [11.53125  6.46875],0
a4,1,0.08637,2.94076,[48 62] ; [ 4 14],[44.6875 65.3125] ; [ 7.3125 10.6875],0
p11,1,0.087271,2.924009,[92 18] ; [12  6],[89.375 20.625] ; [14.625  3.375],0
s8,1,0.109229,2.565336,[65 45] ; [ 7 11],[61.875 48.125] ; [10.125  7.875],0
s3,1,0.124658,2.357802,[67 43] ; [ 7 10],[64.09448819 45.90551181] ; [9.90551181 7.09448819],0
p6,1,0.12663,2.333333,[57 51] ; [ 6 12],[54. 54.] ; [9. 9.],0
n5,1,0.138559,2.193885,[90 20] ; [12  6],[87.65625 22.34375] ; [14.34375  3.65625],0
b5,1,0.164133,1.93573,[42 68] ; [10  8],[44.6875 65.3125] ; [ 7.3125 10.6875],0
v2,1,0.17615,1.829814,[60 47] ; [ 7 11],[57.352 49.648] ; [9.648 8.352],0
p3,1,0.179817,1.799132,[73 37] ; [9 9],[70.46875 39.53125] ; [11.53125  6.46875],0
d2,1,0.189367,1.722535,[55 55] ; [ 6 12],[52.421875 57.578125] ; [8.578125 9.421875],0
p7,1,0.193553,1.690365,[92 18] ; [12  5],[90.07874016 19.92125984] ; [13.92125984  3.07874016],0
v1,1,0.203361,1.61807,[60 49] ; [ 7 11],[57.50393701 51.49606299] ; [9.49606299 8.50393701],0
b1,1,0.245799,1.347023,[51 59] ; [11  7],[53.28125 56.71875] ; [8.71875 9.28125],0
n3,1,0.267938,1.227273,[12  6] ; [4 5],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
s7,1,0.300874,1.070315,[61 45] ; [ 8 10],[58.98387097 47.01612903] ; [10.01612903  7.98387097],0
n2,1,0.305141,1.051592,[11  8] ; [7 2],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
u2,1,0.331105,0.944573,[19 17] ; [7 3],[20.34782609 15.65217391] ; [5.65217391 4.34782609],0
a8,1,0.435883,0.607097,[14 93] ; [ 1 15],[13.04878049 93.95121951] ; [ 1.95121951 14.04878049],0
p5,1,0.461051,0.543341,[20 90] ; [ 2 16],[18.90625 91.09375] ; [ 3.09375 14.90625],0
p1,1,0.485778,0.485865,[12 98] ; [ 1 17],[11.171875 98.828125] ; [ 1.828125 16.171875],0
a6,1,0.51151,0.430976,[40 70] ; [ 8 10],[41.25 68.75] ; [ 6.75 11.25],0
b4,1,0.514497,0.42491,[58 52] ; [ 8 10],[56.71875 53.28125] ; [9.28125 8.71875],0
s1,1,0.522614,0.408732,[  3 107] ; [ 1 17],[  3.4375 106.5625] ; [ 0.5625 17.4375],0
u3,1,0.527851,0.398527,[14 22] ; [5 5],[14.86956522 21.13043478] ; [4.13043478 5.86956522],0
s2,1,0.611093,0.258586,[56 54] ; [ 8 10],[55. 55.] ; [9. 9.],0
p4,1,0.635839,0.224225,[78 32] ; [13  4],[78.81889764 31.18110236] ; [12.18110236  4.81889764],0
n1,1,0.685734,0.163743,[10  9] ; [4 5],[9.5 9.5] ; [4.5 4.5],0
p12,1,0.888519,0.01965,[  7 102] ; [ 1 17],[  6.86614173 102.13385827] ; [ 1.13385827 16.86614173],0
a2,1,0.89554,0.017239,[  7 103] ; [ 1 17],[  6.875 103.125] ; [ 1.125 16.875],0
s4,1,0.962153,0.002252,[25 85] ; [ 4 14],[24.921875 85.078125] ; [ 4.078125 13.921875],0
u1,1,0.986059,0.000305,[  6 104] ; [ 1 17],[  6.015625 103.984375] ; [ 0.984375 17.015625],0
