Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,31.813257,[71 87] ; [88 23],[93.39033457 64.60966543] ; [65.60966543 45.39033457],1
v1,1,0.000116,14.861355,[84 73] ; [85 26],[99.00373134 57.99626866] ; [69.99626866 41.00373134],1
n4,1,0.001423,10.175784,[125  34] ; [104   8],[134.35793358  24.64206642] ; [94.64206642 17.35793358],0
p12,1,0.001553,10.014733,[ 11 147] ; [22 89],[ 19.38289963 138.61710037] ; [13.61710037 97.38289963],0
p5,1,0.001779,9.764966,[ 19 140] ; [30 82],[ 28.74907749 130.25092251] ; [20.25092251 91.74907749],0
a1,1,0.00354,8.50569,[  6 153] ; [15 97],[ 12.32103321 146.67896679] ; [  8.67896679 103.32103321],0
n5,1,0.003699,8.426057,[117  41] ; [99 13],[126.4  31.6] ; [89.6 22.4],0
s7,1,0.005763,7.622854,[87 67] ; [77 28],[97.51351351 56.48648649] ; [66.48648649 38.51351351],0
p9,1,0.010779,6.501412,[139  20] ; [107   4],[144.86666667  14.13333333] ; [101.13333333   9.86666667],0
s4,1,0.02257,5.201302,[ 42 113] ; [17 94],[ 34.37969925 120.62030075] ; [24.62030075 86.37969925],0
s8,1,0.023525,5.129322,[85 73] ; [75 36],[93.97769517 64.02230483] ; [66.02230483 44.97769517],0
p10,1,0.033189,4.536019,[131  27] ; [102   9],[136.85501859  21.14498141] ; [96.14498141 14.85501859],0
p3,1,0.046866,3.950186,[98 61] ; [82 30],[105.60885609  53.39114391] ; [74.39114391 37.60885609],0
n6,1,0.06723,3.349383,[138  21] ; [104   7],[142.51111111  16.48888889] ; [99.48888889 11.51111111],0
d5,1,0.086737,2.933921,[139  20] ; [105   7],[143.15867159  15.84132841] ; [100.84132841  11.15867159],0
b4,1,0.093624,2.810932,[86 73] ; [72 40],[92.70110701 66.29889299] ; [65.29889299 46.70110701],0
p8,1,0.107079,2.596814,[107  52] ; [84 26],[112.89591078  46.10408922] ; [78.10408922 31.89591078],0
p7,1,0.112528,2.518353,[126  30] ; [96 13],[130.68679245  25.31320755] ; [91.31320755 17.68679245],0
a3,1,0.114937,2.484994,[117  42] ; [90 20],[122.35315985  36.64684015] ; [84.64684015 25.35315985],0
n2,1,0.124283,2.3625,[29  7] ; [11  7],[26.66666667  9.33333333] ; [13.33333333  4.66666667],0
d1,1,0.184038,1.764714,[112  47] ; [87 25],[116.75645756  42.24354244] ; [82.24354244 29.75645756],0
u1,1,0.204242,1.611782,[ 36 123] ; [33 79],[ 40.48339483 118.51660517] ; [28.51660517 83.48339483],0
u4,1,0.217042,1.52382,[  3 156] ; [  5 107],[  4.69372694 154.30627306] ; [  3.30627306 108.69372694],0
u3,1,0.25241,1.309915,[30 11] ; [13  9],[27.98412698 13.01587302] ; [15.01587302  6.98412698],0
a7,1,0.302864,1.06154,[122  37] ; [79 32],[118.36666667  40.63333333] ; [82.63333333 28.36666667],0
p2,1,0.320145,0.988356,[142  17] ; [104   8],[144.33210332  14.66789668] ; [101.66789668  10.33210332],0
r3,1,0.342818,0.899866,[152   6] ; [109   2],[153.30111524   4.69888476] ; [107.69888476   3.30111524],0
p11,1,0.396832,0.717904,[127  32] ; [94 18],[129.66420664  29.33579336] ; [91.33579336 20.66420664],0
p4,1,0.435219,0.608855,[126  33] ; [93 19],[128.49077491  30.50922509] ; [90.50922509 21.49077491],0
s2,1,0.457481,0.552051,[101  57] ; [66 45],[98.08921933 59.91078067] ; [68.91078067 42.08921933],0
r1,1,0.484729,0.488206,[133  26] ; [90 22],[130.83763838  28.16236162] ; [92.16236162 19.83763838],0
p1,1,0.511859,0.430265,[ 16 143] ; [14 97],[ 17.66666667 141.33333333] ; [12.33333333 98.66666667],0
b1,1,0.566549,0.32849,[68 91] ; [44 68],[65.71217712 93.28782288] ; [46.28782288 65.71217712],0
r2,1,0.58155,0.303736,[151   5] ; [106   5],[150.15730337   5.84269663] ; [106.84269663   4.15730337],0
a5,1,0.593386,0.285088,[122  37] ; [89 23],[123.79704797  35.20295203] ; [87.20295203 24.79704797],0
d2,1,0.628447,0.234173,[89 70] ; [66 46],[90.94095941 68.05904059] ; [64.05904059 47.94095941],0
b2,1,0.633509,0.227332,[46 58] ; [34 37],[47.54285714 56.45714286] ; [32.45714286 38.54285714],0
b3,1,0.633509,0.227332,[46 58] ; [34 37],[47.54285714 56.45714286] ; [32.45714286 38.54285714],0
s3,1,0.707733,0.140552,[99 60] ; [66 44],[97.52788104 61.47211896] ; [67.47211896 42.52788104],0
n3,1,0.720624,0.127896,[25 10] ; [12  6],[24.43396226 10.56603774] ; [12.56603774  5.43396226],0
s1,1,0.743869,0.106755,[  7 152] ; [  4 107],[  6.47777778 152.52222222] ; [  4.52222222 106.47777778],0
d3,1,0.822683,0.050219,[126  33] ; [90 22],[126.73062731  32.26937269] ; [89.26937269 22.73062731],0
n1,1,0.822709,0.050204,[16 20] ; [ 7 10],[15.62264151 20.37735849] ; [7.37735849 9.62264151],0
r4,1,0.827792,0.047321,[148  11] ; [105   7],[148.43911439  10.56088561] ; [104.56088561   7.43911439],0
v4,1,0.8331,0.044406,[154   5] ; [108   3],[154.28888889   4.71111111] ; [107.71111111   3.28888889],0
a2,1,0.835132,0.043315,[ 45 114] ; [33 79],[ 45.76383764 113.23616236] ; [32.23616236 79.76383764],0
a6,1,0.841828,0.039822,[105  54] ; [72 39],[104.23333333  54.76666667] ; [72.76666667 38.23333333],0
s6,1,0.8568,0.032562,[122  33] ; [84 24],[121.40684411  33.59315589] ; [84.59315589 23.40684411],0
a8,1,0.880064,0.022767,[ 20 127] ; [14 84],[ 20.4 126.6] ; [13.6 84.4],0
s5,1,0.88268,0.021778,[69 82] ; [47 58],[68.421875 82.578125] ; [47.578125 57.421875],0
b5,1,0.926661,0.008473,[96 63] ; [67 45],[95.63468635 63.36531365] ; [67.36531365 44.63468635],0
