Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.048518,3.891941,[20 19] ; [10  2],[22.94117647 16.05882353] ; [7.05882353 4.94117647],0
a4,1,0.073465,3.203846,[ 9 30] ; [6 6],[11.47058824 27.52941176] ; [3.52941176 8.47058824],0
d5,1,0.119669,2.421652,[16 23] ; [8 4],[18.35294118 20.64705882] ; [5.64705882 6.35294118],0
a3,1,0.137396,2.206884,[15 24] ; [7 4],[17.16 21.84] ; [4.84 6.16],0
u3,1,0.138628,2.193125,[ 3 21] ; [2 3],[ 4.13793103 19.86206897] ; [0.86206897 4.13793103],0
r4,1,0.141455,2.16206,[ 8 31] ; [5 7],[ 9.94117647 29.05882353] ; [3.05882353 8.94117647],0
s2,1,0.155861,2.01393,[11 28] ; [ 1 11],[ 9.17647059 29.82352941] ; [2.82352941 9.17647059],0
p10,1,0.185326,1.754386,[17 21] ; [8 4],[19. 19.] ; [6. 6.],0
s8,1,0.194327,1.684503,[ 4 35] ; [3 9],[ 5.35294118 33.64705882] ; [ 1.64705882 10.35294118],0
a7,1,0.213862,1.545089,[18 21] ; [8 4],[19.88235294 19.11764706] ; [6.11764706 5.88235294],0
a5,1,0.224197,1.477303,[15 24] ; [7 5],[16.82352941 22.17647059] ; [5.17647059 6.82352941],0
p9,1,0.251221,1.316501,[23 15] ; [5 7],[21.28 16.72] ; [6.72 5.28],0
p7,1,0.292034,1.110219,[16 23] ; [7 5],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
v1,1,0.338423,0.916394,[12 27] ; [ 2 10],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
u1,1,0.367932,0.810636,[ 1 38] ; [ 1 11],[ 1.52941176 37.47058824] ; [ 0.47058824 11.52941176],0
n1,1,0.372374,0.795726,[ 4 11] ; [2 2],[ 4.73684211 10.26315789] ; [1.26315789 2.73684211],0
n6,1,0.381571,0.765633,[25 14] ; [6 6],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
n5,1,0.381571,0.765633,[25 14] ; [6 6],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
s3,1,0.397827,0.714885,[11 27] ; [ 2 10],[ 9.88 28.12] ; [3.12 8.88],0
d1,1,0.475896,0.508253,[ 9 30] ; [4 8],[ 9.94117647 29.05882353] ; [3.05882353 8.94117647],0
d2,1,0.483756,0.490385,[14 25] ; [3 9],[13. 26.] ; [4. 8.],0
p3,1,0.495052,0.465528,[10 28] ; [ 2 10],[ 9.12 28.88] ; [2.88 9.12],0
a8,1,0.521839,0.410256,[ 6 30] ; [3 9],[ 6.75 29.25] ; [2.25 9.75],0
d4,1,0.527847,0.398535,[22 17] ; [8 4],[22.94117647 16.05882353] ; [7.05882353 4.94117647],0
p4,1,0.527847,0.398535,[17 22] ; [4 8],[16.05882353 22.94117647] ; [4.94117647 7.05882353],0
v3,1,0.546708,0.363248,[ 4 35] ; [ 2 10],[ 4.58823529 34.41176471] ; [ 1.41176471 10.58823529],0
p8,1,0.550986,0.355553,[13 25] ; [3 9],[12.16 25.84] ; [3.84 8.16],0
u2,1,0.564144,0.332579,[11 13] ; [3 2],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
p5,1,0.568247,0.325625,[ 4 34] ; [ 2 10],[ 4.56 33.44] ; [ 1.44 10.56],0
n2,1,0.580543,0.305357,[9 6] ; [3 1],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
b2,1,0.582647,0.301976,[ 6 19] ; [1 6],[ 5.46875 19.53125] ; [1.53125 5.46875],0
b3,1,0.582647,0.301976,[ 6 19] ; [1 6],[ 5.46875 19.53125] ; [1.53125 5.46875],0
a6,1,0.583067,0.301302,[16 23] ; [6 6],[16.82352941 22.17647059] ; [5.17647059 6.82352941],0
b1,1,0.668691,0.183137,[20 19] ; [7 5],[20.64705882 18.35294118] ; [6.35294118 5.64705882],0
s5,1,0.673105,0.177991,[ 5 34] ; [ 1 11],[ 4.58823529 34.41176471] ; [ 1.41176471 10.58823529],0
n4,1,0.696353,0.152293,[22 17] ; [6 6],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
d3,1,0.696353,0.152293,[17 22] ; [6 6],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
s6,1,0.717747,0.130662,[14 25] ; [5 7],[14.52941176 24.47058824] ; [4.47058824 7.52941176],0
n3,1,0.750042,0.101496,[10  5] ; [3 1],[10.26315789  4.73684211] ; [2.73684211 1.26315789],0
v4,1,0.78472,0.074624,[21 18] ; [7 5],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
v2,1,0.825283,0.048733,[14 24] ; [4 8],[13.68 24.32] ; [4.32 7.68],0
p11,1,0.842369,0.039547,[24 15] ; [7 5],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
a1,1,0.844686,0.038378,[ 4 35] ; [ 1 11],[ 3.82352941 35.17647059] ; [ 1.17647059 10.82352941],0
p2,1,0.906366,0.013835,[22 17] ; [7 5],[22.17647059 16.82352941] ; [6.82352941 5.17647059],0
r3,1,0.909573,0.0129,[26 12] ; [8 4],[25.84 12.16] ; [8.16 3.84],0
p1,1,0.942421,0.005217,[ 3 36] ; [ 1 11],[ 3.05882353 35.94117647] ; [ 0.94117647 11.05882353],0
s1,1,0.942421,0.005217,[ 3 36] ; [ 1 11],[ 3.05882353 35.94117647] ; [ 0.94117647 11.05882353],0
b5,1,0.968527,0.001557,[23 16] ; [7 5],[22.94117647 16.05882353] ; [7.05882353 4.94117647],0
p6,1,0.970735,0.001346,[ 6 31] ; [ 2 10],[ 6.04081633 30.95918367] ; [ 1.95918367 10.04081633],0
