Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,67.493701,[216  39] ; [72 83],[179.12195122  75.87804878] ; [108.87804878  46.12195122],1
p3,1,0.000192,13.904429,[163 107] ; [65 91],[144.50704225 125.49295775] ; [83.49295775 72.50704225],1
v1,1,0.000208,13.760822,[172  89] ; [74 82],[153.97122302 107.02877698] ; [92.02877698 63.97122302],1
a3,1,0.000491,12.14973,[218  51] ; [105  54],[203.00700935  65.99299065] ; [119.99299065  39.00700935],1
s6,1,0.000509,12.080933,[245  21] ; [125  30],[233.77672209  32.22327791] ; [136.22327791  18.77672209],1
d1,1,0.000601,11.774302,[191  79] ; [87 73],[174.55813953  95.44186047] ; [103.44186047  56.55813953],1
a7,1,0.002177,9.393929,[187  82] ; [131  27],[200.33255269  68.66744731] ; [117.66744731  40.33255269],0
d2,1,0.002326,9.27289,[159 111] ; [69 89],[143.8317757 126.1682243] ; [84.1682243 73.8317757],0
d5,1,0.002658,9.028709,[236  33] ; [121  37],[224.90163934  44.09836066] ; [132.09836066  25.90163934],0
p6,1,0.008254,6.977442,[129 138] ; [ 54 100],[116.05938242 150.94061758] ; [66.94061758 87.05938242],0
u4,1,0.009027,6.817476,[ 15 255] ; [  1 159],[ 10.04651163 259.95348837] ; [  5.95348837 154.04651163],0
p8,1,0.010502,6.547712,[155 112] ; [70 85],[142.35781991 124.64218009] ; [82.64218009 72.35781991],0
p4,1,0.01249,6.239934,[188  81] ; [91 66],[176.17605634  92.82394366] ; [102.82394366  54.17605634],0
a5,1,0.012787,6.1983,[217  53] ; [111  48],[206.43356643  63.56643357] ; [121.56643357  37.43356643],0
n6,1,0.016248,5.775856,[242  26] ; [130  28],[234.02816901  33.97183099] ; [137.97183099  20.02816901],0
p9,1,0.016823,5.714734,[246  22] ; [128  24],[238.64761905  29.35238095] ; [135.35238095  16.64761905],0
p10,1,0.018534,5.544931,[239  28] ; [127  29],[231.0212766  35.9787234] ; [134.9787234  21.0212766],0
v3,1,0.023358,5.141715,[123 132] ; [57 98],[111.95121951 143.04878049] ; [68.04878049 86.95121951],0
b2,1,0.026246,4.939722,[ 79 100] ; [25 59],[ 70.78326996 108.21673004] ; [33.21673004 50.78326996],0
b3,1,0.026246,4.939722,[ 79 100] ; [25 59],[ 70.78326996 108.21673004] ; [33.21673004 50.78326996],0
n5,1,0.028973,4.769235,[220  49] ; [115  43],[211.04215457  57.95784543] ; [123.95784543  34.04215457],0
v2,1,0.029264,4.752036,[161  95] ; [80 74],[150.47804878 105.52195122] ; [90.52195122 63.47804878],0
s3,1,0.032559,4.568806,[244  26] ; [130  26],[237.04225352  32.95774648] ; [136.95774648  19.04225352],0
n1,1,0.036375,4.379425,[30 26] ; [ 9 21],[25.39534884 30.60465116] ; [13.60465116 16.39534884],0
p5,1,0.042476,4.116123,[ 42 223] ; [ 14 143],[ 35.16587678 229.83412322] ; [ 20.83412322 136.16587678],0
u3,1,0.067853,3.334213,[40 12] ; [32 21],[35.65714286 16.34285714] ; [36.34285714 16.65714286],0
s5,1,0.076335,3.141263,[134 121] ; [67 87],[125.31784841 129.68215159] ; [75.68215159 78.31784841],0
n4,1,0.079114,3.083007,[220  48] ; [120  40],[212.89719626  55.10280374] ; [127.10280374  32.89719626],0
p1,1,0.123532,2.371955,[ 31 237] ; [ 11 147],[ 26.42253521 241.57746479] ; [ 15.57746479 142.42253521],0
b4,1,0.128659,2.308607,[152 118] ; [102  58],[159.48837209 110.51162791] ; [94.51162791 65.48837209],0
p12,1,0.132983,2.257335,[ 35 233] ; [ 13 144],[ 30.26823529 237.73176471] ; [ 17.73176471 139.26823529],0
u1,1,0.142545,2.150271,[ 69 201] ; [ 31 129],[ 62.79069767 207.20930233] ; [ 37.20930233 122.79069767],0
p7,1,0.180787,1.791143,[181  80] ; [95 56],[174.84466019  86.15533981] ; [101.15533981  49.84466019],0
a4,1,0.19626,1.66999,[138 132] ; [71 88],[131.53846154 138.46153846] ; [77.46153846 81.53846154],0
n2,1,0.219125,1.510094,[43 14] ; [26  4],[45.20689655 11.79310345] ; [23.79310345  6.20689655],0
a6,1,0.270057,1.216455,[181  88] ; [98 60],[175.76346604  93.23653396] ; [103.23653396  54.76346604],0
v4,1,0.288919,1.124651,[268   2] ; [157   3],[266.86046512   3.13953488] ; [158.13953488   1.86046512],0
r2,1,0.29098,1.115083,[267   2] ; [157   3],[265.86480186   3.13519814] ; [158.13519814   1.86480186],0
a2,1,0.33068,0.946232,[ 81 189] ; [ 41 119],[ 76.60465116 193.39534884] ; [ 45.39534884 114.60465116],0
b1,1,0.373718,0.791264,[113 157] ; [ 60 100],[108.62790698 161.37209302] ; [64.37209302 95.62790698],0
r1,1,0.405597,0.691669,[236  33] ; [135  24],[233.17523364  35.82476636] ; [137.82476636  21.17523364],0
s1,1,0.554432,0.349438,[ 12 256] ; [  9 147],[ 13.27358491 254.72641509] ; [  7.72641509 148.27358491],0
u2,1,0.565695,0.32994,[33 18] ; [32 22],[31.57142857 19.42857143] ; [33.42857143 20.57142857],0
p11,1,0.585051,0.298139,[212  58] ; [122  38],[209.72093023  60.27906977] ; [124.27906977  35.72093023],0
p2,1,0.594937,0.2827,[228  41] ; [130  27],[226.06103286  42.93896714] ; [131.93896714  25.06103286],0
s4,1,0.707635,0.14065,[ 61 207] ; [ 38 118],[ 62.5754717 205.4245283] ; [ 36.4245283 119.5754717],0
a8,1,0.73835,0.111583,[ 42 206] ; [ 23 124],[ 40.81012658 207.18987342] ; [ 24.18987342 122.81012658],0
b5,1,0.760865,0.092626,[166 104] ; [96 64],[164.51162791 105.48837209] ; [97.48837209 62.51162791],0
r3,1,0.821907,0.050667,[264   6] ; [155   3],[264.32242991   5.67757009] ; [154.67757009   3.32242991],0
n3,1,0.835049,0.04336,[43 14] ; [24  7],[43.39772727 13.60227273] ; [23.60227273  7.39772727],0
