Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,35.345181,[4 5] ; [231  12],[8.39285714 0.60714286] ; [226.60714286  16.39285714],1
r4,1,0.0,25.936062,[4 5] ; [228  17],[8.22047244 0.77952756] ; [223.77952756  21.22047244],1
r3,1,0.001165,10.54563,[6 3] ; [230  14],[8.39525692 0.60474308] ; [227.60474308  16.39525692],0
p10,1,0.008885,6.845819,[4 5] ; [194  47],[7.128 1.872] ; [190.872  50.128],0
d1,1,0.010833,6.492515,[1 8] ; [133 112],[4.7480315 4.2519685] ; [129.2519685 115.7480315],0
p2,1,0.016504,5.748358,[5 4] ; [208  36],[7.5770751 1.4229249] ; [205.4229249  38.5770751],0
s3,1,0.018268,5.570292,[3 6] ; [171  72],[6.21428571 2.78571429] ; [167.78571429  75.21428571],0
n4,1,0.019875,5.422837,[4 5] ; [190  54],[6.90118577 2.09881423] ; [187.09881423  56.90118577],0
p9,1,0.026174,4.944475,[5 4] ; [204  39],[7.46428571 1.53571429] ; [201.53571429  41.46428571],0
d4,1,0.079239,3.080434,[5 4] ; [194  49],[7.10714286 1.89285714] ; [191.89285714  51.10714286],0
p6,1,0.093732,2.809074,[1 8] ; [ 94 149],[3.39285714 5.60714286] ; [ 91.60714286 151.39285714],0
d5,1,0.110987,2.540111,[5 4] ; [190  53],[6.96428571 2.03571429] ; [188.03571429  54.96428571],0
p11,1,0.134285,2.24226,[5 4] ; [189  56],[6.87401575 2.12598425] ; [187.12598425  57.87401575],0
a7,1,0.152703,2.045042,[4 5] ; [165  80],[5.98818898 3.01181102] ; [163.01181102  81.98818898],0
n5,1,0.156752,2.005279,[5 4] ; [186  58],[6.7944664 2.2055336] ; [184.2055336  59.7944664],0
d3,1,0.173396,1.853339,[4 5] ; [162  82],[5.90513834 3.09486166] ; [160.09486166  83.90513834],0
a4,1,0.179238,1.803932,[2 7] ; [109 134],[3.96428571 5.03571429] ; [107.03571429 135.96428571],0
s5,1,0.207392,1.58954,[2 7] ; [105 137],[3.83665339 5.16334661] ; [103.16334661 138.83665339],0
v1,1,0.217108,1.523382,[2 7] ; [103 137],[3.79518072 5.20481928] ; [101.20481928 138.79518072],0
p7,1,0.228685,1.449024,[4 5] ; [152  85],[5.70731707 3.29268293] ; [150.29268293  86.70731707],0
p1,1,0.229461,1.444198,[2 7] ; [ 24 220],[0.92490119 8.07509881] ; [ 25.07509881 218.92490119],0
p4,1,0.244704,1.353291,[4 5] ; [155  89],[5.65612648 3.34387352] ; [153.34387352  90.65612648],0
s2,1,0.251778,1.313411,[4 5] ; [155  90],[5.63385827 3.36614173] ; [153.36614173  91.63385827],0
s7,1,0.273558,1.19882,[3 5] ; [134 101],[4.51028807 3.48971193] ; [132.48971193 102.51028807],0
a6,1,0.291524,1.112572,[4 5] ; [151  93],[5.51383399 3.48616601] ; [149.48616601  94.51383399],0
a5,1,0.363047,0.827327,[5 4] ; [171  74],[6.23622047 2.76377953] ; [169.76377953  75.23622047],0
a8,1,0.372086,0.796685,[2 7] ; [ 28 202],[1.12970711 7.87029289] ; [ 28.87029289 201.12970711],0
r1,1,0.390514,0.737341,[6 3] ; [192  52],[7.04347826 1.95652174] ; [190.95652174  53.04347826],0
b2,1,0.461981,0.541091,[1 4] ; [54 96],[1.77419355 3.22580645] ; [53.22580645 96.77419355],0
b3,1,0.461981,0.541091,[1 4] ; [54 96],[1.77419355 3.22580645] ; [53.22580645 96.77419355],0
p5,1,0.488373,0.48011,[2 7] ; [ 34 209],[1.28571429 7.71428571] ; [ 34.71428571 208.28571429],0
d2,1,0.51643,0.421017,[3 6] ; [108 136],[3.9486166 5.0513834] ; [107.0513834 136.9486166],0
b1,1,0.528141,0.397968,[5 4] ; [110 135],[4.07480315 4.92519685] ; [110.92519685 134.07480315],0
s1,1,0.553599,0.35091,[1 8] ; [ 15 227],[0.57370518 8.42629482] ; [ 15.42629482 226.57370518],0
s8,1,0.645504,0.211616,[4 5] ; [128 117],[4.67716535 4.32283465] ; [127.32283465 117.67716535],0
s4,1,0.657944,0.196031,[3 6] ; [ 64 176],[2.42168675 6.57831325] ; [ 64.57831325 175.42168675],0
n6,1,0.741651,0.108681,[8 1] ; [208  37],[7.65354331 1.34645669] ; [208.34645669  36.65354331],0
u2,1,0.803615,0.061838,[2 1] ; [47 32],[1.79268293 1.20731707] ; [47.20731707 31.79268293],0
b5,1,0.827904,0.047259,[5 4] ; [145 100],[5.31496063 3.68503937] ; [144.68503937 100.31496063],0
p3,1,0.836164,0.042767,[4 5] ; [117 127],[4.30434783 4.69565217] ; [116.69565217 127.30434783],0
p8,1,0.882913,0.021691,[5 4] ; [130 115],[4.78346457 4.21653543] ; [130.21653543 114.78346457],0
u3,1,0.927569,0.008264,[2 1] ; [50 28],[1.92592593 1.07407407] ; [50.07407407 27.92592593],0
a3,1,0.952001,0.003623,[6 3] ; [165  79],[6.08300395 2.91699605] ; [164.91699605  79.08300395],0
n3,1,0.970374,0.001379,[2 1] ; [42 22],[1.97014925 1.02985075] ; [42.02985075 21.97014925],0
v3,1,0.98174,0.000524,[2 7] ; [ 53 189],[1.97211155 7.02788845] ; [ 53.02788845 188.97211155],0
b4,1,0.997855,7e-06,[5 4] ; [136 109],[4.99606299 4.00393701] ; [136.00393701 108.99606299],0
