Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.3e-05,15.74145,[ 4 37] ; [14 12],[11.01492537 29.98507463] ; [ 6.98507463 19.01492537],1
p2,1,0.001273,10.38121,[14 27] ; [20  7],[20.5 20.5] ; [13.5 13.5],0
p6,1,0.001608,9.950769,[ 2 38] ; [ 9 17],[ 6.66666667 33.33333333] ; [ 4.33333333 21.66666667],0
p10,1,0.005896,7.581882,[ 3 38] ; [ 9 18],[ 7.23529412 33.76470588] ; [ 4.76470588 22.23529412],0
b1,1,0.00996,6.642044,[19 22] ; [21  6],[24.11764706 16.88235294] ; [15.88235294 11.11764706],0
s6,1,0.012391,6.254069,[ 8 33] ; [13 14],[12.66176471 28.33823529] ; [ 8.33823529 18.66176471],0
v4,1,0.012637,6.219231,[22 18] ; [22  4],[26.66666667 13.33333333] ; [17.33333333  8.66666667],0
p11,1,0.020418,5.375818,[10 31] ; [14 13],[14.47058824 26.52941176] ; [ 9.52941176 17.47058824],0
s3,1,0.024345,5.069916,[14 26] ; [17 10],[18.50746269 21.49253731] ; [12.49253731 14.50746269],0
p4,1,0.02726,4.874255,[ 8 33] ; [12 15],[12.05882353 28.94117647] ; [ 7.94117647 19.05882353],0
s2,1,0.030425,4.685127,[ 7 34] ; [11 16],[10.85294118 30.14705882] ; [ 7.14705882 19.85294118],0
r3,1,0.032051,4.595784,[25 16] ; [23  4],[28.94117647 12.05882353] ; [19.05882353  7.94117647],0
a5,1,0.050568,3.822532,[28 13] ; [12 15],[24.11764706 16.88235294] ; [15.88235294 11.11764706],0
n4,1,0.053289,3.734832,[25 16] ; [10 17],[21.10294118 19.89705882] ; [13.89705882 13.10294118],0
n2,1,0.084695,2.972426,[ 9 13] ; [8 3],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
a7,1,0.101903,2.675499,[25 16] ; [11 16],[21.70588235 19.29411765] ; [14.29411765 12.70588235],0
n3,1,0.137739,2.203037,[ 9 11] ; [8 3],[10.96774194  9.03225806] ; [6.03225806 4.96774194],0
a3,1,0.170131,1.88179,[26 14] ; [13 14],[23.28358209 16.71641791] ; [15.71641791 11.28358209],0
