Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3.6e-05,17.06739,[27 17] ; [ 2 21],[19.04477612 24.95522388] ; [ 9.95522388 13.04477612],1
d4,1,0.000435,12.375,[38  6] ; [10 12],[32. 12.] ; [16.  6.],1
p7,1,0.003512,8.52057,[16 28] ; [17  6],[21.67164179 22.32835821] ; [11.32835821 11.67164179],0
v4,1,0.005644,7.660714,[39  5] ; [13  9],[34.66666667  9.33333333] ; [17.33333333  4.66666667],0
d3,1,0.006101,7.520347,[27 17] ; [ 6 17],[21.67164179 22.32835821] ; [11.32835821 11.67164179],0
s6,1,0.020525,5.366674,[22 21] ; [ 5 18],[17.59090909 25.40909091] ; [ 9.40909091 13.59090909],0
a5,1,0.026134,4.947164,[24 20] ; [ 6 17],[19.70149254 24.29850746] ; [10.29850746 12.70149254],0
s5,1,0.038602,4.2783,[11 32] ; [ 1 21],[ 7.93846154 35.06153846] ; [ 4.06153846 17.93846154],0
a6,1,0.038622,4.277409,[27 17] ; [ 8 15],[22.98507463 21.01492537] ; [12.01492537 10.98507463],0
a7,1,0.055454,3.668383,[28 16] ; [ 9 14],[24.29850746 19.70149254] ; [12.70149254 10.29850746],0
n5,1,0.061345,3.500637,[ 8 36] ; [ 9 14],[11.1641791 32.8358209] ; [ 5.8358209 17.1641791],0
n3,1,0.077831,3.109615,[11 11] ; [9 2],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
r2,1,0.078462,3.096467,[37  7] ; [15  8],[34.14925373  9.85074627] ; [17.85074627  5.14925373],0
u3,1,0.087725,2.915629,[13  4] ; [6 7],[10.76666667  6.23333333] ; [8.23333333 4.76666667],0
s7,1,0.106325,2.608006,[11 31] ; [ 2 20],[ 8.53125 33.46875] ; [ 4.46875 17.53125],0
a4,1,0.107108,2.596384,[16 28] ; [ 4 19],[13.13432836 30.86567164] ; [ 6.86567164 16.13432836],0
p6,1,0.119615,2.42236,[ 6 36] ; [ 7 16],[ 8.4 33.6] ; [ 4.6 18.4],0
p11,1,0.151914,2.052923,[15 29] ; [12 11],[17.73134328 26.26865672] ; [ 9.26865672 13.73134328],0
a3,1,0.162155,1.954018,[27 17] ; [10 13],[24.29850746 19.70149254] ; [12.70149254 10.29850746],0
a8,1,0.237244,1.396896,[ 1 40] ; [ 2 20],[ 1.95238095 39.04761905] ; [ 1.04761905 20.95238095],0
v2,1,0.257516,1.282062,[19 25] ; [ 6 15],[16.92307692 27.07692308] ; [ 8.07692308 12.92307692],0
b4,1,0.27333,1.19996,[29 15] ; [12 11],[26.92537313 17.07462687] ; [14.07462687  8.92537313],0
p2,1,0.299298,1.077318,[19 25] ; [13 10],[21.01492537 22.98507463] ; [10.98507463 12.01492537],0
d2,1,0.306515,1.045634,[23 21] ; [ 9 14],[21.01492537 22.98507463] ; [10.98507463 12.01492537],0
r3,1,0.317181,1.000533,[37  7] ; [17  6],[35.46268657  8.53731343] ; [18.53731343  4.46268657],0
r4,1,0.36376,0.824872,[28 16] ; [12 11],[26.26865672 17.73134328] ; [13.73134328  9.26865672],0
p4,1,0.400387,0.707162,[20 24] ; [ 8 15],[18.3880597 25.6119403] ; [ 9.6119403 13.3880597],0
n1,1,0.407016,0.6875,[ 5 17] ; [4 7],[ 6. 16.] ; [3. 8.],0
s3,1,0.450636,0.569052,[15 29] ; [10 13],[16.41791045 27.58208955] ; [ 8.58208955 14.41791045],0
p8,1,0.464983,0.533873,[14 30] ; [ 9 13],[15.33333333 28.66666667] ; [ 7.66666667 14.33333333],0
p3,1,0.585076,0.2981,[12 31] ; [ 5 18],[11.07575758 31.92424242] ; [ 5.92424242 17.07575758],0
s1,1,0.615522,0.252212,[ 4 40] ; [ 3 20],[ 4.59701493 39.40298507] ; [ 2.40298507 20.59701493],0
n2,1,0.618402,0.24812,[12 10] ; [7 4],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
u1,1,0.685319,0.1642,[ 3 41] ; [ 1 22],[ 2.62686567 41.37313433] ; [ 1.37313433 21.62686567],0
r1,1,0.70124,0.147185,[27 17] ; [13 10],[26.26865672 17.73134328] ; [13.73134328  9.26865672],0
u2,1,0.712547,0.135747,[8 9] ; [7 6],[8.5 8.5] ; [6.5 6.5],0
s8,1,0.726845,0.122028,[ 7 36] ; [ 3 20],[ 6.51515152 36.48484848] ; [ 3.48484848 19.51515152],0
n6,1,0.72959,0.119489,[23 21] ; [11 12],[22.32835821 21.67164179] ; [11.67164179 11.32835821],0
b1,1,0.72959,0.119489,[23 21] ; [11 12],[22.32835821 21.67164179] ; [11.67164179 11.32835821],0
v1,1,0.759412,0.093791,[10 34] ; [ 6 17],[10.50746269 33.49253731] ; [ 5.49253731 17.50746269],0
p10,1,0.763375,0.090632,[ 9 35] ; [ 4 19],[ 8.53731343 35.46268657] ; [ 4.46268657 18.53731343],0
s2,1,0.828897,0.046706,[12 31] ; [ 7 16],[12.37878788 30.62121212] ; [ 6.62121212 16.37878788],0
b5,1,0.853344,0.034171,[24 20] ; [12 11],[23.64179104 20.35820896] ; [12.35820896 10.64179104],0
s4,1,0.902268,0.015079,[ 9 35] ; [ 5 18],[ 9.19402985 34.80597015] ; [ 4.80597015 18.19402985],0
v3,1,0.908026,0.013347,[ 7 36] ; [ 4 19],[ 7.16666667 35.83333333] ; [ 3.83333333 19.16666667],0
p1,1,0.970374,0.001379,[ 2 42] ; [ 1 22],[ 1.97014925 42.02985075] ; [ 1.02985075 21.97014925],0
