Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,55.244575,[72  9] ; [ 5 26],[55.6875 25.3125] ; [21.3125  9.6875],1
s7,1,5e-06,21.028311,[58 21] ; [ 8 23],[47.4 31.6] ; [18.6 12.4],1
s6,1,3.2e-05,17.295523,[72  5] ; [19 12],[64.87962963 12.12037037] ; [26.12037037  4.87962963],1
s8,1,0.00013,14.642845,[51 30] ; [ 7 24],[41.94642857 39.05357143] ; [16.05357143 14.94642857],1
r2,1,0.000484,12.17456,[77  3] ; [23  8],[72.07207207  7.92792793] ; [27.92792793  3.07207207],1
r4,1,0.001831,9.711989,[74  7] ; [21 10],[68.70535714 12.29464286] ; [26.29464286  4.70535714],0
r3,1,0.005867,7.590853,[75  4] ; [24  7],[71.1  7.9] ; [27.9  3.1],0
r1,1,0.006594,7.38036,[65 16] ; [17 14],[59.30357143 21.69642857] ; [22.69642857  8.30357143],0
s5,1,0.007157,7.233108,[44 28] ; [10 21],[37.74757282 34.25242718] ; [16.25242718 14.74757282],0
u3,1,0.01796,5.6,[14  7] ; [ 4 11],[10.5 10.5] ; [7.5 7.5],0
a3,1,0.022773,5.185772,[60 21] ; [16 15],[54.96428571 26.03571429] ; [21.03571429  9.96428571],0
v4,1,0.028228,4.814119,[79  2] ; [27  4],[76.66071429  4.33928571] ; [29.33928571  1.66071429],0
a6,1,0.037073,4.347076,[54 27] ; [14 17],[49.17857143 31.82142857] ; [18.82142857 12.17857143],0
n6,1,0.038162,4.297791,[75  5] ; [25  6],[72.07207207  7.92792793] ; [27.92792793  3.07207207],0
d1,1,0.03834,4.289888,[49 32] ; [12 19],[44.11607143 36.88392857] ; [16.88392857 14.11607143],0
d2,1,0.039791,4.226766,[41 40] ; [ 9 22],[36.16071429 44.83928571] ; [13.83928571 17.16071429],0
p9,1,0.048935,3.877571,[73  7] ; [24  7],[69.90990991 10.09009009] ; [27.09009009  3.90990991],0
v3,1,0.057511,3.607741,[25 55] ; [ 4 26],[21.09090909 58.90909091] ; [ 7.90909091 22.09090909],0
b1,1,0.070767,3.265137,[36 45] ; [ 8 23],[31.82142857 49.17857143] ; [12.17857143 18.82142857],0
a2,1,0.078438,3.096964,[20 61] ; [ 3 28],[16.63392857 64.36607143] ; [ 6.36607143 24.63392857],0
n4,1,0.084,2.985748,[67 14] ; [21 10],[63.64285714 17.35714286] ; [24.35714286  6.64285714],0
p4,1,0.091438,2.848869,[58 23] ; [17 14],[54.24107143 26.75892857] ; [20.75892857 10.24107143],0
a4,1,0.102875,2.660397,[40 41] ; [10 21],[36.16071429 44.83928571] ; [13.83928571 17.16071429],0
u2,1,0.122865,2.380408,[11 10] ; [ 4 11],[ 8.75 12.25] ; [6.25 8.75],0
p3,1,0.126629,2.333348,[47 34] ; [13 18],[43.39285714 37.60714286] ; [16.60714286 14.39285714],0
u1,1,0.162028,1.955195,[17 64] ; [ 3 28],[14.46428571 66.53571429] ; [ 5.53571429 25.46428571],0
a5,1,0.234316,1.41447,[59 22] ; [19 12],[56.41071429 24.58928571] ; [21.58928571  9.41071429],0
n1,1,0.242908,1.363636,[ 4 16] ; [4 6],[ 5.33333333 14.66666667] ; [2.66666667 7.33333333],0
p7,1,0.243113,1.362453,[56 21] ; [19 12],[53.47222222 23.52777778] ; [21.52777778  9.47222222],0
b4,1,0.269569,1.21894,[46 35] ; [14 17],[43.39285714 37.60714286] ; [16.60714286 14.39285714],0
d4,1,0.291359,1.11333,[65 16] ; [22  9],[62.91964286 18.08035714] ; [24.08035714  6.91964286],0
d5,1,0.291359,1.11333,[65 16] ; [22  9],[62.91964286 18.08035714] ; [24.08035714  6.91964286],0
p12,1,0.319358,0.991576,[ 7 74] ; [ 1 30],[ 5.78571429 75.21428571] ; [ 2.21428571 28.78571429],0
p10,1,0.341446,0.904994,[68 12] ; [24  7],[66.30630631 13.69369369] ; [25.69369369  5.30630631],0
p8,1,0.342089,0.902588,[50 29] ; [16 14],[47.83486239 31.16513761] ; [18.16513761 11.83486239],0
p5,1,0.366891,0.814167,[10 71] ; [ 2 29],[ 8.67857143 72.32142857] ; [ 3.32142857 27.67857143],0
p11,1,0.392974,0.729719,[66 15] ; [23  8],[64.36607143 16.63392857] ; [24.63392857  6.36607143],0
s1,1,0.405893,0.690799,[ 6 74] ; [ 1 30],[ 5.04504505 74.95495495] ; [ 1.95495495 29.04504505],0
a7,1,0.429641,0.623793,[56 25] ; [19 12],[54.24107143 26.75892857] ; [20.75892857 10.24107143],0
a8,1,0.430016,0.622781,[ 6 72] ; [ 1 28],[ 5.10280374 72.89719626] ; [ 1.89719626 27.10280374],0
p2,1,0.446047,0.580677,[70 11] ; [25  6],[68.70535714 12.29464286] ; [26.29464286  4.70535714],0
b3,1,0.480797,0.497056,[ 8 36] ; [ 4 11],[ 8.94915254 35.05084746] ; [ 3.05084746 11.94915254],0
b2,1,0.480797,0.497056,[ 8 36] ; [ 4 11],[ 8.94915254 35.05084746] ; [ 3.05084746 11.94915254],0
p6,1,0.513968,0.42598,[36 43] ; [12 19],[34.47272727 44.52727273] ; [13.52727273 17.47272727],0
b5,1,0.671468,0.17989,[48 33] ; [17 14],[47.00892857 33.99107143] ; [17.99107143 13.00892857],0
p1,1,0.702823,0.145552,[ 7 74] ; [ 2 29],[ 6.50892857 74.49107143] ; [ 2.49107143 28.50892857],0
n3,1,0.770335,0.085227,[15  5] ; [7 3],[14.66666667  5.33333333] ; [7.33333333 2.66666667],0
