Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,7e-06,20.324128,[24  5] ; [ 5 19],[15.86792453 13.13207547] ; [13.13207547 10.86792453],1
d1,1,1.2e-05,19.144508,[18 11] ; [ 1 23],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],1
d3,1,0.000355,12.757788,[19 10] ; [ 4 20],[12.58490566 16.41509434] ; [10.41509434 13.58490566],1
u3,1,0.011864,6.331081,[6 5] ; [ 1 12],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
a7,1,0.026486,4.924032,[16 13] ; [ 6 18],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
b4,1,0.045933,3.98405,[20  9] ; [10 14],[16.41509434 12.58490566] ; [13.58490566 10.41509434],0
r1,1,0.09712,2.75221,[15 14] ; [ 7 17],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
p9,1,0.10409,2.641726,[13 15] ; [ 5 16],[10.28571429 17.71428571] ; [ 7.71428571 13.28571429],0
n4,1,0.110685,2.544411,[17 12] ; [19  5],[19.69811321  9.30188679] ; [16.30188679  7.69811321],0
v2,1,0.1627,1.948948,[ 7 22] ; [ 2 20],[ 5.11764706 23.88235294] ; [ 3.88235294 18.11764706],0
p10,1,0.163364,1.942809,[13 16] ; [ 6 17],[10.59615385 18.40384615] ; [ 8.40384615 14.59615385],0
s3,1,0.179021,1.805731,[11 17] ; [ 5 18],[ 8.78431373 19.21568627] ; [ 7.21568627 15.78431373],0
b5,1,0.199531,1.645807,[16 13] ; [ 9 15],[13.67924528 15.32075472] ; [11.32075472 12.67924528],0
a5,1,0.219077,1.510405,[17 12] ; [10 14],[14.77358491 14.22641509] ; [12.22641509 11.77358491],0
p3,1,0.226229,1.464412,[ 9 20] ; [ 4 20],[ 7.11320755 21.88679245] ; [ 5.88679245 18.11320755],0
n5,1,0.226229,1.464412,[20  9] ; [20  4],[21.88679245  7.11320755] ; [18.11320755  5.88679245],0
