Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,31.006077,[35 28] ; [225  35],[50.7120743 12.2879257] ; [209.2879257  50.7120743],1
d2,1,0.0,27.2201,[18 45] ; [169  92],[36.36111111 26.63888889] ; [150.63888889 110.36111111],1
d1,1,0.0,25.448772,[26 37] ; [194  67],[42.77777778 20.22222222] ; [177.22222222  83.77777778],1
a4,1,1e-06,24.769951,[13 50] ; [145 116],[30.72222222 32.27777778] ; [127.27777778 133.72222222],1
u1,1,0.00014,14.50257,[ 3 60] ; [ 71 190],[14.38888889 48.61111111] ; [ 59.61111111 201.38888889],1
d5,1,0.000286,13.159096,[45 18] ; [232  28],[54.02786378  8.97213622] ; [222.97213622  37.02786378],1
a6,1,0.000489,12.155841,[30 33] ; [184  76],[41.73993808 21.26006192] ; [172.26006192  87.73993808],1
d4,1,0.000649,11.628484,[45 18] ; [230  30],[53.6377709  9.3622291] ; [221.3622291  38.6377709],1
s5,1,0.003625,8.462737,[17 42] ; [124 125],[27.00974026 31.99025974] ; [113.99025974 135.00974026],0
b3,1,0.005828,7.602805,[10 30] ; [90 94],[17.85714286 22.14285714] ; [ 82.14285714 101.85714286],0
b2,1,0.005828,7.602805,[10 30] ; [90 94],[17.85714286 22.14285714] ; [ 82.14285714 101.85714286],0
d3,1,0.006837,7.315172,[34 29] ; [187  74],[42.97222222 20.02777778] ; [178.02777778  82.97222222],0
p1,1,0.012745,6.204178,[11 52] ; [ 19 241],[ 5.85139319 57.14860681] ; [ 24.14860681 235.85139319],0
n4,1,0.0182,5.576787,[52 11] ; [240  20],[56.95356037  6.04643963] ; [235.04643963  24.95356037],0
p9,1,0.024176,5.08198,[53 10] ; [241  18],[57.52173913  5.47826087] ; [236.47826087  22.52173913],0
v1,1,0.025962,4.958533,[33 29] ; [172  80],[40.47770701 21.52229299] ; [164.52229299  87.47770701],0
s1,1,0.052823,3.749521,[ 5 58] ; [  7 248],[ 2.37735849 60.62264151] ; [  9.62264151 245.37735849],0
