Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,72.189615,[325  73] ; [68 83],[284.90710383 113.09289617] ; [108.09289617  42.90710383],1
a6,1,0.0,69.295947,[331  66] ; [73 78],[292.67883212 104.32116788] ; [111.32116788  39.67883212],1
a2,1,0.0,32.398048,[147 252] ; [ 18 133],[119.7 279.3] ; [ 45.3 105.7],1
u1,1,1e-06,24.433808,[110 289] ; [ 12 139],[ 88.50545455 310.49454545] ; [ 33.49454545 117.50545455],1
b5,1,3e-06,21.636884,[259 140] ; [65 86],[235.04727273 163.95272727] ; [88.95272727 62.04727273],1
p4,1,0.001608,9.950235,[275 121] ; [82 67],[259.39816514 136.60183486] ; [97.60183486 51.39816514],0
r4,1,0.003865,8.346321,[374  25] ; [130  21],[365.62909091  33.37090909] ; [138.37090909  12.62909091],0
d1,1,0.003905,8.327516,[284 115] ; [88 63],[269.86909091 129.13090909] ; [102.13090909  48.86909091],0
u3,1,0.004336,8.137585,[61 27] ; [11 17],[54.62068966 33.37931034] ; [17.37931034 10.62068966],0
v2,1,0.00511,7.840146,[245 136] ; [75 72],[230.90909091 150.09090909] ; [89.09090909 57.90909091],0
v4,1,0.006982,7.277515,[383  11] ; [138  12],[377.34191176  16.65808824] ; [143.65808824   6.34191176],0
b3,1,0.01802,5.594221,[ 98 157] ; [56 52],[108.18181818 146.81818182] ; [45.81818182 62.18181818],0
b2,1,0.01802,5.594221,[ 98 157] ; [56 52],[108.18181818 146.81818182] ; [45.81818182 62.18181818],0
p8,1,0.021846,5.257982,[241 150] ; [74 72],[229.3575419 161.6424581] ; [85.6424581 60.3575419],0
r1,1,0.02999,4.709863,[342  54] ; [119  32],[333.74040219  62.25959781] ; [127.25959781  23.74040219],0
s7,1,0.036972,4.351719,[190 189] ; [88 58],[200.68952381 178.31047619] ; [77.31047619 68.68952381],0
s8,1,0.043425,4.078787,[182 211] ; [84 66],[192.51933702 200.48066298] ; [73.48066298 76.51933702],0
b4,1,0.046873,3.949954,[246 153] ; [79 72],[235.77272727 163.22727273] ; [89.22727273 61.77272727],0
b1,1,0.054821,3.687528,[139 260] ; [66 85],[148.71818182 250.28181818] ; [56.28181818 94.71818182],0
r2,1,0.0864,2.940198,[375  17] ; [137  12],[370.987061  21.012939] ; [141.012939   7.987061],0
p10,1,0.1428,2.147523,[357  39] ; [126  21],[352.24309392  43.75690608] ; [130.75690608  16.24309392],0
p2,1,0.150377,2.068427,[353  44] ; [124  23],[348.10477941  48.89522059] ; [128.89522059  18.10477941],0
d4,1,0.157096,2.001959,[350  48] ; [125  25],[344.98175182  53.01824818] ; [130.01824818  19.98175182],0
r3,1,0.203049,1.620305,[383  12] ; [142   8],[380.50458716  14.49541284] ; [144.49541284   5.50458716],0
n5,1,0.207481,1.58892,[310  85] ; [125  25],[315.27522936  79.72477064] ; [119.72477064  30.27522936],0
p12,1,0.221166,1.496789,[ 44 352] ; [ 11 135],[ 40.18450185 355.81549815] ; [ 14.81549815 131.18450185],0
s5,1,0.235936,1.404711,[134 252] ; [58 86],[139.83396226 246.16603774] ; [52.16603774 91.83396226],0
p9,1,0.266587,1.234226,[358  35] ; [131  18],[354.5701107  38.4298893] ; [134.4298893  14.5701107],0
a8,1,0.286149,1.137654,[ 53 302] ; [ 16 126],[ 49.28571429 305.71428571] ; [ 19.71428571 122.28571429],0
