Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,25.492443,[52 12] ; [ 7 20],[41.49450549 22.50549451] ; [17.50549451  9.49450549],1
d1,1,1e-06,25.249924,[39 25] ; [ 1 26],[28.13186813 35.86813187] ; [11.86813187 15.13186813],1
d3,1,0.001196,10.495839,[38 26] ; [ 6 21],[30.94505495 33.05494505] ; [13.05494505 13.94505495],0
d2,1,0.002787,8.941799,[38 25] ; [ 7 20],[31.5 31.5] ; [13.5 13.5],0
a5,1,0.007719,7.097635,[43 21] ; [10 17],[37.27472527 26.72527473] ; [15.72527473 11.27472527],0
v2,1,0.011924,6.322165,[25 38] ; [ 3 22],[20.04545455 42.95454545] ; [ 7.95454545 17.04545455],0
r3,1,0.032531,4.570312,[47 17] ; [13 13],[42.66666667 21.33333333] ; [17.33333333  8.66666667],0
n5,1,0.032996,4.545974,[31 33] ; [19  7],[35.55555556 28.44444444] ; [14.44444444 11.55555556],0
a3,1,0.039149,4.254394,[41 23] ; [10 15],[36.6741573 27.3258427] ; [14.3258427 10.6741573],0
u2,1,0.065237,3.398969,[13  9] ; [ 5 12],[10.15384615 11.84615385] ; [7.84615385 9.15384615],0
n6,1,0.066159,3.375836,[40 23] ; [11 15],[36.1011236 26.8988764] ; [14.8988764 11.1011236],0
a4,1,0.071623,3.245416,[30 33] ; [ 7 19],[26.19101124 36.80898876] ; [10.80898876 15.19101124],0
a7,1,0.084244,2.981066,[35 29] ; [ 9 17],[31.28888889 32.71111111] ; [12.71111111 13.28888889],0
n4,1,0.106516,2.605168,[35 29] ; [19  7],[38.4 25.6] ; [15.6 10.4],0
s7,1,0.112125,2.524014,[16 43] ; [ 3 23],[13.18823529 45.81176471] ; [ 5.81176471 20.18823529],0
a1,1,0.135781,2.225134,[ 5 59] ; [ 5 22],[ 7.03296703 56.96703297] ; [ 2.96703297 24.03296703],0
u1,1,0.148933,2.083141,[ 9 55] ; [ 1 26],[ 7.03296703 56.96703297] ; [ 2.96703297 24.03296703],0
a2,1,0.170712,1.876684,[12 52] ; [ 2 25],[ 9.84615385 54.15384615] ; [ 4.15384615 22.84615385],0
s5,1,0.180896,1.790246,[12 51] ; [ 2 24],[ 9.91011236 53.08988764] ; [ 4.08988764 21.91011236],0
s1,1,0.195723,1.674006,[ 6 58] ; [ 5 21],[ 7.82222222 56.17777778] ; [ 3.17777778 22.82222222],0
p1,1,0.259344,1.272253,[ 3 61] ; [ 3 24],[ 4.21978022 59.78021978] ; [ 1.78021978 25.21978022],0
r4,1,0.26009,1.268277,[39 25] ; [13 14],[36.57142857 27.42857143] ; [15.42857143 11.57142857],0
s2,1,0.269379,1.219906,[19 45] ; [ 5 22],[16.87912088 47.12087912] ; [ 7.12087912 19.87912088],0
p11,1,0.287239,1.132517,[24 40] ; [ 7 20],[21.8021978 42.1978022] ; [ 9.1978022 17.8021978],0
p5,1,0.340606,0.908151,[ 2 62] ; [ 2 24],[ 2.84444444 61.15555556] ; [ 1.15555556 24.84444444],0
a8,1,0.389243,0.741304,[ 4 58] ; [ 3 22],[ 4.98850575 57.01149425] ; [ 2.01149425 22.98850575],0
v4,1,0.393699,0.727487,[43 21] ; [15 11],[41.24444444 22.75555556] ; [16.75555556  9.24444444],0
n1,1,0.401088,0.705061,[12 18] ; [7 6],[13.25581395 16.74418605] ; [5.74418605 7.25581395],0
p4,1,0.412954,0.670279,[17 47] ; [ 5 22],[15.47252747 48.52747253] ; [ 6.52747253 20.47252747],0
s8,1,0.446304,0.580021,[11 52] ; [ 3 24],[ 9.8 53.2] ; [ 4.2 22.8],0
v3,1,0.446377,0.579835,[20 42] ; [ 6 19],[18.52873563 43.47126437] ; [ 7.47126437 17.52873563],0
p8,1,0.502733,0.449162,[11 53] ; [ 3 23],[ 9.95555556 54.04444444] ; [ 4.04444444 21.95555556],0
s6,1,0.514403,0.425101,[28 35] ; [10 17],[26.6 36.4] ; [11.4 15.6],0
n2,1,0.525588,0.402915,[17 13] ; [6 7],[16.04651163 13.95348837] ; [6.95348837 6.04651163],0
b5,1,0.568146,0.325795,[35 29] ; [13 14],[33.75824176 30.24175824] ; [14.24175824 12.75824176],0
p6,1,0.598524,0.277227,[10 53] ; [ 3 23],[ 9.20224719 53.79775281] ; [ 3.79775281 22.20224719],0
b4,1,0.600749,0.273868,[37 27] ; [14 13],[35.86813187 28.13186813] ; [15.13186813 11.86813187],0
s4,1,0.684743,0.164835,[ 9 54] ; [ 3 24],[ 8.4 54.6] ; [ 3.6 23.4],0
