Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000279,13.206812,[18  9] ; [31 76],[ 9.87313433 17.12686567] ; [39.12686567 67.87313433],1
p6,1,0.003428,8.564189,[10 17] ; [14 94],[ 4.8 22.2] ; [19.2 88.8],0
d4,1,0.014962,5.920922,[25  2] ; [76 33],[20.05147059  6.94852941] ; [80.94852941 28.05147059],0
n1,1,0.038081,4.301408,[6 2] ; [20 35],[3.3015873 4.6984127] ; [22.6984127 32.3015873],0
r2,1,0.099825,2.708333,[26  1] ; [91 17],[23.4  3.6] ; [93.6 14.4],0
v2,1,0.122403,2.386306,[13 13] ; [35 69],[ 9.6 16.4] ; [38.4 65.6],0
a8,1,0.129068,2.303678,[ 5 21] ; [ 9 93],[ 2.84375 23.15625] ; [11.15625 90.84375],0
v1,1,0.134137,2.243966,[13 14] ; [36 74],[ 9.65693431 17.34306569] ; [39.34306569 70.65693431],0
n4,1,0.138547,2.194028,[19  7] ; [63 47],[15.67647059 10.32352941] ; [66.32352941 43.67647059],0
n2,1,0.139679,2.181488,[7 1] ; [34 22],[5.125 2.875] ; [35.875 20.125],0
s5,1,0.14965,2.075815,[ 8 17] ; [20 86],[ 5.34351145 19.65648855] ; [22.65648855 83.34351145],0
v4,1,0.173707,1.850654,[24  3] ; [84 25],[21.44117647  5.55882353] ; [86.55882353 22.44117647],0
p1,1,0.187677,1.735759,[ 3 24] ; [  5 106],[ 1.56521739 25.43478261] ; [  6.43478261 104.56521739],0
a3,1,0.242528,1.365841,[20  7] ; [67 41],[17.4  9.6] ; [69.6 38.4],0
s6,1,0.280025,1.166969,[14 13] ; [44 65],[11.51470588 15.48529412] ; [46.48529412 62.51470588],0
a1,1,0.304685,1.053577,[ 1 26] ; [ 11 100],[ 2.34782609 24.65217391] ; [  9.65217391 101.34782609],0
r4,1,0.335725,0.926687,[19  8] ; [67 44],[16.82608696 10.17391304] ; [69.17391304 41.82608696],0
n5,1,0.352683,0.86378,[13 13] ; [66 44],[15.10294118 10.89705882] ; [63.89705882 46.10294118],0
b4,1,0.358068,0.84466,[17 10] ; [59 52],[14.86956522 12.13043478] ; [61.13043478 49.86956522],0
b1,1,0.365273,0.819682,[16 11] ; [55 56],[13.89130435 13.10869565] ; [57.10869565 53.89130435],0
p2,1,0.369986,0.803713,[15 12] ; [51 60],[12.91304348 14.08695652] ; [53.08695652 57.91304348],0
b5,1,0.379154,0.773443,[19  8] ; [68 43],[17.02173913  9.97826087] ; [69.97826087 41.02173913],0
s8,1,0.390005,0.738926,[ 8 19] ; [24 86],[ 6.30656934 20.69343066] ; [25.69343066 84.30656934],0
u1,1,0.448648,0.574066,[ 2 25] ; [14 97],[ 3.13043478 23.86956522] ; [12.86956522 98.13043478],0
s3,1,0.463193,0.538168,[13 14] ; [44 65],[11.31617647 15.68382353] ; [45.68382353 63.31617647],0
s7,1,0.463652,0.537063,[ 9 15] ; [31 73],[ 7.5 16.5] ; [32.5 71.5],0
d1,1,0.470836,0.520013,[14 13] ; [49 62],[12.32608696 14.67391304] ; [50.67391304 60.32608696],0
a5,1,0.503191,0.448201,[17 10] ; [62 49],[15.45652174 11.54347826] ; [63.54347826 47.45652174],0
d2,1,0.519909,0.414073,[14 13] ; [49 60],[12.50735294 14.49264706] ; [50.49264706 58.50735294],0
n6,1,0.525789,0.402523,[13 13] ; [62 47],[14.44444444 11.55555556] ; [60.55555556 48.44444444],0
p10,1,0.549494,0.358225,[11 16] ; [50 56],[12.38345865 14.61654135] ; [48.61654135 57.38345865],0
u3,1,0.652136,0.203217,[3 4] ; [15 29],[2.47058824 4.52941176] ; [15.52941176 28.47058824],0
d5,1,0.724087,0.124611,[20  7] ; [77 32],[19.25735294  7.74264706] ; [77.74264706 31.25735294],0
p9,1,0.724524,0.1242,[13 14] ; [53 49],[13.81395349 13.18604651] ; [52.18604651 49.81395349],0
v3,1,0.738126,0.111781,[ 7 18] ; [26 79],[ 6.34615385 18.65384615] ; [26.65384615 78.34615385],0
b2,1,0.769254,0.086054,[5 9] ; [22 33],[5.47826087 8.52173913] ; [21.52173913 33.47826087],0
b3,1,0.769254,0.086054,[5 9] ; [22 33],[5.47826087 8.52173913] ; [21.52173913 33.47826087],0
a2,1,0.780713,0.077501,[ 6 21] ; [22 89],[ 5.47826087 21.52173913] ; [22.52173913 88.47826087],0
s2,1,0.783899,0.075209,[10 17] ; [38 73],[ 9.39130435 17.60869565] ; [38.60869565 72.39130435],0
r3,1,0.794342,0.067952,[20  7] ; [78 31],[19.45588235  7.54411765] ; [78.54411765 30.45588235],0
r1,1,0.811767,0.056714,[18  9] ; [70 39],[17.47058824  9.52941176] ; [70.52941176 38.47058824],0
p8,1,0.814558,0.055014,[ 6 21] ; [22 87],[ 5.55882353 21.44117647] ; [22.44117647 86.55882353],0
d3,1,0.862882,0.029828,[15 12] ; [58 50],[14.6 12.4] ; [58.4 49.6],0
s4,1,0.878502,0.023369,[ 5 22] ; [22 89],[ 5.2826087 21.7173913] ; [21.7173913 89.2826087],0
u2,1,0.968737,0.001536,[2 3] ; [18 26],[2.04081633 2.95918367] ; [17.95918367 26.04081633],0
a4,1,0.971739,0.001255,[11 16] ; [44 65],[10.91911765 16.08088235] ; [44.08088235 64.91911765],0
a7,1,0.975881,0.000914,[18  9] ; [73 36],[18.06617647  8.93382353] ; [72.93382353 36.06617647],0
a6,1,0.987279,0.000254,[16 11] ; [65 45],[15.96350365 11.03649635] ; [65.03649635 44.96350365],0
s1,1,0.990336,0.000147,[ 2 25] ; [  8 101],[ 1.98529412 25.01470588] ; [  8.01470588 100.98529412],0
