Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.024762,5.040465,[ 2 11] ; [8 6],[4.81481481 8.18518519] ; [5.18518519 8.81481481],0
v4,1,0.029345,4.747253,[6 7] ; [12  2],[8.66666667 4.33333333] ; [9.33333333 4.66666667],0
d4,1,0.06999,3.283256,[7 6] ; [12  2],[9.14814815 3.85185185] ; [9.85185185 4.14814815],0
s3,1,0.114306,2.493656,[4 9] ; [ 1 13],[ 2.40740741 10.59259259] ; [ 2.59259259 11.40740741],0
v2,1,0.162862,1.947453,[ 1 12] ; [ 4 10],[ 2.40740741 10.59259259] ; [ 2.59259259 11.40740741],0
p2,1,0.168201,1.898901,[9 4] ; [6 8],[7.22222222 5.77777778] ; [7.77777778 6.22222222],0
u2,1,0.196706,1.666667,[1 3] ; [4 2],[2. 2.] ; [3. 3.],0
n3,1,0.204894,1.607143,[4 2] ; [3 6],[2.8 3.2] ; [4.2 4.8],0
r1,1,0.309558,1.032561,[4 9] ; [7 7],[5.2962963 7.7037037] ; [5.7037037 8.2962963],0
n6,1,0.309558,1.032561,[4 9] ; [7 7],[5.2962963 7.7037037] ; [5.7037037 8.2962963],0
a5,1,0.309558,1.032561,[4 9] ; [7 7],[5.2962963 7.7037037] ; [5.7037037 8.2962963],0
a7,1,0.331693,0.942278,[5 8] ; [8 6],[6.25925926 6.74074074] ; [6.74074074 7.25925926],0
r2,1,0.343446,0.897527,[6 7] ; [9 5],[7.22222222 5.77777778] ; [7.77777778 6.22222222],0
d3,1,0.343446,0.897527,[6 7] ; [9 5],[7.22222222 5.77777778] ; [7.77777778 6.22222222],0
b2,1,0.393153,0.729167,[1 5] ; [3 5],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
b3,1,0.393153,0.729167,[1 5] ; [3 5],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
n2,1,0.398025,0.714286,[4 2] ; [4 5],[3.2 2.8] ; [4.8 4.2],0
v3,1,0.410214,0.678179,[ 2 11] ; [ 4 10],[ 2.88888889 10.11111111] ; [ 3.11111111 10.88888889],0
p3,1,0.410214,0.678179,[ 2 11] ; [ 4 10],[ 2.88888889 10.11111111] ; [ 3.11111111 10.88888889],0
d2,1,0.410214,0.678179,[ 2 11] ; [ 4 10],[ 2.88888889 10.11111111] ; [ 3.11111111 10.88888889],0
p7,1,0.462325,0.54026,[6 6] ; [5 9],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
s8,1,0.495947,0.463599,[ 2 11] ; [ 1 13],[ 1.44444444 11.55555556] ; [ 1.55555556 12.44444444],0
s1,1,0.495947,0.463599,[ 2 11] ; [ 1 13],[ 1.44444444 11.55555556] ; [ 1.55555556 12.44444444],0
a3,1,0.515759,0.422366,[9 4] ; [8 6],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
p11,1,0.515759,0.422366,[4 9] ; [6 8],[4.81481481 8.18518519] ; [5.18518519 8.81481481],0
s4,1,0.556812,0.345255,[ 3 10] ; [ 2 12],[ 2.40740741 10.59259259] ; [ 2.59259259 11.40740741],0
p10,1,0.567996,0.326048,[6 7] ; [8 6],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
b5,1,0.567996,0.326048,[6 7] ; [8 6],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
b4,1,0.567996,0.326048,[6 7] ; [8 6],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
b1,1,0.585957,0.296703,[8 5] ; [10  4],[8.66666667 4.33333333] ; [9.33333333 4.66666667],0
s7,1,0.653368,0.201681,[3 9] ; [4 8],[3.5 8.5] ; [3.5 8.5],0
s6,1,0.686239,0.163187,[ 2 11] ; [ 3 11],[ 2.40740741 10.59259259] ; [ 2.59259259 11.40740741],0
p9,1,0.694887,0.153846,[7 6] ; [6 7],[6.5 6.5] ; [6.5 6.5],0
a4,1,0.744785,0.105965,[ 3 10] ; [ 4 10],[3.37037037 9.62962963] ; [ 3.62962963 10.37037037],0
p8,1,0.755794,0.096726,[5 7] ; [5 9],[4.61538462 7.38461538] ; [5.38461538 8.61538462],0
n5,1,0.86324,0.02967,[6 7] ; [6 8],[5.77777778 7.22222222] ; [6.22222222 7.77777778],0
p4,1,0.882577,0.021816,[5 8] ; [5 9],[4.81481481 8.18518519] ; [5.18518519 8.81481481],0
v1,1,0.882577,0.021816,[5 8] ; [5 9],[4.81481481 8.18518519] ; [5.18518519 8.81481481],0
p6,1,0.935989,0.00645,[ 2 11] ; [ 2 12],[ 1.92592593 11.07407407] ; [ 2.07407407 11.92592593],0
s5,1,0.95656,0.002967,[ 1 12] ; [ 1 13],[ 0.96296296 12.03703704] ; [ 1.03703704 12.96296296],0
n1,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
