Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,126.605127,[300  54] ; [109 154],[234.66126418 119.33873582] ; [174.33873582  88.66126418],1
p4,1,0.0,63.383066,[273  86] ; [120 147],[225.37859425 133.62140575] ; [167.62140575  99.37859425],1
p6,1,0.0,49.03227,[181 176] ; [ 61 204],[138.89710611 218.10289389] ; [103.10289389 161.89710611],1
p3,1,0.0,48.568559,[234 125] ; [ 99 168],[190.96964856 168.03035144] ; [142.03035144 124.96964856],1
p2,1,0.0,42.27494,[336  22] ; [202  65],[308.1664  49.8336] ; [229.8336  37.1664],1
p5,1,0.0,26.112622,[ 70 289] ; [ 14 249],[ 48.48231511 310.51768489] ; [ 35.51768489 227.48231511],1
p10,1,2.7e-05,17.634672,[329  26] ; [217  49],[312.12560386  42.87439614] ; [233.87439614  32.12560386],1
p9,1,2.9e-05,17.482181,[335  22] ; [221  44],[319.11897106  37.88102894] ; [236.88102894  28.11897106],1
s8,1,0.00033,12.89074,[184 173] ; [ 99 168],[161.90865385 195.09134615] ; [121.09134615 145.90865385],1
s5,1,0.000931,10.960196,[140 203] ; [ 72 187],[120.79069767 222.20930233] ; [ 91.20930233 167.79069767],1
p1,1,0.002576,9.085906,[ 44 313] ; [ 14 253],[ 33.18269231 323.81730769] ; [ 24.81730769 242.18269231],0
v1,1,0.003307,8.629684,[214 139] ; [124 131],[196.24013158 156.75986842] ; [141.75986842 113.24013158],0
a5,1,0.005886,7.584762,[283  77] ; [184  83],[268.13397129  91.86602871] ; [198.86602871  68.13397129],0
v4,1,0.01004,6.627797,[348   9] ; [248  18],[341.52808989  15.47191011] ; [254.47191011  11.52808989],0
n5,1,0.011915,6.323518,[303  55] ; [204  62],[290.875  67.125] ; [216.125  49.875],0
b5,1,0.013541,6.096998,[191 169] ; [168  99],[206.12440191 153.87559809] ; [152.87559809 114.12440191],0
r4,1,0.014312,5.999266,[337  23] ; [235  32],[328.42105263  31.57894737] ; [243.57894737  23.42105263],0
v3,1,0.024709,5.044185,[160 191] ; [ 93 162],[146.53960396 204.46039604] ; [106.46039604 148.53960396],0
s6,1,0.027719,4.845466,[247 100] ; [167  99],[234.35236542 112.64763458] ; [179.64763458  86.35236542],0
s7,1,0.035925,4.400669,[184 159] ; [118 144],[171.21652893 171.78347107] ; [130.78347107 131.21652893],0
r1,1,0.038043,4.303107,[298  61] ; [203  63],[287.7744  71.2256] ; [213.2256  52.7744],0
d4,1,0.042163,4.128632,[307  52] ; [211  55],[297.5392  61.4608] ; [220.4608  45.5392],0
p12,1,0.053043,3.742574,[ 42 315] ; [ 19 248],[ 34.89903846 322.10096154] ; [ 26.10096154 240.89903846],0
a7,1,0.058027,3.592898,[269  90] ; [181  85],[258.48 100.52] ; [191.52  74.48],0
d1,1,0.066926,3.356859,[227 133] ; [149 118],[215.88516746 144.11483254] ; [160.11483254 106.88516746],0
v2,1,0.06965,3.291253,[214 136] ; [136 117],[203.15091211 146.84908789] ; [146.84908789 106.15091211],0
a8,1,0.109103,2.567168,[ 55 275] ; [ 29 215],[ 48.29268293 281.70731707] ; [ 35.70731707 208.29268293],0
r2,1,0.113079,2.51066,[339  15] ; [246  19],[334.55573506  19.44426494] ; [250.44426494  14.55573506],0
n4,1,0.127401,2.323895,[302  57] ; [212  55],[294.76996805  64.23003195] ; [219.23003195  47.76996805],0
s2,1,0.164178,1.935316,[190 166] ; [125 137],[181.45631068 174.54368932] ; [133.54368932 128.45631068],0
b1,1,0.193861,1.688032,[127 233] ; [ 81 186],[119.42583732 240.57416268] ; [ 88.57416268 178.42583732],0
b4,1,0.21854,1.513935,[209 151] ; [168  99],[216.45933014 143.54066986] ; [160.54066986 106.45933014],0
a1,1,0.233052,1.422134,[ 21 339] ; [ 10 257],[ 17.79904306 342.20095694] ; [ 13.20095694 253.79904306],0
d3,1,0.309064,1.03467,[255 105] ; [179  88],[249.18660287 110.81339713] ; [184.81339713  82.18660287],0
n3,1,0.324704,0.969904,[37 15] ; [56 15],[39.31707317 12.68292683] ; [53.68292683 17.31707317],0
u1,1,0.386527,0.74984,[ 63 297] ; [ 54 213],[ 67.17703349 292.82296651] ; [ 49.82296651 217.17703349],0
s3,1,0.413598,0.668435,[203 150] ; [142 120],[198.02439024 154.97560976] ; [146.97560976 115.02439024],0
a6,1,0.449873,0.570973,[244 115] ; [189  78],[248.31789137 110.68210863] ; [184.68210863  82.31789137],0
a4,1,0.459092,0.548108,[158 201] ; [125 141],[162.5552 196.4448] ; [120.4448 145.5552],0
u2,1,0.477202,0.505251,[52 46] ; [45 32],[54.32 43.68] ; [42.68 34.32],0
s4,1,0.526942,0.400286,[ 59 294] ; [ 39 224],[ 56.15909091 296.84090909] ; [ 41.84090909 221.15909091],0
a3,1,0.545215,0.365959,[262  97] ; [189  78],[258.64057508 100.35942492] ; [192.35942492  74.64057508],0
s1,1,0.550447,0.356516,[ 11 347] ; [  6 257],[  9.80032206 348.19967794] ; [  7.19967794 255.80032206],0
n1,1,0.556444,0.345899,[16 37] ; [25 46],[17.52419355 35.47580645] ; [23.47580645 47.52419355],0
d5,1,0.562914,0.334683,[293  66] ; [213  54],[290.18210863  68.81789137] ; [215.81789137  51.18210863],0
r3,1,0.610155,0.259949,[346  12] ; [258   7],[347.08186196  10.91813804] ; [256.91813804   8.08186196],0
n2,1,0.616257,0.251164,[40 13] ; [50 20],[38.7804878 14.2195122] ; [51.2195122 18.7804878],0
a2,1,0.707038,0.141253,[ 83 277] ; [ 65 202],[ 84.97607656 275.02392344] ; [ 63.02392344 203.97607656],0
u3,1,0.814758,0.054893,[53 44] ; [44 34],[53.76571429 43.23428571] ; [43.23428571 34.76571429],0
u4,1,0.833517,0.044181,[  9 350] ; [  6 261],[  8.60223642 350.39776358] ; [  6.39776358 260.60223642],0
b2,1,0.836996,0.042328,[ 89 136] ; [ 71 104],[ 90. 135.] ; [ 70. 105.],0
b3,1,0.836996,0.042328,[ 89 136] ; [ 71 104],[ 90. 135.] ; [ 70. 105.],0
d2,1,0.930451,0.007617,[176 184] ; [130 134],[176.53846154 183.46153846] ; [129.46153846 134.53846154],0
