Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.9e-05,16.90321,[129  23] ; [5 8],[123.44242424  28.55757576] ; [10.55757576  2.44242424],1
r3,1,0.002663,9.025013,[142  10] ; [9 4],[139.1030303  12.8969697] ; [11.8969697  1.1030303],0
v1,1,0.003879,8.339401,[73 75] ; [ 1 12],[68.02484472 79.97515528] ; [5.97515528 7.02484472],0
d3,1,0.011885,6.327906,[108  42] ; [5 8],[103.98773006  46.01226994] ; [9.01226994 3.98773006],0
s6,1,0.014882,5.930363,[98 53] ; [4 9],[93.91463415 57.08536585] ; [8.08536585 4.91463415],0
p2,1,0.022872,5.17818,[122  29] ; [7 6],[118.77439024  32.22560976] ; [10.22560976  2.77439024],0
b5,1,0.024998,5.024038,[95 57] ; [4 9],[91.2 60.8] ; [7.8 5.2],0
p3,1,0.027827,4.838738,[58 94] ; [ 1 12],[54.35151515 97.64848485] ; [4.64848485 8.35151515],0
b1,1,0.028554,4.794308,[ 48 104] ; [8 5],[ 51.58787879 100.41212121] ; [4.41212121 8.58787879],0
a6,1,0.049305,3.864951,[100  52] ; [5 8],[96.72727273 55.27272727] ; [8.27272727 4.72727273],0
p11,1,0.064013,3.430235,[117  35] ; [7 6],[114.23030303  37.76969697] ; [9.76969697 3.23030303],0
s2,1,0.068671,3.314499,[75 77] ; [ 3 10],[71.85454545 80.14545455] ; [6.14545455 6.85454545],0
a3,1,0.071189,3.25539,[90 62] ; [11  2],[93.04242424 58.95757576] ; [7.95757576 5.04242424],0
n1,1,0.077928,3.107593,[13 39] ; [4 3],[14.98305085 37.01694915] ; [2.01694915 4.98305085],0
a5,1,0.079439,3.076347,[96 56] ; [5 8],[93.04242424 58.95757576] ; [7.95757576 5.04242424],0
a8,1,0.079929,3.066339,[  6 137] ; [ 2 11],[  7.33333333 135.66666667] ; [ 0.66666667 12.33333333],0
v3,1,0.080824,3.048252,[ 44 100] ; [ 1 12],[ 41.27388535 102.72611465] ; [3.72611465 9.27388535],0
v4,1,0.102492,2.666332,[144   7] ; [11  2],[142.71341463   8.28658537] ; [12.28658537  0.71341463],0
r2,1,0.117132,2.455251,[137  14] ; [10  3],[135.34756098  15.65243902] ; [11.65243902  1.34756098],0
d4,1,0.148614,2.086422,[120  32] ; [8 5],[117.91515152  34.08484848] ; [10.08484848  2.91515152],0
b4,1,0.194399,1.683957,[89 63] ; [10  3],[91.2 60.8] ; [7.8 5.2],0
a7,1,0.195064,1.678949,[117  34] ; [8 5],[115.09146341  35.90853659] ; [9.90853659 3.09146341],0
n5,1,0.229347,1.444908,[60 90] ; [ 3 10],[57.97546012 92.02453988] ; [5.02453988 7.97546012],0
d1,1,0.249138,1.328132,[72 80] ; [4 9],[70.01212121 81.98787879] ; [5.98787879 7.01212121],0
n6,1,0.250447,1.320811,[104  46] ; [7 6],[102.14723926  47.85276074] ; [8.85276074 4.14723926],0
s3,1,0.373234,0.792869,[77 73] ; [5 8],[75.4601227 74.5398773] ; [6.5398773 6.4601227],0
n2,1,0.380455,0.769231,[40 12] ; [5 3],[39. 13.] ; [6. 2.],0
v2,1,0.398101,0.714055,[72 70] ; [5 8],[70.54193548 71.45806452] ; [6.45806452 6.54193548],0
p8,1,0.43792,0.601727,[75 76] ; [5 8],[73.65853659 77.34146341] ; [6.34146341 6.65853659],0
r1,1,0.44772,0.576417,[108  43] ; [8 5],[106.80487805  44.19512195] ; [9.19512195 3.80487805],0
s7,1,0.50133,0.452119,[54 93] ; [6 7],[55.125 91.875] ; [4.875 8.125],0
a2,1,0.533033,0.388606,[ 21 131] ; [ 1 12],[ 20.26666667 131.73333333] ; [ 1.73333333 11.26666667],0
p4,1,0.552662,0.35257,[71 80] ; [5 8],[69.97560976 81.02439024] ; [6.02439024 6.97560976],0
a4,1,0.57433,0.315492,[ 47 105] ; [5 8],[ 47.9030303 104.0969697] ; [4.0969697 8.9030303],0
b2,1,0.596799,0.279851,[23 44] ; [2 6],[22.33333333 44.66666667] ; [2.66666667 5.33333333],0
b3,1,0.596799,0.279851,[23 44] ; [2 6],[22.33333333 44.66666667] ; [2.66666667 5.33333333],0
d2,1,0.646172,0.210761,[ 49 103] ; [5 8],[ 49.74545455 102.25454545] ; [4.25454545 8.74545455],0
s8,1,0.6622,0.190862,[56 96] ; [4 9],[55.27272727 96.72727273] ; [4.72727273 8.27272727],0
p6,1,0.66727,0.184812,[ 38 112] ; [4 9],[ 38.65030675 111.34969325] ; [3.34969325 9.65030675],0
s4,1,0.686982,0.162372,[ 39 113] ; [4 9],[ 39.61212121 112.38787879] ; [3.38787879 9.61212121],0
d5,1,0.738276,0.111647,[111  40] ; [9 4],[110.48780488  40.51219512] ; [9.51219512 3.48780488],0
n3,1,0.751138,0.100578,[34 18] ; [5 2],[34.37288136 17.62711864] ; [4.62711864 2.37288136],0
s5,1,0.825307,0.048719,[50 98] ; [4 9],[49.63975155 98.36024845] ; [4.36024845 8.63975155],0
p7,1,0.875425,0.024577,[86 59] ; [8 5],[86.26582278 58.73417722] ; [7.73417722 5.26582278],0
