Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,8.3e-05,15.481953,[76 21] ; [95 80],[60.98161765 36.01838235] ; [110.01838235  64.98161765],1
v2,1,0.000175,14.081633,[46 46] ; [ 45 123],[32.2 59.8] ; [ 58.8 109.2],1
s6,1,0.000688,11.521247,[59 37] ; [ 69 104],[45.6802974 50.3197026] ; [82.3197026 90.6802974],1
r1,1,0.001172,10.534579,[79 18] ; [110  66],[67.15384615 29.84615385] ; [121.84615385  54.15384615],0
s5,1,0.003681,8.435019,[34 60] ; [ 34 137],[24.12075472 69.87924528] ; [ 43.87924528 127.12075472],0
p2,1,0.00814,7.002373,[76 22] ; [109  67],[66.16788321 31.83211679] ; [118.83211679  57.16788321],0
s8,1,0.008845,6.853871,[32 65] ; [ 33 142],[23.18014706 73.81985294] ; [ 41.81985294 133.18014706],0
n2,1,0.009487,6.728778,[30  5] ; [42 27],[24.23076923 10.76923077] ; [47.76923077 21.23076923],0
v4,1,0.009746,6.680742,[89  7] ; [141  33],[81.77777778 14.22222222] ; [148.22222222  25.77777778],0
b2,1,0.011492,6.387608,[28 29] ; [26 65],[20.7972973 36.2027027] ; [33.2027027 57.7972973],0
b3,1,0.011492,6.387608,[28 29] ; [26 65],[20.7972973 36.2027027] ; [33.2027027 57.7972973],0
p3,1,0.01802,5.594195,[25 72] ; [ 25 151],[17.76556777 79.23443223] ; [ 32.23443223 143.76556777],0
p9,1,0.025422,4.994934,[74 21] ; [110  60],[65.96226415 29.03773585] ; [118.03773585  51.96226415],0
r2,1,0.028828,4.777866,[89  7] ; [144  29],[83.15241636 12.84758364] ; [149.84758364  23.15241636],0
a5,1,0.037829,4.31268,[65 33] ; [94 82],[56.86861314 41.13138686] ; [102.13138686  73.86861314],0
r3,1,0.050239,3.833469,[87  9] ; [143  32],[81.47601476 14.52398524] ; [148.52398524  26.47601476],0
s3,1,0.060721,3.517568,[52 44] ; [ 74 101],[44.63468635 51.36531365] ; [81.36531365 93.63468635],0
s7,1,0.062747,3.463252,[35 61] ; [ 43 125],[28.36363636 67.63636364] ; [ 49.63636364 118.36363636],0
p10,1,0.09648,2.762787,[67 28] ; [105  69],[60.74349442 34.25650558] ; [111.25650558  62.74349442],0
r4,1,0.09847,2.730153,[80 18] ; [128  48],[74.39416058 23.60583942] ; [133.60583942  42.39416058],0
n5,1,0.125619,2.345827,[66 31] ; [102  72],[60.13284133 36.86715867] ; [107.86715867  66.13284133],0
s2,1,0.126766,2.331671,[40 57] ; [ 56 119],[34.23529412 62.76470588] ; [ 61.76470588 113.23529412],0
b1,1,0.169499,1.887372,[34 64] ; [ 76 100],[39.34306569 58.65693431] ; [ 70.65693431 105.34306569],0
n1,1,0.173928,1.848759,[17 18] ; [24 45],[13.79807692 21.20192308] ; [27.20192308 41.79807692],0
p12,1,0.175833,1.832499,[ 6 90] ; [  5 170],[ 3.89667897 92.10332103] ; [  7.10332103 167.89667897],0
