Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000892,11.04,[14 16] ; [84 24],[21.30434783  8.69565217] ; [76.69565217 31.30434783],1
r4,1,0.011505,6.385593,[22  8] ; [99 10],[26.11510791  3.88489209] ; [94.88489209 14.11510791],0
r2,1,0.012995,6.169841,[24  6] ; [102   6],[27.39130435  2.60869565] ; [98.60869565  9.39130435],0
n3,1,0.016006,5.802198,[2 5] ; [20  6],[4.66666667 2.33333333] ; [17.33333333  8.66666667],0
a7,1,0.026535,4.920831,[18 11] ; [88 20],[22.4379562  6.5620438] ; [83.5620438 24.4379562],0
p9,1,0.033767,4.506456,[20 10] ; [90 17],[24.08759124  5.91240876] ; [85.91240876 21.08759124],0
s5,1,0.065151,3.401145,[ 6 24] ; [40 65],[10.22222222 19.77777778] ; [35.77777778 69.22222222],0
n6,1,0.074578,3.179276,[27  3] ; [80 27],[23.43065693  6.56934307] ; [83.56934307 23.43065693],0
p10,1,0.081502,3.034699,[21  9] ; [90 17],[24.30656934  5.69343066] ; [86.69343066 20.30656934],0
a1,1,0.083677,2.991995,[ 3 27] ; [  3 106],[ 1.29496403 28.70503597] ; [  4.70503597 104.29496403],0
b2,1,0.103707,2.647586,[ 2 13] ; [19 35],[ 4.56521739 10.43478261] ; [16.43478261 37.56521739],0
b3,1,0.103707,2.647586,[ 2 13] ; [19 35],[ 4.56521739 10.43478261] ; [16.43478261 37.56521739],0
r3,1,0.160318,1.971223,[27  3] ; [105   4],[28.48920863  1.51079137] ; [103.51079137   5.48920863],0
p7,1,0.162736,1.948616,[21  9] ; [58 46],[17.68656716 12.31343284] ; [61.31343284 42.68656716],0
s4,1,0.169487,1.887474,[ 3 26] ; [23 83],[ 5.58518519 23.41481481] ; [20.41481481 85.58518519],0
p12,1,0.196998,1.664492,[ 1 29] ; [12 96],[ 2.82608696 27.17391304] ; [10.17391304 97.82608696],0
a2,1,0.198428,1.653905,[ 3 27] ; [22 87],[ 5.39568345 24.60431655] ; [19.60431655 89.39568345],0
p11,1,0.205687,1.601524,[21  9] ; [88 21],[23.52517986  6.47482014] ; [85.47482014 23.52517986],0
p6,1,0.250018,1.323201,[12 18] ; [31 76],[ 9.41605839 20.58394161] ; [33.58394161 73.41605839],0
s6,1,0.268541,1.224186,[20 10] ; [82 25],[22.33576642  7.66423358] ; [79.66423358 27.33576642],0
u2,1,0.281706,1.158844,[5 8] ; [26 21],[6.71666667 6.28333333] ; [24.28333333 22.71666667],0
p8,1,0.3397,0.911563,[16 14] ; [47 61],[13.69565217 16.30434783] ; [49.30434783 58.69565217],0
b1,1,0.342703,0.900293,[13 17] ; [37 72],[10.79136691 19.20863309] ; [39.20863309 69.79136691],0
p5,1,0.390769,0.736548,[ 3 27] ; [  6 101],[ 1.97080292 28.02919708] ; [ 7.02919708 99.97080292],0
b4,1,0.393398,0.728414,[15 15] ; [64 45],[17.05035971 12.94964029] ; [61.94964029 47.05035971],0
s8,1,0.403203,0.698752,[ 7 23] ; [34 75],[ 8.84892086 21.15107914] ; [32.15107914 76.84892086],0
d3,1,0.407965,0.684723,[21  8] ; [70 39],[19.12318841  9.87681159] ; [71.87681159 37.12318841],0
p3,1,0.446193,0.580305,[11 19] ; [48 60],[12.82608696 17.17391304] ; [46.17391304 61.82608696],0
b5,1,0.448973,0.573242,[17 13] ; [70 39],[18.77697842 11.22302158] ; [68.22302158 40.77697842],0
a4,1,0.476924,0.505888,[12 18] ; [36 73],[10.35971223 19.64028777] ; [37.64028777 71.35971223],0
u1,1,0.50885,0.43643,[ 3 27] ; [16 93],[ 4.10071942 25.89928058] ; [14.89928058 94.10071942],0
a8,1,0.528045,0.398151,[ 4 25] ; [10 93],[ 3.07575758 25.92424242] ; [10.92424242 92.07575758],0
a5,1,0.555462,0.347623,[21  9] ; [70 39],[19.64028777 10.35971223] ; [71.35971223 37.64028777],0
a6,1,0.570418,0.321983,[19 11] ; [75 34],[20.28776978  9.71223022] ; [73.71223022 35.28776978],0
n5,1,0.62742,0.235576,[18 12] ; [70 38],[19.13043478 10.86956522] ; [68.86956522 39.13043478],0
n2,1,0.627766,0.235102,[5 2] ; [20  5],[5.46875 1.53125] ; [19.53125  5.46875],0
d5,1,0.719778,0.128706,[23  6] ; [83 26],[22.27536232  6.72463768] ; [83.72463768 25.27536232],0
p2,1,0.742504,0.107938,[23  7] ; [85 22],[23.64963504  6.35036496] ; [84.35036496 22.64963504],0
p1,1,0.751351,0.100399,[ 1 29] ; [  5 102],[ 1.31386861 28.68613139] ; [  4.68613139 102.31386861],0
v3,1,0.766243,0.088383,[ 9 20] ; [35 68],[ 9.66666667 19.33333333] ; [34.33333333 68.66666667],0
d2,1,0.781835,0.07669,[11 19] ; [43 66],[11.65467626 18.34532374] ; [42.34532374 66.65467626],0
n4,1,0.811726,0.056739,[18 12] ; [68 41],[18.56115108 11.43884892] ; [67.43884892 41.56115108],0
p4,1,0.842708,0.039375,[17 13] ; [59 49],[16.52173913 13.47826087] ; [59.47826087 48.52173913],0
d4,1,0.852483,0.034578,[26  4] ; [93 16],[25.68345324  4.31654676] ; [93.31654676 15.68345324],0
v1,1,0.852702,0.034474,[15 15] ; [54 50],[15.44776119 14.55223881] ; [53.55223881 50.44776119],0
u3,1,0.863772,0.029438,[7 6] ; [26 20],[7.27118644 5.72881356] ; [25.72881356 20.27118644],0
d1,1,0.938327,0.005986,[16 14] ; [59 50],[16.18705036 13.81294964] ; [58.81294964 50.18705036],0
a3,1,0.945192,0.004726,[17 13] ; [61 48],[16.83453237 13.16546763] ; [61.16546763 47.83453237],0
v2,1,0.961343,0.002349,[15 15] ; [49 50],[14.88372093 15.11627907] ; [49.11627907 49.88372093],0
v4,1,0.97101,0.001321,[28  2] ; [101   7],[28.04347826  1.95652174] ; [100.95652174   7.04347826],0
