Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.8e-05,17.551681,[11 25] ; [26  6],[19.58823529 16.41176471] ; [17.41176471 14.58823529],1
s7,1,0.00126,10.399855,[ 7 27] ; [18 12],[13.28125 20.71875] ; [11.71875 18.28125],0
s8,1,0.001945,9.600334,[ 6 29] ; [17 15],[12.01492537 22.98507463] ; [10.98507463 21.01492537],0
s6,1,0.003285,8.642258,[15 20] ; [25  7],[20.89552239 14.10447761] ; [19.10447761 12.89552239],0
a4,1,0.031973,4.599946,[ 8 28] ; [15 17],[12.17647059 23.82352941] ; [10.82352941 21.17647059],0
a7,1,0.032987,4.546472,[26 10] ; [15 17],[21.70588235 14.29411765] ; [19.29411765 12.70588235],0
s5,1,0.03678,4.360575,[ 5 30] ; [11 19],[ 8.61538462 26.38461538] ; [ 7.38461538 22.61538462],0
d4,1,0.055972,3.652901,[23 13] ; [27  5],[26.47058824  9.52941176] ; [23.52941176  8.47058824],0
p7,1,0.101903,2.675499,[25 11] ; [16 16],[21.70588235 14.29411765] ; [19.29411765 12.70588235],0
a5,1,0.105774,2.616249,[19 17] ; [23  9],[22.23529412 13.76470588] ; [19.76470588 12.23529412],0
s4,1,0.147298,2.100015,[ 5 31] ; [ 9 23],[ 7.41176471 28.58823529] ; [ 6.58823529 25.41176471],0
p4,1,0.16359,1.940724,[20 16] ; [23  9],[22.76470588 13.23529412] ; [20.23529412 11.76470588],0
a6,1,0.229747,1.442424,[21 15] ; [14 18],[18.52941176 17.47058824] ; [16.47058824 15.52941176],0
a8,1,0.265342,1.240671,[ 5 27] ; [ 2 28],[ 3.61290323 28.38709677] ; [ 3.38709677 26.61290323],0
n1,1,0.27874,1.173223,[4 6] ; [7 4],[5.23809524 4.76190476] ; [5.76190476 5.23809524],0
u2,1,0.314736,1.010695,[ 5 11] ; [6 6],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
u1,1,0.351591,0.867708,[ 3 33] ; [ 5 27],[ 4.23529412 31.76470588] ; [ 3.76470588 28.23529412],0
u3,1,0.366799,0.81448,[9 8] ; [9 4],[10.2  6.8] ; [7.8 5.2],0
b3,1,0.404921,0.693663,[ 8 17] ; [ 8 10],[ 9.30232558 15.69767442] ; [ 6.69767442 11.30232558],0
b2,1,0.404921,0.693663,[ 8 17] ; [ 8 10],[ 9.30232558 15.69767442] ; [ 6.69767442 11.30232558],0
n3,1,0.407094,0.687273,[8 2] ; [7 4],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
d3,1,0.438478,0.600262,[18 18] ; [19 13],[19.58823529 16.41176471] ; [17.41176471 14.58823529],0
a1,1,0.486467,0.48433,[ 1 35] ; [ 2 30],[ 1.58823529 34.41176471] ; [ 1.41176471 30.58823529],0
d1,1,0.506282,0.441743,[14 22] ; [15 17],[15.35294118 20.64705882] ; [13.64705882 18.35294118],0
n5,1,0.534095,0.386594,[17 19] ; [17 14],[18.26865672 17.73134328] ; [15.73134328 15.26865672],0
b4,1,0.536849,0.38141,[21 15] ; [21 11],[22.23529412 13.76470588] ; [19.76470588 12.23529412],0
r2,1,0.564177,0.332523,[31  5] ; [29  3],[31.76470588  4.23529412] ; [28.23529412  3.76470588],0
p1,1,0.57251,0.318501,[ 3 33] ; [ 4 28],[ 3.70588235 32.29411765] ; [ 3.29411765 28.70588235],0
a3,1,0.584463,0.299074,[19 17] ; [19 13],[20.11764706 15.88235294] ; [17.88235294 14.11764706],0
d5,1,0.642646,0.215299,[24 12] ; [23  9],[24.88235294 11.11764706] ; [22.11764706  9.88235294],0
n4,1,0.647217,0.209427,[24 12] ; [19 12],[23.10447761 12.89552239] ; [19.89552239 11.10447761],0
v1,1,0.684343,0.165278,[14 22] ; [14 18],[14.82352941 21.17647059] ; [13.17647059 18.82352941],0
d2,1,0.684343,0.165278,[14 22] ; [14 18],[14.82352941 21.17647059] ; [13.17647059 18.82352941],0
n2,1,0.695943,0.152727,[8 2] ; [8 3],[7.61904762 2.38095238] ; [8.38095238 2.61904762],0
v2,1,0.714613,0.133713,[14 22] ; [13 17],[14.72727273 21.27272727] ; [12.27272727 17.72727273],0
b1,1,0.725959,0.122855,[21 15] ; [20 12],[21.70588235 14.29411765] ; [19.29411765 12.70588235],0
p2,1,0.753783,0.09838,[26 10] ; [22 10],[25.41176471 10.58823529] ; [22.58823529  9.41176471],0
p8,1,0.755906,0.096635,[14 21] ; [14 18],[14.62686567 20.37313433] ; [13.37313433 18.62686567],0
v3,1,0.772397,0.08366,[ 8 26] ; [ 8 22],[ 8.5 25.5] ; [ 7.5 22.5],0
r4,1,0.804587,0.061214,[29  7] ; [25  7],[28.58823529  7.41176471] ; [25.41176471  6.58823529],0
r1,1,0.854567,0.033597,[24 12] ; [22 10],[24.35294118 11.64705882] ; [21.64705882 10.35294118],0
r3,1,0.85917,0.031481,[32  4] ; [28  4],[31.76470588  4.23529412] ; [28.23529412  3.76470588],0
v4,1,0.85917,0.031481,[32  4] ; [28  4],[31.76470588  4.23529412] ; [28.23529412  3.76470588],0
p5,1,0.85917,0.031481,[ 4 32] ; [ 4 28],[ 4.23529412 31.76470588] ; [ 3.76470588 28.23529412],0
n6,1,0.861552,0.030415,[23 12] ; [21 10],[23.33333333 11.66666667] ; [20.66666667 10.33333333],0
a2,1,0.866037,0.028458,[ 5 31] ; [ 4 28],[ 4.76470588 31.23529412] ; [ 4.23529412 27.76470588],0
s1,1,0.879849,0.022849,[ 3 33] ; [ 3 29],[ 3.17647059 32.82352941] ; [ 2.82352941 29.17647059],0
