Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.002193,9.380773,[ 5 27] ; [5 2],[ 8.20512821 23.79487179] ; [1.79487179 5.20512821],0
b1,1,0.011283,6.420153,[32 33] ; [19  5],[37.24719101 27.75280899] ; [13.75280899 10.24719101],0
v2,1,0.021542,5.282432,[12 51] ; [10 13],[16.11627907 46.88372093] ; [ 5.88372093 17.11627907],0
p9,1,0.023603,5.123587,[26 36] ; [16  7],[30.63529412 31.36470588] ; [11.36470588 11.63529412],0
p10,1,0.029645,4.729735,[26 37] ; [15  7],[30.38823529 32.61176471] ; [10.61176471 11.38823529],0
b4,1,0.030914,4.657754,[41 24] ; [ 9 15],[36.51685393 28.48314607] ; [13.48314607 10.51685393],0
s1,1,0.034004,4.494524,[ 4 61] ; [ 5 18],[ 6.64772727 58.35227273] ; [ 2.35227273 20.64772727],0
p3,1,0.056433,3.639237,[11 54] ; [ 8 14],[14.1954023 50.8045977] ; [ 4.8045977 17.1954023],0
n2,1,0.078947,3.086445,[15 18] ; [9 3],[17.6 15.4] ; [6.4 5.6],0
a4,1,0.103434,2.651786,[20 44] ; [12 12],[23.27272727 40.72727273] ; [ 8.72727273 15.27272727],0
a5,1,0.103678,2.648039,[28 37] ; [15  9],[31.40449438 33.59550562] ; [11.59550562 12.40449438],0
a3,1,0.104077,2.64193,[33 31] ; [17  7],[36.36363636 27.63636364] ; [13.63636364 10.36363636],0
s2,1,0.120477,2.411105,[ 8 57] ; [ 6 17],[10.34090909 54.65909091] ; [ 3.65909091 19.34090909],0
n3,1,0.123503,2.372326,[13 19] ; [8 4],[15.27272727 16.72727273] ; [5.72727273 6.27272727],0
v3,1,0.124454,2.360356,[10 54] ; [ 7 16],[12.50574713 51.49425287] ; [ 4.49425287 18.50574713],0
p7,1,0.174108,1.847215,[15 47] ; [ 9 14],[17.50588235 44.49411765] ; [ 6.49411765 16.50588235],0
p5,1,0.202994,1.620701,[ 3 60] ; [ 3 21],[ 4.34482759 58.65517241] ; [ 1.65517241 22.34482759],0
p2,1,0.208554,1.581438,[26 37] ; [13 10],[28.56976744 34.43023256] ; [10.43023256 12.56976744],0
a2,1,0.217329,1.521923,[ 7 58] ; [ 5 19],[ 8.76404494 56.23595506] ; [ 3.23595506 20.76404494],0
p4,1,0.258753,1.275416,[17 47] ; [ 9 14],[19.12643678 44.87356322] ; [ 6.87356322 16.12643678],0
u1,1,0.323648,0.974146,[ 4 61] ; [ 3 21],[ 5.11235955 59.88764045] ; [ 1.88764045 22.11235955],0
b2,1,0.330879,0.945455,[15 24] ; [7 6],[16.5 22.5] ; [5.5 7.5],0
b3,1,0.330879,0.945455,[15 24] ; [7 6],[16.5 22.5] ; [5.5 7.5],0
p6,1,0.35809,0.84458,[ 9 54] ; [ 5 17],[10.37647059 52.62352941] ; [ 3.62352941 18.37647059],0
p12,1,0.437175,0.603687,[ 1 64] ; [ 1 22],[ 1.47727273 63.52272727] ; [ 0.52272727 22.47727273],0
r3,1,0.443577,0.58701,[26 38] ; [11 11],[27.53488372 36.46511628] ; [ 9.46511628 12.53488372],0
s4,1,0.453134,0.5628,[ 7 58] ; [ 4 20],[ 8.03370787 56.96629213] ; [ 2.96629213 21.03370787],0
n6,1,0.454469,0.559482,[35 29] ; [10 12],[33.48837209 30.51162791] ; [11.51162791 10.48837209],0
s7,1,0.497044,0.461243,[11 50] ; [ 5 15],[12.04938272 48.95061728] ; [ 3.95061728 16.04938272],0
p11,1,0.529453,0.395442,[25 40] ; [11 13],[26.29213483 38.70786517] ; [ 9.70786517 14.29213483],0
d3,1,0.599997,0.275,[28 36] ; [12 12],[29.09090909 34.90909091] ; [10.90909091 13.09090909],0
d1,1,0.682733,0.167066,[24 41] ; [10 14],[24.83146067 40.16853933] ; [ 9.16853933 14.83146067],0
a7,1,0.682792,0.167,[31 33] ; [10 13],[30.16091954 33.83908046] ; [10.83908046 12.16091954],0
b5,1,0.705682,0.142628,[30 35] ; [10 14],[29.21348315 35.78651685] ; [10.78651685 13.21348315],0
d5,1,0.716215,0.132148,[38 27] ; [13 11],[37.24719101 27.75280899] ; [13.75280899 10.24719101],0
p8,1,0.721561,0.127002,[17 47] ; [ 7 16],[17.65517241 46.34482759] ; [ 6.34482759 16.65517241],0
s8,1,0.735168,0.11442,[ 7 58] ; [ 2 22],[ 6.57303371 58.42696629] ; [ 2.42696629 21.57303371],0
n1,1,0.745582,0.105281,[12 21] ; [5 7],[12.46666667 20.53333333] ; [4.53333333 7.46666667],0
n5,1,0.754116,0.098105,[40 25] ; [15  8],[40.625 24.375] ; [14.375  8.625],0
r1,1,0.773861,0.082558,[19 46] ; [ 6 17],[18.46590909 46.53409091] ; [ 6.53409091 16.46590909],0
u2,1,0.791857,0.069643,[12 20] ; [3 4],[12.30769231 19.69230769] ; [2.69230769 4.30769231],0
a1,1,0.818521,0.052646,[ 7 58] ; [ 3 21],[ 7.30337079 57.69662921] ; [ 2.69662921 21.30337079],0
d4,1,0.824083,0.049416,[39 25] ; [14 10],[38.54545455 25.45454545] ; [14.45454545  9.54545455],0
s3,1,0.827739,0.047351,[15 48] ; [ 6 17],[15.38372093 47.61627907] ; [ 5.61627907 17.38372093],0
p1,1,0.837034,0.042308,[ 7 57] ; [ 3 21],[ 7.27272727 56.72727273] ; [ 2.72727273 21.27272727],0
d2,1,0.866047,0.028454,[25 38] ; [10 14],[25.34482759 37.65517241] ; [ 9.65517241 14.34482759],0
v4,1,0.879415,0.023016,[35 29] ; [13 10],[35.31034483 28.68965517] ; [12.68965517 10.31034483],0
n4,1,0.924832,0.008902,[36 29] ; [13 10],[36.19318182 28.80681818] ; [12.80681818 10.19318182],0
s5,1,0.935906,0.006467,[ 5 59] ; [ 2 22],[ 5.09090909 58.90909091] ; [ 1.90909091 22.09090909],0
a6,1,0.978523,0.000725,[30 35] ; [11 13],[29.94382022 35.05617978] ; [11.05617978 12.94382022],0
r2,1,0.995378,3.4e-05,[35 27] ; [13 10],[35.01176471 26.98823529] ; [12.98823529 10.01176471],0
