Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,30.039898,[115  21] ; [89 73],[93.10067114 42.89932886] ; [110.89932886  51.10067114],1
p7,1,0.0,27.233619,[113  20] ; [89 68],[92.64137931 40.35862069] ; [109.35862069  47.64137931],1
p3,1,0.0,26.548013,[96 40] ; [66 96],[73.93288591 62.06711409] ; [88.06711409 73.93288591],1
p5,1,0.000177,14.062224,[ 34 103] ; [ 14 146],[ 22.14141414 114.85858586] ; [ 25.85858586 134.14141414],1
v1,1,0.000477,12.202958,[94 43] ; [75 80],[79.29109589 57.70890411] ; [89.70890411 65.29109589],1
p8,1,0.001801,9.742482,[90 46] ; [77 83],[76.72972973 59.27027027] ; [90.27027027 69.72972973],0
p1,1,0.003063,8.769633,[ 23 113] ; [ 10 153],[ 15.01003344 120.98996656] ; [ 17.98996656 145.01003344],0
p12,1,0.005869,7.590102,[ 22 115] ; [ 10 152],[ 14.66220736 122.33779264] ; [ 17.33779264 144.66220736],0
s5,1,0.00856,6.912421,[69 59] ; [61 98],[57.97909408 70.02090592] ; [72.02090592 86.97909408],0
n4,1,0.009994,6.635985,[120  17] ; [123  39],[111.34113712  25.65886288] ; [131.65886288  30.34113712],0
b3,1,0.013016,6.16688,[46 51] ; [34 77],[37.30769231 59.69230769] ; [42.69230769 68.30769231],0
b2,1,0.013016,6.16688,[46 51] ; [34 77],[37.30769231 59.69230769] ; [42.69230769 68.30769231],0
n6,1,0.043862,4.06188,[125  10] ; [137  24],[119.49324324  15.50675676] ; [142.50675676  18.49324324],0
p2,1,0.062259,3.476152,[123  14] ; [134  29],[117.36333333  19.63666667] ; [139.63666667  23.36333333],0
p9,1,0.101647,2.679504,[127  10] ; [139  21],[122.7003367  14.2996633] ; [143.2996633  16.7003367],0
s6,1,0.105829,2.615428,[108  27] ; [140  21],[113.10810811  21.89189189] ; [134.89189189  26.10810811],0
d5,1,0.107045,2.597315,[109  27] ; [141  21],[114.09395973  21.90604027] ; [135.90604027  26.09395973],0
u3,1,0.110985,2.540134,[22  4] ; [24 12],[19.29032258  6.70967742] ; [26.70967742  9.29032258],0
n1,1,0.111214,2.536879,[15 13] ; [11 22],[11.93442623 16.06557377] ; [14.06557377 18.93442623],0
n3,1,0.13108,2.279666,[22  6] ; [20 13],[19.27868852  8.72131148] ; [22.72131148 10.27868852],0
a1,1,0.164739,1.930179,[ 10 127] ; [  6 157],[  7.30666667 129.69333333] ; [  8.69333333 154.30666667],0
u1,1,0.165783,1.920669,[48 89] ; [ 45 118],[42.47 94.53] ; [ 50.53 112.47],0
s4,1,0.172087,1.864665,[ 32 104] ; [ 28 135],[ 27.2909699 108.7090301] ; [ 32.7090301 130.2909699],0
n5,1,0.208326,1.583023,[112  24] ; [123  38],[107.60942761  28.39057239] ; [127.39057239  33.60942761],0
s8,1,0.227199,1.458309,[96 40] ; [103  58],[91.12457912 44.87542088] ; [107.87542088  53.12457912],0
v4,1,0.227589,1.455867,[135   2] ; [155   6],[133.32214765   3.67785235] ; [156.67785235   4.32214765],0
