Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.050356,3.829572,[3 5] ; [ 5 41],[1.18518519 6.81481481] ; [ 6.81481481 39.18518519],0
p4,1,0.063119,3.453463,[4 4] ; [ 9 37],[1.92592593 6.07407407] ; [11.07407407 34.92592593],0
d2,1,0.066872,3.35819,[6 2] ; [18 27],[3.62264151 4.37735849] ; [20.37735849 24.62264151],0
n4,1,0.092279,2.834161,[4 4] ; [36 10],[5.92592593 2.07407407] ; [34.07407407 11.92592593],0
d5,1,0.11944,2.424648,[7 1] ; [27 19],[5.03703704 2.96296296] ; [28.96296296 17.03703704],0
b5,1,0.125458,2.347826,[2 6] ; [25 21],[4. 4.] ; [23. 23.],0
s6,1,0.128403,2.311706,[4 4] ; [11 35],[2.22222222 5.77777778] ; [12.77777778 33.22222222],0
r1,1,0.137743,2.202993,[5 3] ; [16 30],[3.11111111 4.88888889] ; [17.88888889 28.11111111],0
d1,1,0.174747,1.841743,[5 3] ; [17 29],[3.25925926 4.74074074] ; [18.74074074 27.25925926],0
p3,1,0.192442,1.698823,[3 5] ; [ 8 38],[1.62962963 6.37037037] ; [ 9.37037037 36.62962963],0
p6,1,0.195121,1.678524,[2 6] ; [ 4 40],[0.92307692 7.07692308] ; [ 5.07692308 38.92307692],0
d4,1,0.210405,1.568639,[7 1] ; [30 16],[5.48148148 2.51851852] ; [31.51851852 14.48148148],0
r2,1,0.21344,1.547938,[6 2] ; [22 21],[4.39215686 3.60784314] ; [23.60784314 19.39215686],0
a5,1,0.230456,1.438043,[6 2] ; [24 22],[4.44444444 3.55555556] ; [25.55555556 20.44444444],0
s3,1,0.238495,1.38947,[4 4] ; [13 32],[2.56603774 5.43396226] ; [14.43396226 30.56603774],0
v2,1,0.238495,1.38947,[4 4] ; [13 32],[2.56603774 5.43396226] ; [14.43396226 30.56603774],0
d3,1,0.265482,1.239946,[5 3] ; [19 27],[3.55555556 4.44444444] ; [20.44444444 25.55555556],0
n1,1,0.273322,1.2,[3 1] ; [ 9 11],[2. 2.] ; [10. 10.],0
a6,1,0.319314,0.991754,[5 3] ; [20 26],[3.7037037 4.2962963] ; [21.2962963 24.7037037],0
b1,1,0.326229,0.963809,[6 2] ; [26 20],[4.74074074 3.25925926] ; [27.25925926 18.74074074],0
v1,1,0.332636,0.938609,[1 7] ; [13 32],[2.11320755 5.88679245] ; [11.88679245 33.11320755],0
p5,1,0.352853,0.863171,[1 7] ; [ 2 44],[0.44444444 7.55555556] ; [ 2.55555556 43.44444444],0
a3,1,0.358784,0.842146,[6 2] ; [26 19],[4.83018868 3.16981132] ; [27.16981132 17.83018868],0
a4,1,0.437373,0.603165,[4 4] ; [16 29],[3.01886792 4.98113208] ; [16.98113208 28.01886792],0
p7,1,0.47359,0.513587,[1 7] ; [11 35],[1.77777778 6.22222222] ; [10.22222222 35.77777778],0
s2,1,0.54927,0.358627,[1 7] ; [10 36],[1.62962963 6.37037037] ; [ 9.37037037 36.62962963],0
r3,1,0.552114,0.353544,[5 3] ; [23 22],[4.22641509 3.77358491] ; [23.77358491 21.22641509],0
b4,1,0.588,0.293478,[6 2] ; [30 16],[5.33333333 2.66666667] ; [30.66666667 15.33333333],0
n3,1,0.589962,0.290404,[1 2] ; [10 10],[1.43478261 1.56521739] ; [ 9.56521739 10.43478261],0
a7,1,0.646184,0.210745,[4 4] ; [19 27],[3.40740741 4.59259259] ; [19.59259259 26.40740741],0
b2,1,0.686225,0.163202,[2 5] ; [11 19],[2.45945946 4.54054054] ; [10.54054054 19.45945946],0
b3,1,0.686225,0.163202,[2 5] ; [11 19],[2.45945946 4.54054054] ; [10.54054054 19.45945946],0
n5,1,0.691279,0.157704,[5 3] ; [32 14],[5.48148148 2.51851852] ; [31.51851852 14.48148148],0
r4,1,0.724638,0.124092,[2 6] ; [ 9 37],[1.62962963 6.37037037] ; [ 9.37037037 36.62962963],0
p9,1,0.764773,0.089532,[3 5] ; [19 25],[3.38461538 4.61538462] ; [18.61538462 25.38461538],0
s7,1,0.786203,0.073574,[2 5] ; [10 32],[1.71428571 5.28571429] ; [10.28571429 31.71428571],0
p2,1,0.818634,0.052579,[3 5] ; [15 30],[2.71698113 5.28301887] ; [15.28301887 29.71698113],0
p11,1,0.930426,0.007623,[3 5] ; [18 28],[3.11111111 4.88888889] ; [17.88888889 28.11111111],0
a8,1,0.948853,0.004115,[1 7] ; [ 6 39],[1.05660377 6.94339623] ; [ 5.94339623 39.05660377],0
n6,1,0.953807,0.003355,[4 4] ; [22 23],[3.9245283 4.0754717] ; [22.0754717 22.9245283],0
s4,1,0.966309,0.001784,[1 7] ; [ 6 40],[1.03703704 6.96296296] ; [ 5.96296296 40.03703704],0
a1,1,0.966309,0.001784,[1 7] ; [ 6 40],[1.03703704 6.96296296] ; [ 5.96296296 40.03703704],0
p10,1,0.988084,0.000223,[3 5] ; [17 28],[3.01886792 4.98113208] ; [16.98113208 28.01886792],0
n2,1,1.0,0.0,[2 2] ; [10 10],[2. 2.] ; [10. 10.],0
