Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.064488,3.418022,[3 3] ; [ 4 22],[1.3125 4.6875] ; [ 5.6875 20.3125],0
p7,1,0.064666,3.413475,[4 2] ; [ 7 19],[2.0625 3.9375] ; [ 8.9375 17.0625],0
p2,1,0.070041,3.282051,[5 1] ; [11 15],[3. 3.] ; [13. 13.],0
r3,1,0.070041,3.282051,[5 1] ; [11 15],[3. 3.] ; [13. 13.],0
n1,1,0.079839,3.068182,[2 2] ; [ 1 10],[0.8 3.2] ; [2.2 8.8],0
n5,1,0.099966,2.706083,[1 5] ; [14 12],[2.8125 3.1875] ; [12.1875 13.8125],0
p11,1,0.101594,2.680342,[4 2] ; [ 8 18],[2.25 3.75] ; [ 9.75 16.25],0
b4,1,0.101594,2.680342,[2 4] ; [18  8],[3.75 2.25] ; [16.25  9.75],0
p6,1,0.107123,2.596154,[2 4] ; [ 2 22],[0.8 5.2] ; [ 3.2 20.8],0
d5,1,0.149613,2.076196,[2 4] ; [17  9],[3.5625 2.4375] ; [15.4375 10.5625],0
n2,1,0.184708,1.759334,[3 1] ; [4 7],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
b1,1,0.242238,1.367521,[5 1] ; [15 11],[3.75 2.25] ; [16.25  9.75],0
p12,1,0.242238,1.367521,[1 5] ; [ 1 25],[0.375 5.625] ; [ 1.625 24.375],0
s6,1,0.271651,1.208392,[3 3] ; [ 7 19],[1.875 4.125] ; [ 8.125 17.875],0
p4,1,0.271651,1.208392,[3 3] ; [ 7 19],[1.875 4.125] ; [ 8.125 17.875],0
s2,1,0.309947,1.030901,[2 4] ; [ 4 22],[1.125 4.875] ; [ 4.875 21.125],0
n3,1,0.310437,1.028815,[3 1] ; [5 6],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
a6,1,0.36503,0.820513,[4 2] ; [12 14],[3. 3.] ; [13. 13.],0
v4,1,0.460866,0.543791,[4 2] ; [13 13],[3.1875 2.8125] ; [13.8125 12.1875],0
p9,1,0.483008,0.492063,[2 4] ; [ 5 20],[1.35483871 4.64516129] ; [ 5.64516129 19.35483871],0
v3,1,0.496631,0.462128,[1 5] ; [ 2 24],[0.5625 5.4375] ; [ 2.4375 23.5625],0
a1,1,0.496631,0.462128,[1 5] ; [ 2 24],[0.5625 5.4375] ; [ 2.4375 23.5625],0
s5,1,0.496631,0.462128,[1 5] ; [ 2 24],[0.5625 5.4375] ; [ 2.4375 23.5625],0
d3,1,0.568261,0.3256,[2 4] ; [12 14],[2.625 3.375] ; [11.375 14.625],0
a3,1,0.634433,0.226097,[2 4] ; [11 14],[2.51612903 3.48387097] ; [10.48387097 14.51612903],0
p3,1,0.63893,0.220145,[2 4] ; [ 6 19],[1.5483871 4.4516129] ; [ 6.4516129 18.5483871],0
a7,1,0.686615,0.162774,[2 4] ; [11 15],[2.4375 3.5625] ; [10.5625 15.4375],0
u2,1,0.718904,0.129545,[2 2] ; [6 9],[1.68421053 2.31578947] ; [6.31578947 8.68421053],0
d4,1,0.732074,0.117216,[3 3] ; [15 11],[3.375 2.625] ; [14.625 11.375],0
v2,1,0.752917,0.099096,[2 4] ; [ 7 19],[1.6875 4.3125] ; [ 7.3125 18.6875],0
b5,1,0.815076,0.054701,[4 2] ; [16 10],[3.75 2.25] ; [16.25  9.75],0
u3,1,0.827472,0.0475,[1 3] ; [ 3 12],[0.84210526 3.15789474] ; [ 3.15789474 11.84210526],0
s7,1,0.850857,0.035354,[1 5] ; [ 3 19],[0.85714286 5.14285714] ; [ 3.14285714 18.85714286],0
n6,1,0.864873,0.028959,[3 3] ; [14 12],[3.1875 2.8125] ; [13.8125 12.1875],0
n4,1,0.864873,0.028959,[3 3] ; [14 12],[3.1875 2.8125] ; [13.8125 12.1875],0
s4,1,0.937859,0.006078,[1 5] ; [ 4 22],[0.9375 5.0625] ; [ 4.0625 21.9375],0
s3,1,0.949972,0.003937,[2 4] ; [ 8 17],[1.93548387 4.06451613] ; [ 8.06451613 16.93548387],0
a5,1,0.952475,0.003552,[2 4] ; [ 9 17],[2.0625 3.9375] ; [ 8.9375 17.0625],0
