Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9e-05,15.33968,[33  5] ; [11 16],[25.72307692 12.27692308] ; [18.27692308  8.72307692],1
p9,1,0.001072,10.698947,[28 10] ; [ 8 17],[21.71428571 16.28571429] ; [14.28571429 10.71428571],0
p10,1,0.001104,10.644251,[26 12] ; [ 7 19],[19.59375 18.40625] ; [13.40625 12.59375],0
n3,1,0.00225,9.333333,[12  2] ; [ 4 10],[8. 6.] ; [8. 6.],0
r4,1,0.006562,7.389007,[12 27] ; [ 1 26],[ 7.68181818 31.31818182] ; [ 5.31818182 21.68181818],0
n2,1,0.006755,7.336898,[12  2] ; [5 9],[8.5 5.5] ; [8.5 5.5],0
s6,1,0.006979,7.278299,[20 19] ; [ 5 22],[14.77272727 24.22727273] ; [10.22727273 16.77272727],0
p8,1,0.007921,7.051282,[18 21] ; [ 4 23],[13. 26.] ; [ 9. 18.],0
p2,1,0.013769,6.067542,[29 10] ; [12 15],[24.22727273 14.77272727] ; [16.77272727 10.22727273],0
p7,1,0.014152,6.019022,[22 17] ; [ 7 20],[17.13636364 21.86363636] ; [11.86363636 15.13636364],0
v2,1,0.021217,5.308856,[18 20] ; [ 5 21],[13.65625 24.34375] ; [ 9.34375 16.65625],0
s8,1,0.023574,5.125681,[14 25] ; [ 3 24],[10.04545455 28.95454545] ; [ 6.95454545 20.04545455],0
a5,1,0.03169,4.615195,[22 17] ; [ 8 19],[17.72727273 21.27272727] ; [12.27272727 14.72727273],0
n5,1,0.044046,4.054789,[27 12] ; [12 15],[23.04545455 15.95454545] ; [15.95454545 11.04545455],0
u2,1,0.051176,3.8025,[14  6] ; [ 6 10],[11.11111111  8.88888889] ; [8.88888889 7.11111111],0
a1,1,0.064421,3.419756,[ 1 38] ; [ 4 23],[ 2.95454545 36.04545455] ; [ 2.04545455 24.95454545],0
b2,1,0.066515,3.367003,[ 3 19] ; [ 7 11],[ 5.5 16.5] ; [ 4.5 13.5],0
b3,1,0.066515,3.367003,[ 3 19] ; [ 7 11],[ 5.5 16.5] ; [ 4.5 13.5],0
p6,1,0.077715,3.112058,[10 29] ; [ 2 23],[ 7.3125 31.6875] ; [ 4.6875 20.3125],0
a7,1,0.079689,3.071225,[23 16] ; [10 17],[19.5 19.5] ; [13.5 13.5],0
