Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.038127,4.29933,[31  8] ; [20 15],[26.87837838 12.12162162] ; [24.12162162 10.87837838],0
a6,1,0.040776,4.185295,[29 10] ; [18 17],[24.77027027 14.22972973] ; [22.22972973 12.77027027],0
p10,1,0.042262,4.124676,[15 24] ; [ 6 29],[11.06756757 27.93243243] ; [ 9.93243243 25.06756757],0
n3,1,0.044888,4.022857,[9 1] ; [6 6],[6.81818182 3.18181818] ; [8.18181818 3.81818182],0
p7,1,0.058954,3.566563,[23 15] ; [13 21],[19. 19.] ; [17. 17.],0
r4,1,0.063416,3.445703,[32  7] ; [22 13],[28.45945946 10.54054054] ; [25.54054054  9.45945946],0
a2,1,0.081055,3.043623,[ 4 35] ; [ 9 26],[ 6.85135135 32.14864865] ; [ 6.14864865 28.85135135],0
n6,1,0.11632,2.466181,[30  9] ; [21 14],[26.87837838 12.12162162] ; [24.12162162 10.87837838],0
n2,1,0.12506,2.352778,[8 1] ; [7 5],[6.42857143 2.57142857] ; [8.57142857 3.42857143],0
s6,1,0.12921,2.301967,[16 23] ; [20 14],[19.23287671 19.76712329] ; [16.76712329 17.23287671],0
s4,1,0.165641,1.921962,[ 2 37] ; [ 5 29],[ 3.73972603 35.26027397] ; [ 3.26027397 30.73972603],0
n5,1,0.166073,1.918043,[23 16] ; [15 20],[20.02702703 18.97297297] ; [17.97297297 17.02702703],0
p2,1,0.182536,1.776854,[26 13] ; [18 17],[23.18918919 15.81081081] ; [20.81081081 14.18918919],0
s7,1,0.182694,1.775572,[16 23] ; [ 8 23],[13.37142857 25.62857143] ; [10.62857143 20.37142857],0
r3,1,0.190885,1.71077,[36  2] ; [30  5],[34.35616438  3.64383562] ; [31.64383562  3.35616438],0
p1,1,0.205484,1.60296,[ 4 35] ; [ 1 34],[ 2.63513514 36.36486486] ; [ 2.36486486 32.63513514],0
s1,1,0.265254,1.241127,[ 1 37] ; [ 3 32],[ 2.08219178 35.91780822] ; [ 1.91780822 33.08219178],0
n4,1,0.28415,1.147136,[28 11] ; [21 14],[25.82432432 13.17567568] ; [23.17567568 11.82432432],0
a7,1,0.319819,0.989688,[28 10] ; [22 13],[26.02739726 11.97260274] ; [23.97260274 11.02739726],0
s8,1,0.355985,0.852007,[13 26] ; [ 8 26],[11.21917808 27.78082192] ; [ 9.78082192 24.21917808],0
p6,1,0.378996,0.773956,[10 27] ; [ 6 27],[ 8.45714286 28.54285714] ; [ 7.54285714 25.45714286],0
b1,1,0.380783,0.768171,[24 15] ; [18 17],[22.13513514 16.86486486] ; [19.86486486 15.13513514],0
p4,1,0.387906,0.745496,[20 19] ; [14 20],[18.16438356 20.83561644] ; [15.83561644 18.16438356],0
s2,1,0.393476,0.728173,[16 22] ; [11 23],[14.25 23.75] ; [12.75 21.25],0
a4,1,0.412211,0.672415,[11 28] ; [13 22],[12.64864865 26.35135135] ; [11.35135135 23.64864865],0
p8,1,0.41304,0.670033,[17 22] ; [12 23],[15.28378378 23.71621622] ; [13.71621622 21.28378378],0
u2,1,0.431401,0.619048,[6 8] ; [7 5],[7. 7.] ; [6. 6.],0
s3,1,0.510016,0.434035,[17 21] ; [13 22],[15.61643836 22.38356164] ; [14.38356164 20.61643836],0
a8,1,0.51177,0.430447,[ 4 30] ; [ 2 27],[ 3.23809524 30.76190476] ; [ 2.76190476 26.23809524],0
a5,1,0.540336,0.374918,[25 14] ; [20 15],[23.71621622 15.28378378] ; [21.28378378 13.71621622],0
d5,1,0.564655,0.331709,[29 10] ; [28  7],[30.04054054  8.95945946] ; [26.95945946  8.04054054],0
p3,1,0.586665,0.295582,[15 24] ; [11 23],[13.89041096 25.10958904] ; [12.10958904 21.89041096],0
r1,1,0.589061,0.291813,[30  9] ; [25 10],[28.98648649 10.01351351] ; [26.01351351  8.98648649],0
v4,1,0.596485,0.280329,[35  4] ; [30  5],[34.25675676  4.74324324] ; [30.74324324  4.25675676],0
u3,1,0.66171,0.191453,[7 8] ; [5 8],[6.42857143 8.57142857] ; [5.57142857 7.42857143],0
d1,1,0.667685,0.184322,[22 17] ; [18 17],[21.08108108 17.91891892] ; [18.91891892 16.08108108],0
v3,1,0.677876,0.172527,[17 22] ; [16 17],[17.875 21.125] ; [15.125 17.875],0
b5,1,0.700596,0.147852,[24 15] ; [20 15],[23.18918919 15.81081081] ; [20.81081081 14.18918919],0
s5,1,0.706622,0.141674,[ 9 28] ; [ 7 27],[ 8.33802817 28.66197183] ; [ 7.66197183 26.33802817],0
d3,1,0.731805,0.11746,[26 13] ; [22 13],[25.2972973 13.7027027] ; [22.7027027 12.2972973],0
r2,1,0.815218,0.054616,[34  5] ; [29  5],[33.65753425  5.34246575] ; [29.34246575  4.65753425],0
n1,1,0.84822,0.03663,[3 5] ; [4 8],[2.8 5.2] ; [4.2 7.8],0
u1,1,0.854873,0.033454,[ 5 34] ; [ 4 31],[ 4.74324324 34.25675676] ; [ 4.25675676 30.74324324],0
d4,1,0.876138,0.024294,[32  6] ; [29  6],[31.75342466  6.24657534] ; [29.24657534  5.75342466],0
a3,1,0.907035,0.013637,[24 15] ; [22 13],[24.24324324 14.75675676] ; [21.75675676 13.24324324],0
a1,1,0.911365,0.012391,[ 2 37] ; [ 2 33],[ 2.10810811 36.89189189] ; [ 1.89189189 33.10810811],0
d2,1,0.933193,0.007027,[17 21] ; [16 19],[17.17808219 20.82191781] ; [15.82191781 19.17808219],0
p5,1,0.938137,0.006024,[ 1 38] ; [ 1 34],[ 1.05405405 37.94594595] ; [ 0.94594595 34.05405405],0
b3,1,0.953788,0.003358,[ 8 18] ; [ 6 13],[ 8.08888889 17.91111111] ; [ 5.91111111 13.08888889],0
b2,1,0.953788,0.003358,[ 8 18] ; [ 6 13],[ 8.08888889 17.91111111] ; [ 5.91111111 13.08888889],0
v1,1,0.989955,0.000159,[19 20] ; [17 18],[18.97297297 20.02702703] ; [17.02702703 17.97297297],0
