Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001549,10.019502,[10  8] ; [15 63],[ 4.6875 13.3125] ; [20.3125 57.6875],0
p3,1,0.002421,9.199017,[9 9] ; [13 65],[ 4.125 13.875] ; [17.875 60.125],0
s8,1,0.006919,7.293778,[ 5 13] ; [ 5 74],[ 1.8556701 16.1443299] ; [ 8.1443299 70.8556701],0
n3,1,0.045466,4.001277,[7 1] ; [17 18],[4.46511628 3.53488372] ; [19.53488372 15.46511628],0
s2,1,0.047278,3.935473,[ 5 13] ; [ 8 71],[ 2.41237113 15.58762887] ; [10.58762887 68.41237113],0
p8,1,0.054037,3.711553,[ 6 11] ; [12 67],[ 3.1875 13.8125] ; [14.8125 64.1875],0
s1,1,0.068911,3.308766,[ 4 14] ; [ 6 72],[ 1.875 16.125] ; [ 8.125 69.875],0
v1,1,0.073666,3.199395,[ 7 11] ; [15 63],[ 4.125 13.875] ; [17.875 60.125],0
v2,1,0.086436,2.939533,[8 8] ; [21 54],[ 5.0989011 10.9010989] ; [23.9010989 51.0989011],0
v4,1,0.096092,2.769231,[15  3] ; [49 29],[12.  6.] ; [52. 26.],0
p6,1,0.105395,2.621942,[ 2 16] ; [ 2 75],[ 0.75789474 17.24210526] ; [ 3.24210526 73.75789474],0
u2,1,0.109421,2.562562,[5 2] ; [11 18],[3.11111111 3.88888889] ; [12.88888889 16.11111111],0
p11,1,0.112268,2.522,[11  7] ; [32 47],[ 7.97938144 10.02061856] ; [35.02061856 43.97938144],0
r3,1,0.115761,2.473755,[15  3] ; [50 28],[12.1875  5.8125] ; [52.8125 25.1875],0
s3,1,0.131119,2.279202,[ 7 11] ; [17 61],[ 4.5 13.5] ; [19.5 58.5],0
p10,1,0.133505,2.251268,[11  7] ; [32 45],[8.14736842 9.85263158] ; [34.85263158 42.14736842],0
p9,1,0.142062,2.155481,[11  7] ; [31 43],[8.2173913 9.7826087] ; [33.7826087 40.2173913],0
r4,1,0.154925,2.023076,[12  6] ; [38 41],[9.27835052 8.72164948] ; [40.72164948 38.27835052],0
n5,1,0.163875,1.938101,[14  4] ; [47 31],[11.4375  6.5625] ; [49.5625 28.4375],0
p5,1,0.183898,1.765841,[ 1 14] ; [ 1 78],[ 0.31914894 14.68085106] ; [ 1.68085106 77.31914894],0
s7,1,0.302003,1.065327,[ 4 13] ; [10 64],[ 2.61538462 14.38461538] ; [11.38461538 62.61538462],0
n6,1,0.314526,1.011573,[11  6] ; [40 38],[9.12631579 7.87368421] ; [41.87368421 36.12631579],0
n2,1,0.395665,0.721461,[6 2] ; [23 16],[4.93617021 3.06382979] ; [24.06382979 14.93617021],0
a4,1,0.426269,0.632967,[9 9] ; [31 47],[ 7.5 10.5] ; [32.5 45.5],0
b1,1,0.443853,0.586301,[10  8] ; [36 43],[8.53608247 9.46391753] ; [37.46391753 41.53608247],0
p1,1,0.462373,0.540143,[ 1 17] ; [ 9 70],[ 1.8556701 16.1443299] ; [ 8.1443299 70.8556701],0
d2,1,0.482744,0.492657,[ 7 11] ; [37 40],[8.33684211 9.66315789] ; [35.66315789 41.33684211],0
n4,1,0.499574,0.45584,[10  8] ; [50 28],[11.25  6.75] ; [48.75 29.25],0
a3,1,0.499574,0.45584,[10  8] ; [50 28],[11.25  6.75] ; [48.75 29.25],0
b4,1,0.504087,0.446321,[ 8 10] ; [42 37],[9.27835052 8.72164948] ; [40.72164948 38.27835052],0
b5,1,0.504087,0.446321,[10  8] ; [37 42],[8.72164948 9.27835052] ; [38.27835052 40.72164948],0
n1,1,0.507422,0.439379,[4 3] ; [17 22],[3.19565217 3.80434783] ; [17.80434783 21.19565217],0
u3,1,0.538197,0.378892,[4 4] ; [11 18],[3.24324324 4.75675676] ; [11.75675676 17.24324324],0
a2,1,0.571411,0.320327,[ 2 16] ; [13 66],[ 2.78350515 15.21649485] ; [12.21649485 66.78350515],0
d5,1,0.573691,0.316546,[12  6] ; [47 32],[10.94845361  7.05154639] ; [48.05154639 30.94845361],0
u1,1,0.645489,0.211635,[ 1 17] ; [ 7 72],[ 1.48453608 16.51546392] ; [ 6.51546392 72.48453608],0
v3,1,0.669084,0.182675,[ 3 13] ; [18 58],[ 3.65217391 12.34782609] ; [17.34782609 58.65217391],0
r1,1,0.670829,0.180634,[10  8] ; [39 39],[9.1875 8.8125] ; [39.8125 38.1875],0
d3,1,0.706071,0.142233,[ 8 10] ; [39 40],[8.72164948 9.27835052] ; [38.27835052 40.72164948],0
d4,1,0.748661,0.10266,[13  5] ; [54 25],[12.43298969  5.56701031] ; [54.56701031 24.43298969],0
s4,1,0.762834,0.09106,[ 1 17] ; [ 6 73],[ 1.29896907 16.70103093] ; [ 5.70103093 73.29896907],0
a5,1,0.822555,0.050293,[11  7] ; [46 33],[10.57731959  7.42268041] ; [46.42268041 32.57731959],0
r2,1,0.833674,0.044097,[14  4] ; [60 15],[14.32258065  3.67741935] ; [59.67741935 15.32258065],0
a6,1,0.835912,0.042901,[10  8] ; [46 33],[10.39175258  7.60824742] ; [45.60824742 33.39175258],0
a7,1,0.86879,0.02729,[10  8] ; [45 33],[10.3125  7.6875] ; [44.6875 33.3125],0
a1,1,0.901342,0.015368,[ 2 16] ; [ 8 71],[ 1.8556701 16.1443299] ; [ 8.1443299 70.8556701],0
d1,1,0.931041,0.007488,[ 8 10] ; [36 43],[8.16494845 9.83505155] ; [35.83505155 43.16494845],0
s5,1,0.971222,0.001302,[ 1 15] ; [ 5 72],[ 1.03225806 14.96774194] ; [ 4.96774194 72.03225806],0
b3,1,0.983234,0.000442,[5 7] ; [21 29],[5.03225806 6.96774194] ; [20.96774194 29.03225806],0
b2,1,0.983234,0.000442,[5 7] ; [21 29],[5.03225806 6.96774194] ; [20.96774194 29.03225806],0
