Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,23.70041,[49 28] ; [19 58],[34. 43.] ; [34. 43.],1
p6,1,5.3e-05,16.336238,[37 39] ; [13 61],[25.33333333 50.66666667] ; [24.66666667 49.33333333],1
p8,1,0.00019,13.92706,[42 35] ; [19 57],[30.69934641 46.30065359] ; [30.30065359 45.69934641],1
p2,1,0.000359,12.732984,[63 13] ; [44 34],[52.80519481 23.19480519] ; [54.19480519 23.80519481],1
s6,1,0.001758,9.786339,[54 22] ; [35 41],[44.5 31.5] ; [44.5 31.5],0
p5,1,0.00215,9.416791,[15 61] ; [ 3 75],[ 8.88311688 67.11688312] ; [ 9.11688312 68.88311688],0
p7,1,0.002566,9.092828,[46 30] ; [27 48],[36.74172185 39.25827815] ; [36.25827815 38.74172185],0
p11,1,0.008259,6.976397,[63 14] ; [49 29],[55.63870968 21.36129032] ; [56.36129032 21.63870968],0
s2,1,0.0127,6.21044,[43 34] ; [28 50],[35.27096774 41.72903226] ; [35.72903226 42.27096774],0
s8,1,0.013854,6.056658,[32 45] ; [18 60],[24.83870968 52.16129032] ; [25.16129032 52.83870968],0
v1,1,0.019327,5.471655,[40 35] ; [25 48],[32.93918919 42.06081081] ; [32.06081081 40.93918919],0
n5,1,0.026178,4.944248,[55 21] ; [43 35],[48.36363636 27.63636364] ; [49.63636364 28.36363636],0
b1,1,0.028934,4.771525,[39 38] ; [26 52],[32.29032258 44.70967742] ; [32.70967742 45.29032258],0
v4,1,0.03454,4.467795,[69  8] ; [60 18],[64.08387097 12.91612903] ; [64.91612903 13.08387097],0
p12,1,0.053077,3.741497,[ 6 71] ; [ 1 76],[ 3.5 73.5] ; [ 3.5 73.5],0
r4,1,0.058713,3.573367,[51 26] ; [40 38],[45.20645161 31.79354839] ; [45.79354839 32.20645161],0
s7,1,0.069376,3.297713,[34 39] ; [24 51],[28.60810811 44.39189189] ; [29.39189189 45.60810811],0
n4,1,0.071115,3.257095,[56 21] ; [46 32],[50.67096774 26.32903226] ; [51.32903226 26.67096774],0
p9,1,0.100099,2.703963,[64 13] ; [54 21],[59.77631579 17.22368421] ; [58.22368421 16.77631579],0
n6,1,0.100315,2.700532,[63 13] ; [56 22],[58.72727273 17.27272727] ; [60.27272727 17.72727273],0
s5,1,0.101253,2.685701,[26 46] ; [17 55],[21.5 50.5] ; [21.5 50.5],0
p10,1,0.122414,2.386159,[58 18] ; [50 27],[53.64705882 22.35294118] ; [54.35294118 22.64705882],0
p1,1,0.182817,1.774575,[ 5 72] ; [10 68],[ 7.4516129 69.5483871] ; [ 7.5483871 70.4516129],0
u3,1,0.209686,1.57359,[14 11] ; [10 16],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
d1,1,0.220978,1.498006,[47 30] ; [40 38],[43.21935484 33.78064516] ; [43.78064516 34.21935484],0
a1,1,0.251714,1.313765,[ 9 68] ; [ 5 73],[ 6.95483871 70.04516129] ; [ 7.04516129 70.95483871],0
n1,1,0.26392,1.24808,[10 11] ; [10 21],[ 8.07692308 12.92307692] ; [11.92307692 19.07692308],0
u2,1,0.331382,0.943488,[16 10] ; [12 13],[14.2745098 11.7254902] ; [13.7254902 11.2745098],0
s4,1,0.34757,0.882308,[14 63] ; [19 59],[16.39354839 60.60645161] ; [16.60645161 61.39354839],0
d2,1,0.375544,0.785237,[31 46] ; [36 40],[33.71895425 43.28104575] ; [33.28104575 42.71895425],0
s1,1,0.404911,0.693694,[ 4 73] ; [ 2 75],[ 3. 74.] ; [ 3. 74.],0
a5,1,0.444761,0.583968,[50 27] ; [46 32],[47.69032258 29.30967742] ; [48.30967742 29.69032258],0
b3,1,0.461232,0.542902,[18 33] ; [20 27],[19.7755102 31.2244898] ; [18.2244898 28.7755102],0
b2,1,0.461232,0.542902,[18 33] ; [20 27],[19.7755102 31.2244898] ; [18.2244898 28.7755102],0
a7,1,0.463516,0.537392,[48 29] ; [53 25],[50.17419355 26.82580645] ; [50.82580645 27.17419355],0
a4,1,0.505904,0.442529,[31 46] ; [27 50],[29. 48.] ; [29. 48.],0
r3,1,0.519355,0.415173,[67 10] ; [65 13],[65.57419355 11.42580645] ; [66.42580645 11.57419355],0
d3,1,0.521457,0.411011,[55 22] ; [52 26],[53.15483871 23.84516129] ; [53.84516129 24.15483871],0
u1,1,0.563378,0.333889,[ 5 72] ; [ 7 71],[ 5.96129032 71.03870968] ; [ 6.03870968 71.96129032],0
r2,1,0.602065,0.271892,[58 17] ; [59 14],[59.29054054 15.70945946] ; [57.70945946 15.29054054],0
b5,1,0.661036,0.192267,[50 27] ; [48 30],[48.68387097 28.31612903] ; [49.31612903 28.68387097],0
a6,1,0.674432,0.176462,[46 31] ; [44 34],[44.70967742 32.29032258] ; [45.29032258 32.70967742],0
v2,1,0.688566,0.160642,[35 40] ; [33 43],[33.77483444 41.22516556] ; [34.22516556 41.77483444],0
s3,1,0.746687,0.104336,[37 40] ; [35 42],[36. 41.] ; [36. 41.],0
a8,1,0.771512,0.08433,[ 7 67] ; [ 6 68],[ 6.5 67.5] ; [ 6.5 67.5],0
n2,1,0.773003,0.083203,[15  6] ; [24  8],[15.45283019  5.54716981] ; [23.54716981  8.45283019],0
a2,1,0.829846,0.046182,[ 9 68] ; [10 68],[ 9.43870968 67.56129032] ; [ 9.56129032 68.43870968],0
n3,1,0.853881,0.033918,[13  8] ; [19 13],[12.67924528  8.32075472] ; [19.32075472 12.67924528],0
a3,1,0.86405,0.029317,[51 26] ; [52 25],[51.5 25.5] ; [51.5 25.5],0
d5,1,0.872371,0.025808,[62 15] ; [62 16],[61.6 15.4] ; [62.4 15.6],0
v3,1,0.906531,0.013786,[24 51] ; [25 51],[24.33774834 50.66225166] ; [24.66225166 51.33774834],0
b4,1,0.949102,0.004075,[47 30] ; [48 30],[47.19354839 29.80645161] ; [47.80645161 30.19354839],0
