Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.019216,5.481793,[ 5 41] ; [5 8],[ 7.79661017 38.20338983] ; [ 2.20338983 10.79661017],0
b3,1,0.024449,5.0625,[17 19] ; [8 1],[20. 16.] ; [5. 4.],0
b2,1,0.024449,5.0625,[17 19] ; [8 1],[20. 16.] ; [5. 4.],0
a2,1,0.065997,3.37988,[ 7 39] ; [5 8],[ 9.3559322 36.6440678] ; [ 2.6440678 10.3559322],0
p8,1,0.084802,2.970375,[27 19] ; [11  2],[29.62711864 16.37288136] ; [8.37288136 4.62711864],0
p6,1,0.093844,2.807173,[16 29] ; [8 5],[18.62068966 26.37931034] ; [5.37931034 7.62068966],0
a6,1,0.110822,2.542467,[24 22] ; [10  3],[26.50847458 19.49152542] ; [7.49152542 5.50847458],0
p3,1,0.143444,2.140618,[25 21] ; [10  3],[27.28813559 18.71186441] ; [7.71186441 5.28813559],0
v1,1,0.143444,2.140618,[25 21] ; [10  3],[27.28813559 18.71186441] ; [7.71186441 5.28813559],0
a5,1,0.157679,1.996342,[34 12] ; [12  1],[35.86440678 10.13559322] ; [10.13559322  2.86440678],0
s4,1,0.162209,1.953512,[ 2 44] ; [ 2 11],[ 3.11864407 42.88135593] ; [ 0.88135593 12.11864407],0
p5,1,0.166608,1.913199,[ 4 41] ; [ 3 10],[ 5.43103448 39.56896552] ; [ 1.56896552 11.43103448],0
n4,1,0.199512,1.645945,[35 11] ; [12  1],[36.6440678  9.3559322] ; [10.3559322  2.6440678],0
p7,1,0.26379,1.248759,[31 14] ; [11  2],[32.5862069 12.4137931] ; [9.4137931 3.5862069],0
d5,1,0.281139,1.161575,[32 14] ; [11  2],[33.52542373 12.47457627] ; [9.47457627 3.52542373],0
s1,1,0.297694,1.084498,[ 1 45] ; [ 1 11],[ 1.5862069 44.4137931] ; [ 0.4137931 11.5862069],0
b1,1,0.367771,0.811181,[15 31] ; [6 7],[16.37288136 29.62711864] ; [4.62711864 8.37288136],0
b5,1,0.461951,0.541164,[23 23] ; [5 8],[21.83050847 24.16949153] ; [6.16949153 6.83050847],0
v2,1,0.481384,0.495726,[30 15] ; [10  3],[31.03448276 13.96551724] ; [8.96551724 4.03448276],0
p2,1,0.484068,0.489684,[39  7] ; [12  1],[39.76271186  6.23728814] ; [11.23728814  1.76271186],0
n5,1,0.490209,0.476067,[34 11] ; [11  2],[34.9137931 10.0862069] ; [10.0862069  2.9137931],0
b4,1,0.49164,0.472935,[27 19] ; [9 4],[28.06779661 17.93220339] ; [7.93220339 5.06779661],0
r1,1,0.512416,0.429131,[35 11] ; [11  2],[35.86440678 10.13559322] ; [10.13559322  2.86440678],0
p4,1,0.581997,0.303017,[28 18] ; [9 4],[28.84745763 17.15254237] ; [8.15254237 4.84745763],0
d4,1,0.642097,0.21601,[38  8] ; [10  3],[37.42372881  8.57627119] ; [10.57627119  2.42372881],0
d1,1,0.680771,0.169259,[29 17] ; [9 4],[29.62711864 16.37288136] ; [8.37288136 4.62711864],0
s2,1,0.696584,0.15205,[16 29] ; [5 7],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
s3,1,0.776725,0.080423,[17 28] ; [4 8],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
n6,1,0.827657,0.047397,[40  6] ; [11  2],[39.76271186  6.23728814] ; [11.23728814  1.76271186],0
p9,1,0.850152,0.035692,[39  6] ; [11  2],[38.79310345  6.20689655] ; [11.20689655  1.79310345],0
d2,1,0.863772,0.029438,[26 20] ; [7 6],[25.72881356 20.27118644] ; [7.27118644 5.72881356],0
a4,1,0.863772,0.029438,[20 26] ; [6 7],[20.27118644 25.72881356] ; [5.72881356 7.27118644],0
a3,1,0.864791,0.028995,[38  8] ; [11  2],[38.20338983  7.79661017] ; [10.79661017  2.20338983],0
p12,1,0.882154,0.021975,[ 3 43] ; [ 1 12],[ 3.11864407 42.88135593] ; [ 0.88135593 12.11864407],0
p1,1,0.882154,0.021975,[ 3 43] ; [ 1 12],[ 3.11864407 42.88135593] ; [ 0.88135593 12.11864407],0
d3,1,0.900261,0.015708,[31 15] ; [9 4],[31.18644068 14.81355932] ; [8.81355932 4.18644068],0
a7,1,0.900261,0.015708,[31 15] ; [9 4],[31.18644068 14.81355932] ; [8.81355932 4.18644068],0
v3,1,0.916722,0.010934,[27 18] ; [7 5],[26.84210526 18.15789474] ; [7.15789474 4.84210526],0
s7,1,0.925099,0.008838,[25 19] ; [7 5],[25.14285714 18.85714286] ; [6.85714286 5.14285714],0
p11,1,0.988186,0.000219,[39  7] ; [11  2],[38.98305085  7.01694915] ; [11.01694915  1.98305085],0
u3,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
u2,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
