Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,9.4e-05,15.251459,[9 3] ; [ 4 26],[3.71428571 8.28571429] ; [ 9.28571429 20.71428571],1
d3,1,0.001264,10.395,[11  1] ; [11 19],[6.28571429 5.71428571] ; [15.71428571 14.28571429],0
d5,1,0.002373,9.236156,[11  1] ; [12 18],[6.57142857 5.42857143] ; [16.42857143 13.57142857],0
v2,1,0.009851,6.661732,[9 3] ; [ 9 20],[5.26829268 6.73170732] ; [12.73170732 16.26829268],0
v3,1,0.015198,5.893369,[7 5] ; [ 6 24],[3.71428571 8.28571429] ; [ 9.28571429 20.71428571],0
p5,1,0.043218,4.086869,[5 7] ; [ 4 26],[2.57142857 9.42857143] ; [ 6.42857143 23.57142857],0
u2,1,0.046301,3.970612,[2 3] ; [12  2],[3.68421053 1.31578947] ; [10.31578947  3.68421053],0
n4,1,0.04679,3.952941,[10  2] ; [15 15],[7.14285714 4.85714286] ; [17.85714286 12.14285714],0
a4,1,0.051869,3.78,[6 6] ; [ 6 24],[3.42857143 8.57142857] ; [ 8.57142857 21.42857143],0
p1,1,0.129588,2.297436,[ 2 10] ; [ 1 29],[ 0.85714286 11.14285714] ; [ 2.14285714 27.85714286],0
r4,1,0.135922,2.223529,[7 5] ; [10 20],[4.85714286 7.14285714] ; [12.14285714 17.85714286],0
n6,1,0.183083,1.77242,[10  2] ; [18 11],[8.19512195 3.80487805] ; [19.80487805  9.19512195],0
p4,1,0.196243,1.670118,[9 3] ; [16 14],[7.14285714 4.85714286] ; [17.85714286 12.14285714],0
p3,1,0.2217,1.493333,[6 6] ; [ 9 21],[4.28571429 7.71428571] ; [10.71428571 19.28571429],0
s7,1,0.224244,1.477005,[2 8] ; [12 17],[3.58974359 6.41025641] ; [10.41025641 18.58974359],0
r3,1,0.227052,1.459236,[9 3] ; [26  3],[10.24390244  1.75609756] ; [24.75609756  4.24390244],0
a6,1,0.280859,1.162929,[7 5] ; [12 18],[5.42857143 6.57142857] ; [13.57142857 16.42857143],0
p12,1,0.318587,0.994737,[ 2 10] ; [ 2 28],[ 1.14285714 10.85714286] ; [ 2.85714286 27.14285714],0
s6,1,0.32691,0.961098,[8 4] ; [15 15],[6.57142857 5.42857143] ; [16.42857143 13.57142857],0
p11,1,0.359397,0.84,[11  1] ; [24  6],[10.  2.] ; [25.  5.],0
s8,1,0.430223,0.622222,[4 8] ; [14 16],[5.14285714 6.85714286] ; [12.85714286 17.14285714],0
s2,1,0.468717,0.525,[5 7] ; [ 9 21],[4. 8.] ; [10. 20.],0
v4,1,0.468717,0.525,[9 3] ; [19 11],[8. 4.] ; [20. 10.],0
p6,1,0.505485,0.443402,[4 8] ; [ 7 23],[3.14285714 8.85714286] ; [ 7.85714286 22.14285714],0
b1,1,0.554113,0.35,[6 6] ; [18 12],[6.85714286 5.14285714] ; [17.14285714 12.85714286],0
b5,1,0.625193,0.238636,[7 5] ; [15 15],[6.28571429 5.71428571] ; [15.71428571 14.28571429],0
b4,1,0.625193,0.238636,[7 5] ; [15 15],[6.28571429 5.71428571] ; [15.71428571 14.28571429],0
n2,1,0.648807,0.207407,[1 1] ; [8 4],[1.28571429 0.71428571] ; [7.71428571 4.28571429],0
a7,1,0.694953,0.153776,[6 6] ; [17 13],[6.57142857 5.42857143] ; [16.42857143 13.57142857],0
r1,1,0.694953,0.153776,[6 6] ; [13 17],[5.42857143 6.57142857] ; [13.57142857 16.42857143],0
a8,1,0.713013,0.135286,[ 1 10] ; [ 4 26],[1.34146341 9.65853659] ; [ 3.65853659 26.34146341],0
n5,1,0.74591,0.105,[9 3] ; [21  9],[8.57142857 3.42857143] ; [21.42857143  8.57142857],0
a3,1,0.768676,0.086499,[7 5] ; [16 14],[6.57142857 5.42857143] ; [16.42857143 13.57142857],0
s4,1,0.803728,0.061765,[ 2 10] ; [ 6 24],[2.28571429 9.71428571] ; [ 5.71428571 24.28571429],0
u1,1,0.849727,0.035897,[ 1 11] ; [ 2 28],[ 0.85714286 11.14285714] ; [ 2.14285714 27.85714286],0
s1,1,0.849727,0.035897,[ 1 11] ; [ 2 28],[ 0.85714286 11.14285714] ; [ 2.14285714 27.85714286],0
p9,1,0.867978,0.027632,[11  1] ; [27  3],[10.85714286  1.14285714] ; [27.14285714  2.85714286],0
b3,1,0.897785,0.016502,[2 5] ; [ 5 11],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
b2,1,0.897785,0.016502,[2 5] ; [ 5 11],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
s5,1,0.90879,0.013125,[3 9] ; [ 7 23],[2.85714286 9.14285714] ; [ 7.14285714 22.85714286],0
u3,1,0.911557,0.012338,[2 3] ; [6 8],[2.10526316 2.89473684] ; [5.89473684 8.10526316],0
s3,1,0.911632,0.012317,[3 9] ; [ 8 22],[3.14285714 8.85714286] ; [ 7.85714286 22.14285714],0
a5,1,0.920813,0.009882,[7 5] ; [18 12],[7.14285714 4.85714286] ; [17.85714286 12.14285714],0
p7,1,0.920813,0.009882,[7 5] ; [18 12],[7.14285714 4.85714286] ; [17.85714286 12.14285714],0
v1,1,0.920813,0.009882,[5 7] ; [12 18],[4.85714286 7.14285714] ; [12.14285714 17.85714286],0
p8,1,1.0,0.0,[6 6] ; [15 15],[6. 6.] ; [15. 15.],0
