Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.4e-05,18.899937,[11 14] ; [89 16],[19.23076923  5.76923077] ; [80.76923077 24.23076923],1
n4,1,3.7e-05,16.995198,[12 13] ; [90 15],[19.61538462  5.38461538] ; [82.38461538 22.61538462],1
p2,1,0.002785,8.943301,[13 12] ; [84 20],[18.79844961  6.20155039] ; [78.20155039 25.79844961],0
r4,1,0.007605,7.124204,[16  9] ; [91 14],[20.57692308  4.42307692] ; [86.42307692 18.57692308],0
d5,1,0.009045,6.814008,[15 10] ; [87 17],[19.76744186  5.23255814] ; [82.23255814 21.76744186],0
s7,1,0.010245,6.591826,[12 10] ; [82 20],[16.67741935  5.32258065] ; [77.32258065 24.67741935],0
p11,1,0.018061,5.590239,[15 10] ; [86 19],[19.42307692  5.57692308] ; [81.57692308 23.42307692],0
a3,1,0.018061,5.590239,[15 10] ; [86 19],[19.42307692  5.57692308] ; [81.57692308 23.42307692],0
p9,1,0.018884,5.512228,[15  9] ; [88 17],[19.1627907  4.8372093] ; [83.8372093 21.1627907],0
s8,1,0.021682,5.271113,[13 12] ; [79 26],[17.69230769  7.30769231] ; [74.30769231 30.69230769],0
p7,1,0.039279,4.248743,[12 12] ; [74 29],[16.2519685  7.7480315] ; [69.7480315 33.2519685],0
u2,1,0.051129,3.804049,[8 2] ; [ 8 11],[5.51724138 4.48275862] ; [10.48275862  8.51724138],0
p6,1,0.064915,3.407125,[ 6 18] ; [47 56],[10.01574803 13.98425197] ; [42.98425197 60.01574803],0
a5,1,0.070824,3.263812,[14 11] ; [78 27],[17.69230769  7.30769231] ; [74.30769231 30.69230769],0
a4,1,0.080474,3.0553,[ 8 17] ; [54 51],[11.92307692 13.07692308] ; [50.07692308 54.92307692],0
v3,1,0.088662,2.8985,[ 7 16] ; [52 52],[10.68503937 12.31496063] ; [48.31496063 55.68503937],0
d4,1,0.100126,2.703538,[17  8] ; [86 18],[19.96124031  5.03875969] ; [83.03875969 20.96124031],0
p8,1,0.118599,2.435728,[ 9 16] ; [55 48],[12.5 12.5] ; [51.5 51.5],0
b1,1,0.119286,2.426667,[16  9] ; [49 56],[12.5 12.5] ; [52.5 52.5],0
p10,1,0.125611,2.345928,[16  8] ; [85 20],[18.79069767  5.20930233] ; [82.20930233 22.79069767],0
d2,1,0.140924,2.167839,[ 9 16] ; [55 50],[12.30769231 12.69230769] ; [51.69230769 53.30769231],0
r1,1,0.15484,2.023913,[15 10] ; [78 27],[17.88461538  7.11538462] ; [75.11538462 29.88461538],0
d1,1,0.170395,1.879461,[10 15] ; [58 47],[13.07692308 11.92307692] ; [54.92307692 50.07692308],0
p5,1,0.170851,1.875458,[ 1 23] ; [15 89],[ 3. 21.] ; [13. 91.],0
a8,1,0.184622,1.760016,[ 1 23] ; [14 86],[ 2.90322581 21.09677419] ; [12.09677419 87.90322581],0
r2,1,0.23461,1.412694,[20  4] ; [96  9],[21.58139535  2.41860465] ; [94.41860465 10.58139535],0
s5,1,0.234652,1.412437,[ 9 15] ; [51 49],[11.61290323 12.38709677] ; [48.38709677 51.61290323],0
p3,1,0.235529,1.407155,[11 14] ; [60 45],[13.65384615 11.34615385] ; [57.34615385 47.65384615],0
s6,1,0.241991,1.368957,[19  5] ; [90 12],[20.76190476  3.23809524] ; [88.23809524 13.76190476],0
v1,1,0.259705,1.270328,[18  7] ; [61 41],[15.5511811  9.4488189] ; [63.4488189 38.5511811],0
b4,1,0.265838,1.238095,[15 10] ; [50 55],[12.5 12.5] ; [52.5 52.5],0
d3,1,0.304314,1.055195,[10 15] ; [54 51],[12.30769231 12.69230769] ; [51.69230769 53.30769231],0
a2,1,0.314721,1.010761,[ 1 24] ; [11 94],[ 2.30769231 22.69230769] ; [ 9.69230769 95.30769231],0
v4,1,0.334978,0.929559,[21  3] ; [98  7],[22.13953488  1.86046512] ; [96.86046512  8.13953488],0
s3,1,0.346343,0.88681,[23  2] ; [89 16],[21.53846154  3.46153846] ; [90.46153846 14.53846154],0
u3,1,0.36671,0.814783,[7 3] ; [10  9],[5.86206897 4.13793103] ; [11.13793103  7.86206897],0
b5,1,0.379007,0.773921,[ 9 16] ; [48 57],[10.96153846 14.03846154] ; [46.03846154 58.96153846],0
b2,1,0.433364,0.613792,[ 5 11] ; [33 46],[6.4 9.6] ; [31.6 47.4],0
b3,1,0.433364,0.613792,[ 5 11] ; [33 46],[6.4 9.6] ; [31.6 47.4],0
n2,1,0.571091,0.32086,[9 2] ; [19  7],[8.32432432 2.67567568] ; [19.67567568  6.32432432],0
p4,1,0.586837,0.295311,[14 11] ; [65 40],[15.19230769  9.80769231] ; [63.80769231 41.19230769],0
n1,1,0.590359,0.289783,[6 4] ; [13 13],[5.27777778 4.72222222] ; [13.72222222 12.27777778],0
n3,1,0.630202,0.231786,[6 5] ; [17 10],[6.65789474 4.34210526] ; [16.34210526 10.65789474],0
s4,1,0.757564,0.095284,[ 7 18] ; [26 78],[ 6.39534884 18.60465116] ; [26.60465116 77.39534884],0
a6,1,0.759718,0.093545,[ 8 17] ; [37 68],[ 8.65384615 16.34615385] ; [36.34615385 68.65384615],0
s1,1,0.762693,0.091172,[ 1 23] ; [ 6 99],[ 1.30232558 22.69767442] ; [ 5.69767442 99.30232558],0
v2,1,0.812432,0.056306,[12 11] ; [56 46],[12.512 10.488] ; [55.488 46.512],0
a1,1,0.813001,0.055959,[ 2 23] ; [10 95],[ 2.30769231 22.69230769] ; [ 9.69230769 95.30769231],0
r3,1,0.813412,0.055709,[23  2] ; [98  7],[23.26923077  1.73076923] ; [97.73076923  7.26923077],0
p1,1,0.823013,0.050029,[ 2 23] ; [ 7 97],[ 1.74418605 23.25581395] ; [ 7.25581395 96.74418605],0
p12,1,0.915997,0.011126,[ 2 22] ; [ 8 96],[ 1.875 22.125] ; [ 8.125 95.875],0
