Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.025538,4.987013,[ 7 37] ; [11 17],[11. 33.] ; [ 7. 21.],0
a4,1,0.030784,4.66499,[10 34] ; [14 16],[14.27027027 29.72972973] ; [ 9.72972973 20.27027027],0
b1,1,0.033641,4.512879,[21 23] ; [ 7 23],[16.64864865 27.35135135] ; [11.35135135 18.64864865],0
a7,1,0.036168,4.389189,[26 17] ; [25  5],[30.04109589 12.95890411] ; [20.95890411  9.04109589],0
p10,1,0.05311,3.740454,[29 15] ; [25  4],[32.54794521 11.45205479] ; [21.45205479  7.54794521],0
d4,1,0.065002,3.404939,[28 16] ; [25  5],[31.51351351 12.48648649] ; [21.48648649  8.51351351],0
p9,1,0.07738,3.119099,[28 16] ; [24  5],[31.34246575 12.65753425] ; [20.65753425  8.34246575],0
n6,1,0.079846,3.068036,[32 12] ; [26  3],[34.95890411  9.04109589] ; [23.04109589  5.95890411],0
v4,1,0.081485,3.035028,[36  7] ; [29  1],[38.28767123  4.71232877] ; [26.71232877  3.28767123],0
d2,1,0.086202,2.943901,[12 32] ; [14 16],[15.45945946 28.54054054] ; [10.54054054 19.45945946],0
r1,1,0.089009,2.892211,[27 17] ; [24  6],[30.32432432 13.67567568] ; [20.67567568  9.32432432],0
u3,1,0.093028,2.821181,[13  5] ; [3 5],[11.07692308  6.92307692] ; [4.92307692 3.07692308],0
d1,1,0.126501,2.334924,[17 27] ; [17 13],[20.21621622 23.78378378] ; [13.78378378 16.21621622],0
p2,1,0.148271,2.089949,[37  7] ; [21  9],[34.48648649  9.51351351] ; [23.51351351  6.48648649],0
b4,1,0.155425,2.018182,[19 25] ; [18 12],[22. 22.] ; [15. 15.],0
s7,1,0.162418,1.951564,[22 21] ; [10 19],[19.11111111 23.88888889] ; [12.88888889 16.11111111],0
r3,1,0.16999,1.883027,[36  8] ; [27  2],[37.97260274  6.02739726] ; [25.02739726  3.97260274],0
d5,1,0.185808,1.750548,[30 13] ; [25  5],[32.39726027 10.60273973] ; [22.60273973  7.39726027],0
a3,1,0.20766,1.587665,[26 18] ; [22  8],[28.54054054 15.45945946] ; [19.45945946 10.54054054],0
v1,1,0.225527,1.468854,[15 29] ; [14 15],[17.47945205 26.52054795] ; [11.52054795 17.47945205],0
d3,1,0.236546,1.401062,[29 14] ; [24  6],[31.21917808 11.78082192] ; [21.78082192  8.21917808],0
r4,1,0.286936,1.13394,[32 12] ; [25  5],[33.89189189 10.10810811] ; [23.10810811  6.89189189],0
s6,1,0.320203,0.988117,[29 15] ; [23  7],[30.91891892 13.08108108] ; [21.08108108  8.91891892],0
n2,1,0.339802,0.911178,[9 7] ; [4 1],[9.9047619 6.0952381] ; [3.0952381 1.9047619],0
p8,1,0.373735,0.791209,[22 22] ; [11 17],[20.16666667 23.83333333] ; [12.83333333 15.16666667],0
p3,1,0.396723,0.718235,[22 22] ; [12 18],[20.21621622 23.78378378] ; [13.78378378 16.21621622],0
a2,1,0.465905,0.531672,[ 6 38] ; [ 6 24],[ 7.13513514 36.86486486] ; [ 4.86486486 25.13513514],0
n1,1,0.468717,0.525,[ 6 10] ; [1 4],[ 5.33333333 10.66666667] ; [1.66666667 3.33333333],0
n4,1,0.509422,0.435253,[26 18] ; [20 10],[27.35135135 16.64864865] ; [18.64864865 11.35135135],0
n3,1,0.516937,0.42,[12  4] ; [3 2],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
n5,1,0.520555,0.412793,[31 13] ; [19 11],[29.72972973 14.27027027] ; [20.27027027  9.72972973],0
s1,1,0.535861,0.383266,[ 3 41] ; [ 1 28],[ 2.4109589 41.5890411] ; [ 1.5890411 27.4109589],0
r2,1,0.537867,0.379507,[38  5] ; [25  5],[37.10958904  5.89041096] ; [25.89041096  4.10958904],0
u2,1,0.555126,0.348214,[9 9] ; [3 5],[8.30769231 9.69230769] ; [3.69230769 4.30769231],0
s3,1,0.655463,0.199082,[25 19] ; [18 11],[25.91780822 18.08219178] ; [17.08219178 11.91780822],0
b5,1,0.665049,0.187448,[30 14] ; [19 11],[29.13513514 14.86486486] ; [19.86486486 10.13513514],0
p7,1,0.667311,0.184763,[23 20] ; [17 12],[23.88888889 19.11111111] ; [16.11111111 12.88888889],0
a5,1,0.686177,0.163255,[27 17] ; [17 13],[26.16216216 17.83783784] ; [17.83783784 12.16216216],0
b2,1,0.694618,0.154132,[ 5 21] ; [ 2 12],[ 4.55 21.45] ; [ 2.45 11.55],0
b3,1,0.694618,0.154132,[ 5 21] ; [ 2 12],[ 4.55 21.45] ; [ 2.45 11.55],0
u1,1,0.719021,0.129433,[ 6 38] ; [ 5 25],[ 6.54054054 37.45945946] ; [ 4.45945946 25.54054054],0
p11,1,0.787399,0.072733,[31 13] ; [22  8],[31.51351351 12.48648649] ; [21.48648649  8.51351351],0
s8,1,0.78863,0.071873,[16 28] ; [10 20],[15.45945946 28.54054054] ; [10.54054054 19.45945946],0
s2,1,0.807979,0.059065,[23 21] ; [16 13],[23.50684932 20.49315068] ; [15.49315068 13.50684932],0
p6,1,0.933358,0.006992,[11 33] ; [ 7 22],[10.84931507 33.15068493] ; [ 7.15068493 21.84931507],0
a6,1,0.97879,0.000707,[28 16] ; [19 11],[27.94594595 16.05405405] ; [19.05405405 10.94594595],0
p4,1,1.0,0.0,[22 22] ; [15 15],[22. 22.] ; [15. 15.],0
