Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.8e-05,18.431006,[19 16] ; [17 83],[ 9.33333333 25.66666667] ; [26.66666667 73.33333333],1
v3,1,0.00049,12.152084,[24 13] ; [33 70],[15.06428571 21.93571429] ; [41.93571429 61.06428571],1
s5,1,0.001612,9.945659,[11 27] ; [ 9 98],[ 5.24137931 32.75862069] ; [14.75862069 92.24137931],0
b3,1,0.002958,8.833201,[17 13] ; [14 43],[10.68965517 19.31034483] ; [20.31034483 36.68965517],0
b2,1,0.002958,8.833201,[17 13] ; [14 43],[10.68965517 19.31034483] ; [20.31034483 36.68965517],0
n5,1,0.003533,8.509451,[34  4] ; [69 38],[26.99310345 11.00689655] ; [76.00689655 30.99310345],0
d1,1,0.004124,8.228197,[30  8] ; [56 51],[22.53793103 15.46206897] ; [63.46206897 43.53793103],0
s2,1,0.006433,7.424714,[12 24] ; [14 93],[ 6.54545455 29.45454545] ; [19.45454545 87.54545455],0
p6,1,0.009372,6.750492,[20 17] ; [32 74],[13.45454545 23.54545455] ; [38.54545455 67.45454545],0
n4,1,0.010504,6.547277,[34  4] ; [73 34],[28.04137931  9.95862069] ; [78.95862069 28.04137931],0
p3,1,0.011568,6.37594,[28 10] ; [53 53],[21.375 16.625] ; [59.625 46.375],0
a3,1,0.014648,5.958292,[30  8] ; [60 46],[23.75 14.25] ; [66.25 39.75],0
v1,1,0.016381,5.761542,[26 12] ; [48 57],[19.66433566 18.33566434] ; [54.33566434 50.66433566],0
d2,1,0.019369,5.467855,[24 14] ; [44 63],[17.82068966 20.17931034] ; [50.17931034 56.82068966],0
s3,1,0.034312,4.479106,[13 23] ; [20 86],[ 8.36619718 27.63380282] ; [24.63380282 81.36619718],0
b5,1,0.043082,4.092167,[17 21] ; [68 39],[22.27586207 15.72413793] ; [62.72413793 44.27586207],0
n6,1,0.057703,3.602195,[35  3] ; [83 23],[31.13888889  6.86111111] ; [86.86111111 19.13888889],0
p12,1,0.058394,3.582431,[ 4 34] ; [  3 103],[ 1.84722222 36.15277778] ; [  5.15277778 100.84722222],0
a5,1,0.062725,3.463836,[31  7] ; [70 37],[26.46896552 11.53103448] ; [74.53103448 32.46896552],0
p11,1,0.075798,3.152781,[35  3] ; [85 22],[31.44827586  6.55172414] ; [88.55172414 18.44827586],0
p4,1,0.078986,3.085653,[28 10] ; [61 45],[23.48611111 14.51388889] ; [65.51388889 40.48611111],0
v2,1,0.091617,2.845735,[27 11] ; [57 46],[22.63829787 15.36170213] ; [61.36170213 41.63829787],0
p9,1,0.101002,2.689649,[34  3] ; [85 21],[30.79020979  6.20979021] ; [88.20979021 17.79020979],0
a1,1,0.107331,2.593083,[ 2 36] ; [  1 106],[ 0.7862069 37.2137931] ; [  2.2137931 104.7862069],0
b4,1,0.151378,2.058308,[25 13] ; [56 51],[21.22758621 16.77241379] ; [59.77241379 47.22758621],0
a2,1,0.156032,2.012271,[10 28] ; [17 90],[ 7.07586207 30.92413793] ; [19.92413793 87.07586207],0
d4,1,0.161514,1.959998,[32  6] ; [78 29],[28.82758621  9.17241379] ; [81.17241379 25.82758621],0
a4,1,0.162796,1.948059,[18 20] ; [37 70],[14.4137931 23.5862069] ; [40.5862069 66.4137931],0
p2,1,0.260534,1.265918,[35  3] ; [90 16],[32.98611111  5.01388889] ; [92.01388889 13.98611111],0
p7,1,0.295528,1.094265,[30  7] ; [76 29],[27.61971831  9.38028169] ; [78.38028169 26.61971831],0
a6,1,0.297471,1.085499,[22 16] ; [72 35],[24.63448276 13.36551724] ; [69.36551724 37.63448276],0
d3,1,0.349826,0.874088,[28 10] ; [70 37],[25.68275862 12.31724138] ; [72.31724138 34.68275862],0
n2,1,0.366018,0.817138,[6 1] ; [15  7],[5.06896552 1.93103448] ; [15.93103448  6.06896552],0
p1,1,0.383857,0.758312,[ 3 35] ; [14 92],[ 4.48611111 33.51388889] ; [12.51388889 93.48611111],0
p10,1,0.39248,0.731245,[32  5] ; [85 21],[30.27272727  6.72727273] ; [86.72727273 19.27272727],0
p5,1,0.434781,0.610018,[ 4 34] ; [ 7 99],[ 2.90277778 35.09722222] ; [ 8.09722222 97.90277778],0
r4,1,0.437896,0.601789,[33  5] ; [87 20],[31.44827586  6.55172414] ; [88.55172414 18.44827586],0
r1,1,0.44218,0.590618,[31  7] ; [80 26],[29.29166667  8.70833333] ; [81.70833333 24.29166667],0
a7,1,0.448591,0.574208,[26 12] ; [80 27],[27.77931034 10.22068966] ; [78.22068966 28.77931034],0
s4,1,0.615677,0.251991,[ 3 35] ; [  6 101],[ 2.35862069 35.64137931] ; [  6.64137931 100.35862069],0
u1,1,0.626733,0.236517,[ 5 33] ; [11 96],[ 4.19310345 33.80689655] ; [11.80689655 95.19310345],0
n1,1,0.648807,0.207407,[3 4] ; [ 7 14],[2.5 4.5] ; [ 7.5 13.5],0
a8,1,0.651207,0.204382,[ 4 29] ; [ 9 87],[ 3.3255814 29.6744186] ; [ 9.6744186 86.3255814],0
r3,1,0.668846,0.182955,[35  3] ; [96 11],[34.33103448  3.66896552] ; [96.66896552 10.33103448],0
u3,1,0.694609,0.154141,[4 4] ; [20 27],[3.49090909 4.50909091] ; [20.50909091 26.49090909],0
s1,1,0.760131,0.093213,[ 1 36] ; [  4 102],[ 1.29370629 35.70629371] ; [  3.70629371 102.29370629],0
r2,1,0.764688,0.089599,[35  3] ; [95 10],[34.54545455  3.45454545] ; [95.45454545  9.54545455],0
u2,1,0.780007,0.078014,[4 4] ; [21 26],[3.63636364 4.36363636] ; [21.36363636 25.63636364],0
b1,1,0.819531,0.052052,[15 23] ; [40 67],[14.4137931 23.5862069] ; [40.5862069 66.4137931],0
n3,1,0.871524,0.026154,[5 2] ; [15  7],[4.82758621 2.17241379] ; [15.17241379  6.82758621],0
d5,1,0.874127,0.025096,[29  9] ; [83 24],[29.35172414  8.64827586] ; [82.64827586 24.35172414],0
v4,1,0.893147,0.018043,[36  2] ; [101   5],[36.15277778  1.84722222] ; [100.84722222   5.15277778],0
