Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.29984,[228  61] ; [44 78],[191.26034063  97.73965937] ; [80.73965937 41.26034063],1
d3,1,0.0,40.071015,[236  54] ; [62 60],[209.75728155  80.24271845] ; [88.24271845 33.75728155],1
a2,1,1e-06,23.409074,[105 187] ; [ 15 107],[ 84.63768116 207.36231884] ; [35.36231884 86.63768116],1
u1,1,6e-06,20.409928,[ 90 202] ; [ 12 110],[ 71.94202899 220.05797101] ; [30.05797101 91.94202899],1
b5,1,0.000199,13.838206,[187 105] ; [54 68],[169.98067633 122.01932367] ; [71.01932367 50.98067633],1
b1,1,0.006763,7.33475,[102 190] ; [60 62],[114.26086957 177.73913043] ; [47.73913043 74.26086957],0
r4,1,0.010795,6.49868,[280  12] ; [109  13],[274.36714976  17.63285024] ; [114.63285024   7.36714976],0
d1,1,0.010868,6.486745,[201  91] ; [68 54],[189.7294686 102.2705314] ; [79.2705314 42.7294686],0
v2,1,0.011165,6.438851,[183 101] ; [60 58],[171.67164179 112.32835821] ; [71.32835821 46.67164179],0
r1,1,0.012348,6.260156,[254  36] ; [95 27],[245.65533981  44.34466019] ; [103.34466019  18.65533981],0
b4,1,0.0257,4.976082,[176 116] ; [59 63],[165.74879227 126.25120773] ; [69.25120773 52.74879227],0
b2,1,0.032681,4.562408,[ 77 124] ; [47 44],[ 85.35616438 115.64383562] ; [38.64383562 52.35616438],0
b3,1,0.032681,4.562408,[ 77 124] ; [47 44],[ 85.35616438 115.64383562] ; [38.64383562 52.35616438],0
d4,1,0.052575,3.757385,[252  38] ; [96 25],[245.54744526  44.45255474] ; [102.45255474  18.54744526],0
v4,1,0.06312,3.453449,[286   5] ; [115   6],[283.23058252   7.76941748] ; [117.76941748   3.23058252],0
n4,1,0.081886,3.027065,[237  54] ; [107  14],[242.97087379  48.02912621] ; [101.02912621  19.97087379],0
n1,1,0.116249,2.467148,[26 30] ; [21 12],[29.57303371 26.42696629] ; [17.42696629 15.57303371],0
p4,1,0.140672,2.17059,[200  90] ; [75 47],[193.56796117  96.43203883] ; [81.43203883 40.56796117],0
s8,1,0.183048,1.772703,[194  95] ; [90 32],[199.69829684  89.30170316] ; [84.30170316 37.69829684],0
p2,1,0.204229,1.611872,[251  41] ; [98 23],[246.75060533  45.24939467] ; [102.24939467  18.75060533],0
p11,1,0.219767,1.50589,[226  66] ; [101  21],[230.63768116  61.36231884] ; [96.36231884 25.63768116],0
u3,1,0.254369,1.299145,[41 16] ; [11  8],[39. 18.] ; [13.  6.],0
n5,1,0.273995,1.196635,[231  59] ; [102  19],[234.96350365  55.03649635] ; [98.03649635 22.96350365],0
s4,1,0.310087,1.030307,[ 59 232] ; [30 91],[ 62.86165049 228.13834951] ; [26.13834951 94.86165049],0
p8,1,0.319358,0.991576,[165 122] ; [62 57],[160.46551724 126.53448276] ; [66.53448276 52.46551724],0
p12,1,0.326832,0.961409,[ 31 260] ; [  9 111],[ 28.32116788 262.67883212] ; [ 11.67883212 108.32116788],0
a4,1,0.357921,0.845174,[143 148] ; [66 56],[147.26150121 143.73849879] ; [61.73849879 60.26150121],0
s1,1,0.391843,0.733216,[ 15 272] ; [  4 118],[ 13.33251834 273.66748166] ; [  5.66748166 116.33251834],0
a3,1,0.412902,0.67043,[235  55] ; [103  19],[237.91262136  52.08737864] ; [100.08737864  21.91262136],0
p10,1,0.416897,0.659045,[251  39] ; [101  20],[248.36982968  41.63017032] ; [103.63017032  17.36982968],0
n6,1,0.469246,0.523751,[258  31] ; [105  16],[255.87073171  33.12926829] ; [107.12926829  13.87073171],0
a8,1,0.496987,0.461364,[ 46 208] ; [ 18 100],[ 43.69892473 210.30107527] ; [20.30107527 97.69892473],0
p1,1,0.50078,0.453282,[ 33 258] ; [ 11 110],[ 31.0776699 259.9223301] ; [ 12.9223301 108.0776699],0
s3,1,0.523127,0.407723,[215  72] ; [95 27],[217.53056235  69.46943765] ; [92.46943765 29.53056235],0
p3,1,0.59893,0.276612,[163 127] ; [72 50],[165.41262136 124.58737864] ; [69.58737864 52.41262136],0
p9,1,0.625061,0.238818,[258  31] ; [106  15],[256.57560976  32.42439024] ; [107.42439024  13.57560976],0
u2,1,0.642204,0.215872,[35 21] ; [13  6],[35.84 20.16] ; [12.16  6.84],0
v3,1,0.662916,0.19,[127 152] ; [57 62],[128.98492462 150.01507538] ; [55.01507538 63.98492462],0
a1,1,0.668738,0.183081,[ 16 276] ; [  8 114],[ 16.92753623 275.07246377] ; [  7.07246377 114.92753623],0
d2,1,0.711645,0.136639,[165 125] ; [67 55],[163.30097087 126.69902913] ; [68.69902913 53.30097087],0
s5,1,0.714112,0.134204,[126 154] ; [55 62],[127.65743073 152.34256927] ; [53.34256927 63.65743073],0
s2,1,0.787771,0.072472,[216  75] ; [89 33],[214.9031477  76.0968523] ; [90.0968523 31.9031477],0
p7,1,0.811807,0.056689,[197  83] ; [83 37],[196.  84.] ; [84. 36.],0
a5,1,0.861404,0.030481,[232  60] ; [96 26],[231.34299517  60.65700483] ; [96.65700483 25.34299517],0
u4,1,0.873348,0.025411,[ 11 281] ; [  5 117],[ 11.28502415 280.71497585] ; [  4.71497585 117.28502415],0
v1,1,0.887358,0.020064,[167 119] ; [68 50],[166.36138614 119.63861386] ; [68.63861386 49.36138614],0
n3,1,0.895243,0.017338,[40 16] ; [24  9],[40.26966292 15.73033708] ; [23.73033708  9.26966292],0
n2,1,0.913435,0.011817,[45 11] ; [27  7],[44.8 11.2] ; [27.2  6.8],0
p5,1,0.914357,0.011566,[ 47 242] ; [ 19 101],[ 46.63569682 242.36430318] ; [ 19.36430318 100.63569682],0
r3,1,0.93559,0.006531,[281  10] ; [118   4],[281.13559322   9.86440678] ; [117.86440678   4.13559322],0
p6,1,0.979556,0.000657,[134 154] ; [56 64],[134.11764706 153.88235294] ; [55.88235294 64.11764706],0
d5,1,0.995477,3.2e-05,[242  48] ; [101  20],[242.01946472  47.98053528] ; [100.98053528  20.01946472],0
s6,1,0.998834,2e-06,[242  46] ; [100  19],[242.004914  45.995086] ; [99.995086 19.004914],0
