Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.6e-05,17.661368,[ 2 16] ; [38 18],[9.72972973 8.27027027] ; [30.27027027 25.72972973],1
v4,1,0.001136,10.592341,[11  7] ; [51  4],[15.28767123  2.71232877] ; [46.71232877  8.28767123],0
p10,1,0.00947,6.731935,[ 5 13] ; [34 20],[9.75 8.25] ; [29.25 24.75],0
p9,1,0.010777,6.501672,[ 7 11] ; [39 15],[11.5  6.5] ; [34.5 19.5],0
u3,1,0.029867,4.716906,[3 8] ; [16  8],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
d2,1,0.033254,4.532664,[ 3 15] ; [25 31],[ 6.81081081 11.18918919] ; [21.18918919 34.81081081],0
n6,1,0.05337,3.732304,[ 8 10] ; [39 17],[11.43243243  6.56756757] ; [35.56756757 20.43243243],0
s4,1,0.07424,3.186692,[ 1 17] ; [14 42],[ 3.64864865 14.35135135] ; [11.35135135 44.64864865],0
d5,1,0.074806,3.174281,[9 9] ; [40 15],[12.08219178  5.91780822] ; [36.91780822 18.08219178],0
b1,1,0.078723,3.091061,[12  6] ; [24 32],[8.75675676 9.24324324] ; [27.24324324 28.75675676],0
p12,1,0.080965,3.045421,[ 2 16] ; [ 1 55],[ 0.72972973 17.27027027] ; [ 2.27027027 53.72972973],0
p4,1,0.113836,2.500136,[10  8] ; [19 36],[ 7.15068493 10.84931507] ; [21.84931507 33.15068493],0
r3,1,0.126079,2.340128,[13  5] ; [49  7],[15.08108108  2.91891892] ; [46.91891892  9.08108108],0
a1,1,0.126218,2.33841,[ 3 15] ; [ 3 53],[ 1.45945946 16.54054054] ; [ 4.54054054 51.45945946],0
v1,1,0.127491,2.322793,[ 8 10] ; [14 41],[ 5.42465753 12.57534247] ; [16.57534247 38.42465753],0
s8,1,0.133099,2.255984,[ 2 16] ; [16 40],[ 4.37837838 13.62162162] ; [13.62162162 42.37837838],0
a3,1,0.154356,2.028668,[ 7 11] ; [32 23],[9.61643836 8.38356164] ; [29.38356164 25.61643836],0
a6,1,0.177212,1.82085,[11  7] ; [24 32],[8.51351351 9.48648649] ; [26.48648649 29.51351351],0
p7,1,0.220493,1.501158,[ 7 11] ; [30 24],[9.25 8.75] ; [27.75 26.25],0
p2,1,0.228743,1.448664,[10  8] ; [39 16],[12.08219178  5.91780822] ; [36.91780822 18.08219178],0
p11,1,0.282174,1.156589,[ 8 10] ; [33 23],[9.97297297 8.02702703] ; [31.02702703 24.97297297],0
s7,1,0.285971,1.138494,[ 3 14] ; [17 38],[ 4.72222222 12.27777778] ; [15.27777778 39.72222222],0
d1,1,0.311703,1.023446,[ 5 13] ; [23 33],[ 6.81081081 11.18918919] ; [21.18918919 34.81081081],0
p6,1,0.330432,0.947205,[ 3 14] ; [16 38],[ 4.54929577 12.45070423] ; [14.45070423 39.54929577],0
v3,1,0.423092,0.641711,[ 3 15] ; [14 40],[ 4.25 13.75] ; [12.75 41.25],0
s5,1,0.45417,0.560224,[ 4 14] ; [17 37],[ 5.25 12.75] ; [15.75 38.25],0
p1,1,0.503129,0.44833,[ 1 17] ; [ 6 49],[ 1.7260274 16.2739726] ; [ 5.2739726 49.7260274],0
n2,1,0.509432,0.435233,[5 4] ; [11  5],[5.76 3.24] ; [10.24  5.76],0
b3,1,0.510501,0.433041,[3 9] ; [11 20],[3.90697674 8.09302326] ; [10.09302326 20.90697674],0
b2,1,0.510501,0.433041,[3 9] ; [11 20],[3.90697674 8.09302326] ; [10.09302326 20.90697674],0
v2,1,0.535713,0.383544,[ 5 13] ; [20 36],[ 6.08108108 11.91891892] ; [18.91891892 37.08108108],0
p3,1,0.541891,0.372046,[ 5 12] ; [21 35],[ 6.05479452 10.94520548] ; [19.94520548 36.05479452],0
a2,1,0.591574,0.287893,[ 2 16] ; [ 4 52],[ 1.45945946 16.54054054] ; [ 4.54054054 51.45945946],0
b4,1,0.595864,0.28128,[9 9] ; [32 24],[9.97297297 8.02702703] ; [31.02702703 24.97297297],0
d4,1,0.597736,0.278424,[14  4] ; [40 16],[13.13513514  4.86486486] ; [40.86486486 15.13513514],0
b5,1,0.598601,0.27711,[11  7] ; [38 18],[11.91891892  6.08108108] ; [37.08108108 18.91891892],0
d3,1,0.613631,0.254921,[12  6] ; [33 22],[11.09589041  6.90410959] ; [33.90410959 21.09589041],0
s2,1,0.66817,0.18375,[ 7 11] ; [25 31],[ 7.78378378 10.21621622] ; [24.21621622 31.78378378],0
s3,1,0.68861,0.160594,[ 6 11] ; [22 32],[ 6.70422535 10.29577465] ; [21.29577465 32.70422535],0
a4,1,0.699827,0.148652,[ 4 14] ; [15 41],[ 4.62162162 13.37837838] ; [14.37837838 41.62162162],0
p5,1,0.721817,0.126758,[ 1 17] ; [ 2 53],[ 0.73972603 17.26027397] ; [ 2.26027397 52.73972603],0
n3,1,0.733701,0.115741,[5 4] ; [10  6],[5.4 3.6] ; [9.6 6.4],0
a7,1,0.738362,0.111572,[11  7] ; [36 19],[11.5890411  6.4109589] ; [35.4109589 19.5890411],0
a8,1,0.745404,0.105433,[ 1 17] ; [ 2 51],[ 0.76056338 17.23943662] ; [ 2.23943662 50.76056338],0
p8,1,0.776935,0.080268,[ 6 12] ; [20 34],[ 6.5 11.5] ; [19.5 34.5],0
u2,1,0.833497,0.044192,[6 5] ; [14 10],[6.28571429 4.71428571] ; [13.71428571 10.28571429],0
a5,1,0.869678,0.026918,[ 7 11] ; [23 33],[ 7.2972973 10.7027027] ; [22.7027027 33.2972973],0
n1,1,0.875956,0.024366,[2 7] ; [ 4 12],[2.16 6.84] ; [ 3.84 12.16],0
s6,1,0.940421,0.005586,[ 8 10] ; [25 30],[8.1369863 9.8630137] ; [24.8630137 30.1369863],0
n4,1,0.948196,0.004221,[ 5 13] ; [16 40],[ 5.10810811 12.89189189] ; [15.89189189 40.10810811],0
s1,1,0.974165,0.001049,[ 1 17] ; [ 3 53],[ 0.97297297 17.02702703] ; [ 3.02702703 52.97297297],0
