Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4e-05,16.870152,[ 1 17] ; [21 11],[ 7.92 10.08] ; [14.08 17.92],1
d4,1,8.1e-05,15.533088,[ 6 12] ; [28  4],[12.24  5.76] ; [21.76 10.24],1
d3,1,9e-05,15.333422,[ 2 16] ; [22 10],[8.64 9.36] ; [15.36 16.64],1
d2,1,0.000565,11.887769,[ 3 15] ; [21 10],[8.81632653 9.18367347] ; [15.18367347 15.81632653],1
a4,1,0.001094,10.661768,[ 1 17] ; [16 15],[ 6.24489796 11.75510204] ; [10.75510204 20.24489796],0
v2,1,0.001094,10.661768,[ 1 16] ; [17 15],[ 6.24489796 10.75510204] ; [11.75510204 20.24489796],0
a7,1,0.003216,8.680556,[ 4 14] ; [21 11],[9. 9.] ; [16. 16.],0
r3,1,0.004249,8.174173,[ 5 12] ; [23  9],[9.71428571 7.28571429] ; [18.28571429 13.71428571],0
a3,1,0.013141,6.150003,[ 6 11] ; [23  9],[10.06122449  6.93877551] ; [18.93877551 13.06122449],0
a5,1,0.018422,5.555556,[ 5 13] ; [20 12],[9. 9.] ; [16. 16.],0
n5,1,0.01976,5.432937,[15  3] ; [16 16],[11.16  6.84] ; [19.84 12.16],0
r4,1,0.022002,5.245644,[ 1 17] ; [11 21],[ 4.32 13.68] ; [ 7.68 24.32],0
p11,1,0.033576,4.516169,[ 4 14] ; [17 15],[ 7.56 10.44] ; [13.44 18.56],0
p2,1,0.052317,3.765597,[ 3 15] ; [14 18],[ 6.12 11.88] ; [10.88 21.12],0
b4,1,0.073254,3.208556,[9 9] ; [24  8],[11.88  6.12] ; [21.12 10.88],0
a6,1,0.083069,3.00381,[ 5 13] ; [17 15],[ 7.92 10.08] ; [14.08 17.92],0
p4,1,0.085829,2.950918,[ 1 17] ; [ 8 24],[ 3.24 14.76] ; [ 5.76 26.24],0
p1,1,0.088425,2.902819,[ 5 13] ; [ 3 29],[ 2.88 15.12] ; [ 5.12 26.88],0
s1,1,0.090231,2.870245,[ 3 15] ; [ 1 31],[ 1.44 16.56] ; [ 2.56 29.44],0
b3,1,0.093373,2.815243,[8 5] ; [ 6 13],[5.6875 7.3125] ; [ 8.3125 10.6875],0
b2,1,0.093373,2.815243,[8 5] ; [ 6 13],[5.6875 7.3125] ; [ 8.3125 10.6875],0
s5,1,0.120085,2.416213,[ 1 17] ; [ 7 24],[ 2.93877551 15.06122449] ; [ 5.06122449 25.93877551],0
r2,1,0.13057,2.285714,[ 8 10] ; [20 10],[10.5  7.5] ; [17.5 12.5],0
s3,1,0.139983,2.178151,[ 3 15] ; [11 19],[ 5.25 12.75] ; [ 8.75 21.25],0
u2,1,0.148795,2.084559,[ 1 11] ; [3 6],[2.28571429 9.71428571] ; [1.71428571 7.28571429],0
s6,1,0.180693,1.791915,[ 3 15] ; [11 21],[ 5.04 12.96] ; [ 8.96 23.04],0
r1,1,0.185804,1.750579,[ 5 13] ; [15 17],[ 7.2 10.8] ; [12.8 19.2],0
a1,1,0.208872,1.579227,[ 4 14] ; [ 3 29],[ 2.52 15.48] ; [ 4.48 27.52],0
n6,1,0.23386,1.417227,[ 6 11] ; [17 15],[7.97959184 9.02040816] ; [15.02040816 16.97959184],0
b1,1,0.238593,1.388889,[ 7 11] ; [18 14],[9. 9.] ; [16. 16.],0
n3,1,0.256299,1.288636,[3 7] ; [6 5],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
b5,1,0.264048,1.247406,[ 5 13] ; [14 18],[ 6.84 11.16] ; [12.16 19.84],0
a2,1,0.292928,1.106113,[ 1 17] ; [ 5 27],[ 2.16 15.84] ; [ 3.84 28.16],0
a8,1,0.412712,0.670976,[ 1 17] ; [ 4 27],[ 1.83673469 16.16326531] ; [ 3.16326531 27.83673469],0
s8,1,0.432058,0.617284,[ 1 17] ; [ 4 28],[ 1.8 16.2] ; [ 3.2 28.8],0
s4,1,0.446305,0.580019,[ 3 15] ; [ 3 29],[ 2.16 15.84] ; [ 3.84 28.16],0
s2,1,0.459785,0.546419,[ 3 15] ; [ 8 23],[ 4.04081633 13.95918367] ; [ 6.95918367 24.04081633],0
p9,1,0.589456,0.291195,[ 6 11] ; [13 17],[ 6.87234043 10.12765957] ; [12.12765957 17.87234043],0
n2,1,0.63904,0.22,[4 6] ; [6 6],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
p3,1,0.658827,0.194952,[ 2 16] ; [ 5 27],[ 2.52 15.48] ; [ 4.48 27.52],0
p12,1,0.673766,0.177228,[ 1 17] ; [ 1 31],[ 0.72 17.28] ; [ 1.28 30.72],0
n1,1,0.695895,0.152778,[5 5] ; [5 7],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
n4,1,0.699676,0.14881,[12  6] ; [23  9],[12.6  5.4] ; [22.4  9.6],0
s7,1,0.760907,0.092593,[ 4 14] ; [ 5 22],[ 3.6 14.4] ; [ 5.4 21.6],0
v1,1,0.778505,0.079111,[ 4 14] ; [ 8 23],[ 4.40816327 13.59183673] ; [ 7.59183673 23.40816327],0
u3,1,0.83008,0.046053,[ 1 11] ; [1 8],[ 1.14285714 10.85714286] ; [0.85714286 8.14285714],0
p10,1,0.831013,0.045541,[ 6 11] ; [10 21],[ 5.66666667 11.33333333] ; [10.33333333 20.66666667],0
p8,1,0.85363,0.034036,[ 2 16] ; [ 4 27],[ 2.20408163 15.79591837] ; [ 3.79591837 27.20408163],0
v3,1,0.977304,0.000809,[ 4 14] ; [ 7 25],[ 3.96 14.04] ; [ 7.04 24.96],0
