Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.725595,[134  16] ; [5 6],[129.50310559  20.49689441] ; [9.49689441 1.50310559],1
r1,1,0.004131,8.225209,[114  36] ; [4 7],[109.9378882  40.0621118] ; [8.0621118 2.9378882],0
n4,1,0.010081,6.62051,[99 51] ; [3 8],[95.0310559 54.9689441] ; [6.9689441 4.0310559],0
n2,1,0.015084,5.906608,[42 11] ; [1 3],[39.98245614 13.01754386] ; [3.01754386 0.98245614],0
n6,1,0.019024,5.499288,[115  34] ; [5 6],[111.75  37.25] ; [8.25 2.75],0
b1,1,0.024385,5.067071,[70 80] ; [9 2],[73.60248447 76.39751553] ; [5.39751553 5.60248447],0
s8,1,0.042205,4.126974,[59 89] ; [ 1 10],[55.8490566 92.1509434] ; [4.1509434 6.8490566],0
r3,1,0.061654,3.492319,[136  14] ; [8 3],[134.16149068  15.83850932] ; [9.83850932 1.16149068],0
d1,1,0.113369,2.506613,[78 72] ; [3 8],[75.46583851 74.53416149] ; [5.53416149 5.46583851],0
a5,1,0.139709,2.181161,[101  49] ; [5 6],[98.75776398 51.24223602] ; [7.24223602 3.75776398],0
s5,1,0.146787,2.105329,[41 98] ; [ 1 10],[ 38.92 100.08] ; [3.08 7.92],0
a1,1,0.16044,1.97007,[ 10 140] ; [2 9],[ 11.18012422 138.81987578] ; [ 0.81987578 10.18012422],0
u2,1,0.167275,1.907195,[28 24] ; [5 1],[29.5862069 22.4137931] ; [3.4137931 2.5862069],0
a8,1,0.177195,1.820997,[ 11 132] ; [2 8],[ 12.1503268 130.8496732] ; [0.8496732 9.1503268],0
a3,1,0.190869,1.7109,[97 52] ; [5 6],[94.9875 54.0125] ; [7.0125 3.9875],0
s2,1,0.198508,1.653319,[70 78] ; [3 8],[67.94968553 80.05031447] ; [5.05031447 5.94968553],0
d2,1,0.206504,1.59577,[69 78] ; [3 8],[66.98734177 80.01265823] ; [5.01265823 5.98734177],0
v3,1,0.216368,1.528302,[51 88] ; [2 9],[49.11333333 89.88666667] ; [3.88666667 7.11333333],0
p5,1,0.216562,1.527005,[ 11 135] ; [2 9],[ 12.08917197 133.91082803] ; [ 0.91082803 10.08917197],0
d5,1,0.23113,1.433892,[106  42] ; [6 5],[104.25157233  43.74842767] ; [7.74842767 3.25157233],0
a6,1,0.252674,1.308458,[93 55] ; [5 6],[91.22012579 56.77987421] ; [6.77987421 4.22012579],0
p9,1,0.290484,1.117378,[97 49] ; [5 5],[95.46153846 50.53846154] ; [6.53846154 3.46153846],0
p11,1,0.298937,1.078929,[92 58] ; [5 6],[90.37267081 59.62732919] ; [6.62732919 4.37267081],0
v1,1,0.312064,1.021919,[63 84] ; [3 8],[61.40506329 85.59493671] ; [4.59493671 6.40506329],0
p6,1,0.323776,0.973633,[ 35 114] ; [1 9],[ 33.73584906 115.26415094] ; [2.26415094 7.73584906],0
s4,1,0.344081,0.895166,[ 31 117] ; [ 1 10],[ 29.78616352 118.21383648] ; [2.21383648 8.78616352],0
s6,1,0.348879,0.877531,[88 59] ; [5 6],[86.52531646 60.47468354] ; [6.47468354 4.52531646],0
p3,1,0.376354,0.782576,[50 99] ; [2 8],[ 48.72955975 100.27044025] ; [3.27044025 6.72955975],0
d3,1,0.387712,0.746104,[87 61] ; [5 6],[85.63522013 62.36477987] ; [6.36477987 4.63522013],0
d4,1,0.405856,0.690908,[111  37] ; [7 4],[109.83647799  38.16352201] ; [8.16352201 2.83647799],0
u3,1,0.436779,0.604731,[35 18] ; [3 3],[34.13559322 18.86440678] ; [3.86440678 2.13559322],0
n3,1,0.462433,0.54,[34 16] ; [2 2],[33.33333333 16.66666667] ; [2.66666667 1.33333333],0
b4,1,0.469727,0.522618,[85 65] ; [5 6],[83.85093168 66.14906832] ; [6.14906832 4.85093168],0
b3,1,0.483505,0.490947,[34 61] ; [3 3],[34.8019802 60.1980198] ; [2.1980198 3.8019802],0
b2,1,0.483505,0.490947,[34 61] ; [3 3],[34.8019802 60.1980198] ; [2.1980198 3.8019802],0
v2,1,0.498923,0.457227,[72 69] ; [4 6],[70.96688742 70.03311258] ; [5.03311258 4.96688742],0
a7,1,0.5299,0.394584,[96 54] ; [6 5],[95.0310559 54.9689441] ; [6.9689441 4.0310559],0
a4,1,0.550753,0.35597,[68 81] ; [4 7],[67.05 81.95] ; [4.95 6.05],0
p10,1,0.564143,0.332581,[93 54] ; [6 5],[92.10759494 54.89240506] ; [6.89240506 4.10759494],0
p1,1,0.758385,0.094619,[ 10 140] ; [ 1 10],[ 10.2484472 139.7515528] ; [ 0.7515528 10.2484472],0
p4,1,0.83732,0.042157,[49 98] ; [4 7],[49.31012658 97.68987342] ; [3.68987342 7.31012658],0
s1,1,0.840775,0.040362,[ 11 137] ; [ 1 10],[ 11.16981132 136.83018868] ; [ 0.83018868 10.16981132],0
p8,1,0.846903,0.037276,[ 37 113] ; [3 8],[ 37.26708075 112.73291925] ; [2.73291925 8.26708075],0
s3,1,0.889714,0.019228,[70 77] ; [5 6],[69.77848101 77.22151899] ; [5.22151899 5.77848101],0
p7,1,0.899402,0.015981,[50 95] ; [4 7],[50.19230769 94.80769231] ; [3.80769231 7.19230769],0
b5,1,0.914006,0.011661,[93 57] ; [7 4],[93.16770186 56.83229814] ; [6.83229814 4.16770186],0
n5,1,0.921727,0.009655,[97 52] ; [7 4],[96.85 52.15] ; [7.15 3.85],0
