Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000101,15.114833,[15 80] ; [12 10],[21.92307692 73.07692308] ; [ 5.07692308 16.92307692],1
s2,1,0.000157,14.291068,[20 80] ; [14 10],[27.41935484 72.58064516] ; [ 6.58064516 17.41935484],1
s6,1,0.000279,13.209036,[31 70] ; [17  7],[38.784 62.216] ; [ 9.216 14.784],1
s3,1,0.001219,10.460908,[31 69] ; [16  8],[37.90322581 62.09677419] ; [ 9.09677419 14.90322581],0
r4,1,0.00603,7.541323,[58 43] ; [21  3],[63.832 37.168] ; [15.168  8.832],0
r3,1,0.008673,6.888889,[70 30] ; [23  1],[75. 25.] ; [18.  6.],0
p10,1,0.017664,5.629206,[22 78] ; [11 13],[26.61290323 73.38709677] ; [ 6.38709677 17.61290323],0
u3,1,0.019517,5.454545,[21 28] ; [9 2],[24.5 24.5] ; [5.5 5.5],0
p2,1,0.062837,3.460868,[46 55] ; [16  8],[50.096 50.904] ; [11.904 12.096],0
v4,1,0.063041,3.455516,[74 26] ; [22  2],[77.41935484 22.58064516] ; [18.58064516  5.41935484],0
p11,1,0.078496,3.095771,[43 58] ; [15  9],[46.864 54.136] ; [11.136 12.864],0
a4,1,0.082376,3.017396,[35 65] ; [ 4 20],[31.4516129 68.5483871] ; [ 7.5483871 16.4516129],0
u2,1,0.082924,3.006642,[21 27] ; [8 3],[23.59322034 24.40677966] ; [5.40677966 5.59322034],0
d5,1,0.08734,2.922721,[66 35] ; [20  4],[69.488 31.512] ; [16.512  7.488],0
d1,1,0.095909,2.772279,[40 61] ; [14 10],[43.632 57.368] ; [10.368 13.632],0
v3,1,0.10857,2.574917,[18 80] ; [ 8 16],[20.8852459 77.1147541] ; [ 5.1147541 18.8852459],0
p4,1,0.15498,2.022535,[34 65] ; [12 12],[37.02439024 61.97560976] ; [ 8.97560976 15.02439024],0
n2,1,0.173412,1.853198,[21 22] ; [6 2],[22.76470588 20.23529412] ; [4.23529412 3.76470588],0
r2,1,0.173466,1.852733,[79 20] ; [22  2],[81.29268293 17.70731707] ; [19.70731707  4.29268293],0
n5,1,0.208865,1.579273,[53 48] ; [16  8],[55.752 45.248] ; [13.248 10.752],0
b1,1,0.241543,1.371566,[54 47] ; [16  8],[56.56 44.44] ; [13.44 10.56],0
r1,1,0.280837,1.163036,[64 37] ; [18  6],[66.256 34.744] ; [15.744  8.256],0
n6,1,0.28516,1.142332,[59 41] ; [17  7],[61.29032258 38.70967742] ; [14.70967742  9.29032258],0
p6,1,0.299993,1.074225,[16 84] ; [ 6 18],[17.74193548 82.25806452] ; [ 4.25806452 19.74193548],0
n3,1,0.321311,0.983602,[21 20] ; [5 2],[22.20833333 18.79166667] ; [3.79166667 3.20833333],0
n1,1,0.333416,0.935584,[13 30] ; [3 3],[14.04081633 28.95918367] ; [1.95918367 4.04081633],0
v2,1,0.35876,0.842229,[29 70] ; [ 9 14],[30.83606557 68.16393443] ; [ 7.16393443 15.83606557],0
p1,1,0.366736,0.814696,[10 90] ; [ 1 23],[ 8.87096774 91.12903226] ; [ 2.12903226 21.87096774],0
d3,1,0.387166,0.747823,[49 52] ; [14 10],[50.904 50.096] ; [12.096 11.904],0
p8,1,0.417287,0.657944,[29 71] ; [ 9 15],[30.64516129 69.35483871] ; [ 7.35483871 16.64516129],0
s4,1,0.429677,0.623697,[15 85] ; [ 5 18],[16.2601626 83.7398374] ; [ 3.7398374 19.2601626],0
a6,1,0.475436,0.509314,[55 46] ; [15  9],[56.56 44.44] ; [13.44 10.56],0
d4,1,0.486059,0.485238,[67 32] ; [18  6],[68.41463415 30.58536585] ; [16.58536585  7.41463415],0
b3,1,0.50119,0.452417,[18 45] ; [ 3 12],[16.96153846 46.03846154] ; [ 4.03846154 10.96153846],0
b2,1,0.50119,0.452417,[18 45] ; [ 3 12],[16.96153846 46.03846154] ; [ 4.03846154 10.96153846],0
a8,1,0.501874,0.450971,[ 8 86] ; [ 1 22],[ 7.23076923 86.76923077] ; [ 1.76923077 21.23076923],0
b5,1,0.558454,0.342389,[53 48] ; [11 13],[51.712 49.288] ; [12.288 11.712],0
u1,1,0.591606,0.287843,[ 9 92] ; [ 3 21],[ 9.696 91.304] ; [ 2.304 21.696],0
p7,1,0.601991,0.272003,[40 60] ; [11 13],[41.12903226 58.87096774] ; [ 9.87096774 14.12903226],0
b4,1,0.631179,0.230465,[62 39] ; [16  8],[63.024 37.976] ; [14.976  9.024],0
a5,1,0.681378,0.168578,[51 50] ; [11 13],[50.096 50.904] ; [11.904 12.096],0
a7,1,0.687441,0.161869,[58 42] ; [15  9],[58.87096774 41.12903226] ; [14.12903226  9.87096774],0
s5,1,0.712837,0.13546,[17 84] ; [ 3 19],[16.42276423 84.57723577] ; [ 3.57723577 18.42276423],0
p3,1,0.75258,0.099376,[26 74] ; [ 7 17],[26.61290323 73.38709677] ; [ 6.38709677 17.61290323],0
a2,1,0.822243,0.050473,[11 90] ; [ 3 21],[11.312 89.688] ; [ 2.688 21.312],0
d2,1,0.82419,0.049355,[47 52] ; [12 12],[47.48780488 51.51219512] ; [11.51219512 12.48780488],0
a3,1,0.848632,0.036429,[52 48] ; [13 11],[52.41935484 47.58064516] ; [12.58064516 11.41935484],0
n4,1,0.923435,0.009237,[60 41] ; [14 10],[59.792 41.208] ; [14.208  9.792],0
a1,1,0.928464,0.00806,[ 9 92] ; [ 2 22],[ 8.888 92.112] ; [ 2.112 21.888],0
