Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000211,13.732977,[150   9] ; [7 4],[146.84117647  12.15882353] ; [10.15882353  0.84117647],1
p7,1,0.001858,9.685213,[127  29] ; [4 6],[123.10843373  32.89156627] ; [7.89156627 2.10843373],0
s1,1,0.007146,7.235885,[  4 152] ; [2 9],[  5.60479042 150.39520958] ; [ 0.39520958 10.60479042],0
b1,1,0.00872,6.879349,[66 94] ; [9 2],[70.1754386 89.8245614] ; [4.8245614 6.1754386],0
p11,1,0.009499,6.726568,[127  33] ; [5 6],[123.50877193  36.49122807] ; [8.49122807 2.50877193],0
p4,1,0.011828,6.33641,[115  44] ; [4 7],[111.3  47.7] ; [7.7 3.3],0
a5,1,0.0213,5.302106,[141  19] ; [7 4],[138.47953216  21.52046784] ; [9.52046784 1.47953216],0
p2,1,0.034843,4.452841,[139  21] ; [7 4],[136.60818713  23.39181287] ; [9.39181287 1.60818713],0
p8,1,0.049179,3.869219,[104  54] ; [4 7],[100.9704142  57.0295858] ; [7.0295858 3.9704142],0
b3,1,0.11003,2.553794,[50 50] ; [2 7],[47.70642202 52.29357798] ; [4.29357798 4.70642202],0
b2,1,0.11003,2.553794,[50 50] ; [2 7],[47.70642202 52.29357798] ; [4.29357798 4.70642202],0
p6,1,0.128635,2.3089,[87 72] ; [3 7],[84.67455621 74.32544379] ; [5.32544379 4.67455621],0
s6,1,0.176931,1.823216,[147  11] ; [9 2],[145.84615385  12.15384615] ; [10.15384615  0.84615385],0
s4,1,0.220046,1.50407,[ 44 115] ; [1 9],[ 42.33727811 116.66272189] ; [2.66272189 7.33727811],0
d1,1,0.221609,1.493921,[115  45] ; [6 5],[113.21637427  46.78362573] ; [7.78362573 3.21637427],0
a7,1,0.262126,1.257494,[113  47] ; [6 5],[111.34502924  48.65497076] ; [7.65497076 3.34502924],0
p3,1,0.300476,1.072079,[98 62] ; [5 6],[96.37426901 63.62573099] ; [6.62573099 4.37426901],0
n5,1,0.323346,0.975362,[133  25] ; [8 3],[131.82248521  26.17751479] ; [9.17751479 1.82248521],0
s2,1,0.357545,0.846499,[132  26] ; [8 3],[130.88757396  27.11242604] ; [9.11242604 1.88757396],0
r4,1,0.387167,0.74782,[154   6] ; [10  1],[153.4502924   6.5497076] ; [10.5497076  0.4502924],0
n4,1,0.388767,0.742794,[127  31] ; [10  1],[128.08284024  29.91715976] ; [8.91715976 2.08284024],0
n6,1,0.407481,0.686138,[141  16] ; [9 2],[140.17857143  16.82142857] ; [9.82142857 1.17857143],0
u1,1,0.433997,0.612102,[ 41 119] ; [4 7],[ 42.10526316 117.89473684] ; [2.89473684 8.10526316],0
d3,1,0.433997,0.612102,[119  41] ; [7 4],[117.89473684  42.10526316] ; [8.10526316 2.89473684],0
u3,1,0.486339,0.484615,[19  7] ; [1 1],[18.57142857  7.42857143] ; [1.42857143 0.57142857],0
d5,1,0.494578,0.466552,[141  18] ; [9 2],[140.29411765  18.70588235] ; [9.70588235 1.29411765],0
d4,1,0.494578,0.466552,[141  18] ; [9 2],[140.29411765  18.70588235] ; [9.70588235 1.29411765],0
s7,1,0.551599,0.354461,[128  24] ; [10  1],[128.68711656  23.31288344] ; [9.31288344 1.68711656],0
a8,1,0.625667,0.237983,[ 23 123] ; [1 9],[ 22.46153846 123.53846154] ; [1.53846154 8.46153846],0
p5,1,0.638899,0.220185,[ 34 126] ; [3 8],[ 34.61988304 125.38011696] ; [2.38011696 8.61988304],0
v3,1,0.648247,0.208118,[82 74] ; [5 6],[81.26946108 74.73053892] ; [5.73053892 5.26946108],0
a2,1,0.657189,0.196956,[ 48 112] ; [4 7],[ 48.65497076 111.34502924] ; [3.34502924 7.65497076],0
n1,1,0.662263,0.190786,[22 19] ; [2 1],[22.36363636 18.63636364] ; [1.63636364 1.36363636],0
b4,1,0.69009,0.158988,[92 68] ; [7 4],[92.63157895 67.36842105] ; [6.36842105 4.63157895],0
r1,1,0.770801,0.084871,[139  19] ; [10  1],[139.30177515  18.69822485] ; [9.69822485 1.30177515],0
a6,1,0.772569,0.08353,[109  50] ; [8 3],[109.42941176  49.57058824] ; [7.57058824 3.42941176],0
n3,1,0.807097,0.059621,[30 11] ; [2 1],[29.81818182 11.18181818] ; [2.18181818 0.81818182],0
s3,1,0.822759,0.050175,[124  33] ; [9 2],[124.29166667  32.70833333] ; [8.70833333 2.29166667],0
a3,1,0.829184,0.046547,[134  25] ; [9 2],[133.74705882  25.25294118] ; [9.25294118 1.74705882],0
a4,1,0.832467,0.044749,[82 78] ; [6 5],[82.33918129 77.66081871] ; [5.66081871 5.33918129],0
d2,1,0.84803,0.036723,[92 68] ; [6 5],[91.69590643 68.30409357] ; [6.30409357 4.69590643],0
v1,1,0.896463,0.016934,[112  46] ; [8 3],[112.18934911  45.81065089] ; [7.81065089 3.18934911],0
b5,1,0.912248,0.012145,[90 70] ; [6 5],[89.8245614 70.1754386] ; [6.1754386 4.8245614],0
v2,1,0.990714,0.000135,[99 57] ; [7 4],[99.01796407 56.98203593] ; [6.98203593 4.01796407],0
