Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000159,14.265706,[ 5 29] ; [14  8],[11.53571429 22.46428571] ; [ 7.46428571 14.53571429],1
p11,1,0.000683,11.534812,[ 4 31] ; [12 11],[ 9.65517241 25.34482759] ; [ 6.34482759 16.65517241],1
s2,1,0.012743,6.204496,[ 3 32] ; [ 8 15],[ 6.63793103 28.36206897] ; [ 4.36206897 18.63793103],0
p10,1,0.013073,6.159207,[ 7 27] ; [12 11],[11.33333333 22.66666667] ; [ 7.66666667 15.33333333],0
p9,1,0.015122,5.902226,[ 6 26] ; [11 11],[10.07407407 21.92592593] ; [ 6.92592593 15.07407407],0
n5,1,0.02157,5.280105,[27  8] ; [11 12],[22.93103448 12.06896552] ; [15.06896552  7.93103448],0
d4,1,0.068663,3.314686,[21 14] ; [19  4],[24.13793103 10.86206897] ; [15.86206897  7.13793103],0
n4,1,0.069955,3.284083,[25 10] ; [11 12],[21.72413793 13.27586207] ; [14.27586207  8.72413793],0
n2,1,0.081651,3.031732,[ 7 11] ; [11  5],[9.52941176 8.47058824] ; [8.47058824 7.52941176],0
p7,1,0.089694,2.879855,[ 4 29] ; [ 7 16],[ 6.48214286 26.51785714] ; [ 4.51785714 18.48214286],0
u1,1,0.134231,2.24288,[ 1 34] ; [ 3 20],[ 2.4137931 32.5862069] ; [ 1.5862069 21.4137931],0
n3,1,0.134648,2.238077,[ 5 13] ; [8 7],[ 7.09090909 10.90909091] ; [5.90909091 9.09090909],0
s7,1,0.142612,2.149548,[ 5 28] ; [ 7 15],[ 7.2 25.8] ; [ 4.8 17.2],0
b5,1,0.146583,2.107453,[13 22] ; [13 10],[15.68965517 19.31034483] ; [10.31034483 12.68965517],0
a1,1,0.162507,1.950745,[ 8 27] ; [ 2 21],[ 6.03448276 28.96551724] ; [ 3.96551724 19.03448276],0
p4,1,0.163085,1.945388,[ 4 30] ; [ 6 17],[ 5.96491228 28.03508772] ; [ 4.03508772 18.96491228],0
u3,1,0.17595,1.831502,[ 2 11] ; [3 4],[3.25 9.75] ; [1.75 5.25],0
n6,1,0.205397,1.603581,[12 22] ; [12 11],[14.31578947 19.68421053] ; [ 9.68421053 13.31578947],0
b1,1,0.217214,1.522685,[21 14] ; [10 13],[18.70689655 16.29310345] ; [12.29310345 10.70689655],0
d1,1,0.217214,1.522685,[14 21] ; [13 10],[16.29310345 18.70689655] ; [10.70689655 12.29310345],0
b2,1,0.237188,1.39723,[13 14] ; [3 8],[11.36842105 15.63157895] ; [4.63157895 6.36842105],0
b3,1,0.237188,1.39723,[13 14] ; [3 8],[11.36842105 15.63157895] ; [4.63157895 6.36842105],0
s6,1,0.26208,1.257734,[ 5 30] ; [ 6 17],[ 6.63793103 28.36206897] ; [ 4.36206897 18.63793103],0
n1,1,0.267511,1.229464,[9 9] ; [ 5 11],[ 7.41176471 10.58823529] ; [6.58823529 9.41176471],0
p8,1,0.285434,1.141031,[ 5 29] ; [ 6 17],[ 6.56140351 27.43859649] ; [ 4.43859649 18.56140351],0
v4,1,0.302445,1.063382,[12 23] ; [11 12],[13.87931034 21.12068966] ; [ 9.12068966 13.87931034],0
s5,1,0.303346,1.059426,[ 2 33] ; [ 3 19],[ 3.07017544 31.92982456] ; [ 1.92982456 20.07017544],0
d3,1,0.30832,1.037859,[15 20] ; [13 10],[16.89655172 18.10344828] ; [11.10344828 11.89655172],0
v1,1,0.312926,1.018288,[ 7 28] ; [ 7 15],[ 8.59649123 26.40350877] ; [ 5.40350877 16.59649123],0
s8,1,0.330629,0.946434,[ 2 33] ; [ 3 20],[ 3.01724138 31.98275862] ; [ 1.98275862 21.01724138],0
d2,1,0.357069,0.848175,[18 16] ; [15  8],[19.68421053 14.31578947] ; [13.31578947  9.68421053],0
a6,1,0.361785,0.831689,[21 14] ; [11 12],[19.31034483 15.68965517] ; [12.68965517 10.31034483],0
r1,1,0.419289,0.652307,[11 24] ; [ 5 18],[ 9.65517241 25.34482759] ; [ 6.34482759 16.65517241],0
a7,1,0.420668,0.648447,[16 19] ; [13 10],[17.5 17.5] ; [11.5 11.5],0
d5,1,0.458406,0.549785,[21 14] ; [16  7],[22.32758621 12.67241379] ; [14.67241379  8.32758621],0
b4,1,0.479416,0.500191,[18 17] ; [14  9],[19.31034483 15.68965517] ; [12.68965517 10.31034483],0
a4,1,0.480947,0.496715,[15 19] ; [ 8 15],[13.71929825 20.28070175] ; [ 9.28070175 13.71929825],0
s3,1,0.500969,0.452883,[ 9 25] ; [ 8 15],[10.14035088 23.85964912] ; [ 6.85964912 16.14035088],0
s4,1,0.519439,0.415006,[ 4 31] ; [ 4 19],[ 4.82758621 30.17241379] ; [ 3.17241379 19.82758621],0
r2,1,0.655306,0.199275,[20 13] ; [12 10],[19.2 13.8] ; [12.8  9.2],0
p1,1,0.673168,0.177919,[ 6 29] ; [ 3 20],[ 5.43103448 29.56896552] ; [ 3.56896552 19.43103448],0
a2,1,0.673168,0.177919,[ 6 29] ; [ 3 20],[ 5.43103448 29.56896552] ; [ 3.56896552 19.43103448],0
s1,1,0.673168,0.177919,[ 6 29] ; [ 3 20],[ 5.43103448 29.56896552] ; [ 3.56896552 19.43103448],0
p3,1,0.694534,0.154221,[ 5 30] ; [ 4 18],[ 5.52631579 29.47368421] ; [ 3.47368421 18.52631579],0
a3,1,0.702601,0.14578,[22 12] ; [16  7],[22.66666667 11.33333333] ; [15.33333333  7.66666667],0
a8,1,0.706412,0.141887,[ 2 31] ; [ 2 21],[ 2.35714286 30.64285714] ; [ 1.64285714 21.35714286],0
v3,1,0.729283,0.119771,[ 9 26] ; [ 5 18],[ 8.44827586 26.55172414] ; [ 5.55172414 17.44827586],0
a5,1,0.778022,0.079467,[20 15] ; [14  9],[20.51724138 14.48275862] ; [13.48275862  9.51724138],0
u2,1,0.786648,0.07326,[ 3 10] ; [2 5],[3.25 9.75] ; [1.75 5.25],0
