Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.246937,[26  9] ; [ 6 28],[16.23188406 18.76811594] ; [15.76811594 18.23188406],1
p6,1,0.001148,10.572409,[17 18] ; [ 4 29],[10.80882353 24.19117647] ; [10.19117647 22.80882353],0
p7,1,0.004632,8.017614,[25  9] ; [12 19],[19.35384615 14.64615385] ; [17.64615385 13.35384615],0
d3,1,0.007679,7.106923,[29  6] ; [18 16],[23.84057971 11.15942029] ; [23.15942029 10.84057971],0
v3,1,0.021948,5.249926,[14 20] ; [ 5 27],[ 9.78787879 24.21212121] ; [ 9.21212121 22.78787879],0
a5,1,0.034838,4.453109,[27  8] ; [18 16],[22.82608696 12.17391304] ; [22.17391304 11.82608696],0
d1,1,0.040504,4.196645,[24 11] ; [15 19],[19.7826087 15.2173913] ; [19.2173913 14.7826087],0
p1,1,0.081266,3.039392,[ 7 27] ; [ 2 31],[ 4.56716418 29.43283582] ; [ 4.43283582 28.56716418],0
u2,1,0.084978,2.967033,[8 4] ; [ 5 10],[5.77777778 6.22222222] ; [7.22222222 7.77777778],0
p8,1,0.086212,2.943723,[20 15] ; [12 21],[16.47058824 18.52941176] ; [15.52941176 17.47058824],0
b1,1,0.129691,2.296194,[13 22] ; [ 7 27],[10.14492754 24.85507246] ; [ 9.85507246 24.14492754],0
s6,1,0.156301,2.009658,[32  3] ; [27  7],[29.92753623  5.07246377] ; [29.07246377  4.92753623],0
p12,1,0.17397,1.848395,[ 4 31] ; [ 1 33],[ 2.53623188 32.46376812] ; [ 2.46376812 31.53623188],0
d2,1,0.176492,1.826917,[18 17] ; [12 22],[15.2173913 19.7826087] ; [14.7826087 19.2173913],0
s7,1,0.179869,1.798703,[17 14] ; [13 21],[14.30769231 16.69230769] ; [15.69230769 18.30769231],0
u3,1,0.246671,1.342059,[9 3] ; [8 7],[7.55555556 4.44444444] ; [9.44444444 5.55555556],0
a4,1,0.255559,1.292657,[16 19] ; [11 23],[13.69565217 21.30434783] ; [13.30434783 20.69565217],0
r2,1,0.331766,0.941991,[32  3] ; [32  1],[32.94117647  2.05882353] ; [31.05882353  1.94117647],0
d5,1,0.347658,0.881989,[29  6] ; [25  9],[27.39130435  7.60869565] ; [26.60869565  7.39130435],0
v1,1,0.375675,0.784808,[18 17] ; [13 19],[16.19402985 18.80597015] ; [14.80597015 17.19402985],0
a7,1,0.387247,0.747569,[26  9] ; [22 12],[24.34782609 10.65217391] ; [23.65217391 10.34782609],0
s8,1,0.393239,0.728904,[18 17] ; [14 20],[16.23188406 18.76811594] ; [15.76811594 18.23188406],0
p2,1,0.486698,0.483817,[27  8] ; [23 10],[25.73529412  9.26470588] ; [24.26470588  8.73529412],0
a3,1,0.490063,0.476387,[23 12] ; [19 14],[21.61764706 13.38235294] ; [20.38235294 12.61764706],0
s4,1,0.519863,0.414166,[15 20] ; [12 22],[13.69565217 21.30434783] ; [13.30434783 20.69565217],0
n3,1,0.530236,0.393939,[10  6] ; [5 5],[9.23076923 6.76923077] ; [5.76923077 4.23076923],0
v4,1,0.568983,0.324387,[33  2] ; [29  3],[32.3880597  2.6119403] ; [29.6119403  2.3880597],0
n6,1,0.582493,0.302222,[24 10] ; [26  8],[25.  9.] ; [25.  9.],0
p9,1,0.600165,0.274747,[28  7] ; [28  5],[28.82352941  6.17647059] ; [27.17647059  5.82352941],0
b3,1,0.637809,0.22162,[ 7 12] ; [ 8 10],[ 7.7027027 11.2972973] ; [ 7.2972973 10.7027027],0
