Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.012242,6.275445,[ 6 19] ; [8 4],[ 9.45945946 15.54054054] ; [4.54054054 7.45945946],0
p8,1,0.018242,5.572755,[16  8] ; [3 9],[12.66666667 11.33333333] ; [6.33333333 5.66666667],0
d1,1,0.019715,5.436944,[ 5 20] ; [7 5],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
d3,1,0.04044,4.199313,[12 13] ; [10  2],[14.86486486 10.13513514] ; [7.13513514 4.86486486],0
a5,1,0.046313,3.970159,[17  8] ; [4 8],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
s3,1,0.057975,3.59439,[13 12] ; [2 9],[10.41666667 14.58333333] ; [4.58333333 6.41666667],0
n6,1,0.076075,3.146827,[16  9] ; [11  1],[18.24324324  6.75675676] ; [8.75675676 3.24324324],0
d4,1,0.116248,2.467156,[17  8] ; [11  1],[18.91891892  6.08108108] ; [9.08108108 2.91891892],0
b1,1,0.126699,2.332495,[17  8] ; [5 7],[14.86486486 10.13513514] ; [7.13513514 4.86486486],0
p3,1,0.126699,2.332495,[17  8] ; [5 7],[14.86486486 10.13513514] ; [7.13513514 4.86486486],0
a7,1,0.12871,2.307992,[10 15] ; [8 4],[12.16216216 12.83783784] ; [5.83783784 6.16216216],0
u3,1,0.149073,2.081713,[7 5] ; [1 4],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
p6,1,0.155808,2.014444,[10 15] ; [ 2 10],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
d5,1,0.155808,2.014444,[15 10] ; [10  2],[16.89189189  8.10810811] ; [8.10810811 3.89189189],0
s2,1,0.245237,1.350234,[12 13] ; [3 8],[10.41666667 14.58333333] ; [4.58333333 6.41666667],0
p2,1,0.254698,1.297349,[19  6] ; [11  1],[20.27027027  4.72972973] ; [9.72972973 2.27027027],0
v1,1,0.286167,1.137569,[13 12] ; [4 8],[11.48648649 13.51351351] ; [5.51351351 6.48648649],0
u2,1,0.308709,1.03619,[8 4] ; [2 3],[7.05882353 4.94117647] ; [2.94117647 2.05882353],0
v3,1,0.37095,0.800481,[10 15] ; [3 9],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
d2,1,0.405798,0.691078,[ 7 18] ; [5 7],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
a8,1,0.421885,0.645059,[ 2 21] ; [2 9],[ 2.70588235 20.29411765] ; [1.29411765 9.70588235],0
n2,1,0.505985,0.442361,[5 3] ; [4 1],[5.53846154 2.46153846] ; [3.46153846 1.53846154],0
p12,1,0.523103,0.407771,[ 4 21] ; [ 1 11],[ 3.37837838 21.62162162] ; [ 1.62162162 10.37837838],0
p11,1,0.54955,0.358123,[19  6] ; [8 4],[18.24324324  6.75675676] ; [8.75675676 3.24324324],0
s5,1,0.54955,0.358123,[ 6 19] ; [4 8],[ 6.75675676 18.24324324] ; [3.24324324 8.75675676],0
n5,1,0.564222,0.332447,[17  8] ; [7 5],[16.21621622  8.78378378] ; [7.78378378 4.21621622],0
s8,1,0.564222,0.332447,[ 8 17] ; [5 7],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
p5,1,0.57075,0.321429,[ 6 18] ; [ 2 10],[ 5.33333333 18.66666667] ; [2.66666667 9.33333333],0
a2,1,0.585289,0.297762,[ 1 24] ; [ 1 11],[ 1.35135135 23.64864865] ; [ 0.64864865 11.35135135],0
p1,1,0.585289,0.297762,[ 1 24] ; [ 1 11],[ 1.35135135 23.64864865] ; [ 0.64864865 11.35135135],0
p10,1,0.615795,0.251821,[18  7] ; [7 4],[17.36111111  7.63888889] ; [7.63888889 3.36111111],0
v2,1,0.636831,0.22291,[12 12] ; [5 7],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
r1,1,0.695487,0.153209,[10 15] ; [4 8],[ 9.45945946 15.54054054] ; [4.54054054 7.45945946],0
n4,1,0.695487,0.153209,[15 10] ; [8 4],[15.54054054  9.45945946] ; [7.45945946 4.54054054],0
a4,1,0.695487,0.153209,[10 15] ; [4 8],[ 9.45945946 15.54054054] ; [4.54054054 7.45945946],0
a3,1,0.717448,0.130951,[13 12] ; [7 5],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
b5,1,0.717448,0.130951,[13 12] ; [7 5],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
n3,1,0.724939,0.12381,[4 4] ; [3 2],[4.30769231 3.69230769] ; [2.69230769 2.30769231],0
s7,1,0.725359,0.123416,[ 8 14] ; [3 7],[ 7.5625 14.4375] ; [3.4375 6.5625],0
p9,1,0.834532,0.043636,[19  6] ; [8 3],[18.75  6.25] ; [8.25 2.75],0
r4,1,0.873624,0.025299,[ 9 16] ; [4 8],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
s6,1,0.893314,0.017986,[14 11] ; [7 5],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
a6,1,0.893314,0.017986,[14 11] ; [7 5],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
b3,1,0.915127,0.011358,[ 4 14] ; [1 4],[ 3.91304348 14.08695652] ; [1.08695652 3.91304348],0
b2,1,0.915127,0.011358,[ 4 14] ; [1 4],[ 3.91304348 14.08695652] ; [1.08695652 3.91304348],0
v4,1,0.93536,0.006578,[17  8] ; [8 4],[16.89189189  8.10810811] ; [8.10810811 3.89189189],0
r3,1,0.947085,0.004405,[19  6] ; [9 3],[18.91891892  6.08108108] ; [9.08108108 2.91891892],0
