Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000475,12.209991,[17 10] ; [31 82],[ 9.25714286 17.74285714] ; [38.74285714 74.25714286],1
n5,1,0.003829,8.362954,[ 9 18] ; [71 40],[15.65217391 11.34782609] ; [64.34782609 46.65217391],0
d3,1,0.011598,6.371262,[20  6] ; [55 56],[14.23357664 11.76642336] ; [60.76642336 50.23357664],0
s5,1,0.029021,4.766342,[ 9 15] ; [19 90],[ 5.05263158 18.94736842] ; [22.94736842 86.05263158],0
s6,1,0.031624,4.618792,[16 10] ; [43 69],[11.11594203 14.88405797] ; [47.88405797 64.11594203],0
s7,1,0.037798,4.314074,[12 13] ; [28 77],[ 7.69230769 17.30769231] ; [32.30769231 72.69230769],0
s3,1,0.043133,4.090199,[16 11] ; [42 69],[11.34782609 15.65217391] ; [46.65217391 64.34782609],0
n4,1,0.063178,3.45194,[12 15] ; [71 40],[16.23913043 10.76086957] ; [66.76086957 44.23913043],0
u3,1,0.06825,3.324612,[6 4] ; [12 29],[3.52941176 6.47058824] ; [14.47058824 26.52941176],0
p8,1,0.07623,3.143503,[ 2 24] ; [26 86],[ 5.27536232 20.72463768] ; [22.72463768 89.27536232],0
b4,1,0.09737,2.748097,[11 16] ; [66 47],[14.85 12.15] ; [62.15 50.85],0
n1,1,0.109308,2.564192,[ 3 11] ; [23 28],[5.6 8.4] ; [20.4 30.6],0
v2,1,0.129313,2.300727,[13 13] ; [36 70],[ 9.65151515 16.34848485] ; [39.34848485 66.65151515],0
d4,1,0.160156,1.972751,[23  4] ; [80 31],[20.15217391  6.84782609] ; [82.84782609 28.15217391],0
b5,1,0.179382,1.802733,[20  7] ; [68 45],[16.97142857 10.02857143] ; [71.02857143 41.97142857],0
a2,1,0.198698,1.651917,[ 3 24] ; [25 88],[ 5.4 21.6] ; [22.6 90.4],0
d5,1,0.256328,1.288481,[21  5] ; [78 34],[18.65217391  7.34782609] ; [80.34782609 31.65217391],0
a1,1,0.265976,1.237382,[ 1 26] ; [ 12 101],[ 2.50714286 24.49285714] ; [ 10.49285714 102.50714286],0
a8,1,0.273506,1.19908,[ 1 22] ; [13 94],[ 2.47692308 20.52307692] ; [11.52307692 95.47692308],0
r4,1,0.288026,1.128826,[19  8] ; [67 46],[16.58571429 10.41428571] ; [69.41428571 43.58571429],0
n2,1,0.292192,1.109493,[7 7] ; [34 18],[8.6969697 5.3030303] ; [32.3030303 19.6969697],0
d2,1,0.32646,0.962891,[15 12] ; [50 61],[12.7173913 14.2826087] ; [52.2826087 58.7173913],0
s8,1,0.36353,0.825663,[ 8 19] ; [24 88],[ 6.21582734 20.78417266] ; [25.78417266 86.21582734],0
b1,1,0.418968,0.653209,[12 15] ; [60 53],[13.88571429 13.11428571] ; [58.11428571 54.88571429],0
v4,1,0.430246,0.62216,[23  4] ; [87 24],[21.52173913  5.47826087] ; [88.47826087 22.52173913],0
p9,1,0.435682,0.607629,[14 10] ; [53 54],[12.27480916 11.72519084] ; [54.72519084 52.27480916],0
p10,1,0.499584,0.455821,[13 12] ; [49 61],[11.48148148 13.51851852] ; [50.51851852 59.48148148],0
u2,1,0.50777,0.43866,[5 5] ; [15 24],[4.08163265 5.91836735] ; [15.91836735 23.08163265],0
p7,1,0.514233,0.425444,[ 8 18] ; [41 68],[ 9.43703704 16.56296296] ; [39.56296296 69.43703704],0
r3,1,0.514634,0.424633,[20  6] ; [79 33],[18.65217391  7.34782609] ; [80.34782609 31.65217391],0
p1,1,0.5205,0.412902,[ 1 26] ; [  8 105],[ 1.73571429 25.26428571] ; [  7.26428571 105.73571429],0
d1,1,0.529388,0.395566,[14 13] ; [51 62],[12.53571429 14.46428571] ; [52.46428571 60.53571429],0
n6,1,0.658772,0.195019,[16 11] ; [60 50],[14.97810219 12.02189781] ; [61.02189781 48.97810219],0
b2,1,0.661873,0.191257,[3 6] ; [25 36],[3.6 5.4] ; [24.4 36.6],0
b3,1,0.661873,0.191257,[3 6] ; [25 36],[3.6 5.4] ; [24.4 36.6],0
v1,1,0.686774,0.1626,[ 9 18] ; [42 70],[ 9.90647482 17.09352518] ; [41.09352518 70.90647482],0
r2,1,0.702521,0.145863,[23  3] ; [95 16],[22.39416058  3.60583942] ; [95.60583942 15.39416058],0
n3,1,0.730753,0.118421,[9 5] ; [29 20],[8.44444444 5.55555556] ; [29.55555556 19.44444444],0
a7,1,0.758186,0.09478,[18  8] ; [74 38],[17.33333333  8.66666667] ; [74.66666667 37.33333333],0
a5,1,0.787481,0.072675,[15 12] ; [66 47],[15.62142857 11.37857143] ; [65.37857143 47.62142857],0
a3,1,0.807879,0.059128,[17 10] ; [72 38],[17.54014599  9.45985401] ; [71.45985401 38.54014599],0
p6,1,0.813792,0.055478,[ 5 21] ; [19 91],[ 4.58823529 21.41176471] ; [19.41176471 90.58823529],0
r1,1,0.85306,0.034305,[17 10] ; [72 39],[17.41304348  9.58695652] ; [71.58695652 39.41304348],0
p3,1,0.878502,0.023369,[ 5 22] ; [22 89],[ 5.2826087 21.7173913] ; [21.7173913 89.2826087],0
p2,1,0.938449,0.005963,[13 14] ; [53 59],[12.82014388 14.17985612] ; [53.17985612 58.82014388],0
s1,1,0.953555,0.003392,[ 2 24] ; [  9 103],[ 2.07246377 23.92753623] ; [  8.92753623 103.07246377],0
u1,1,0.953979,0.00333,[ 3 24] ; [ 13 100],[ 3.08571429 23.91428571] ; [ 12.91428571 100.08571429],0
a6,1,0.974983,0.000983,[16 11] ; [66 46],[15.92805755 11.07194245] ; [66.07194245 45.92805755],0
v3,1,0.982106,0.000503,[ 7 20] ; [27 78],[ 6.95454545 20.04545455] ; [27.04545455 77.95454545],0
a4,1,0.984841,0.000361,[11 16] ; [45 66],[10.95652174 16.04347826] ; [45.04347826 65.95652174],0
