Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.001971,9.576581,[ 8 27] ; [13  7],[13.36363636 21.63636364] ; [ 7.63636364 12.36363636],0
r2,1,0.008849,6.85314,[36  1] ; [15  5],[33.10526316  3.89473684] ; [17.89473684  2.10526316],0
r1,1,0.010122,6.613287,[31  6] ; [11 10],[26.79310345 10.20689655] ; [15.20689655  5.79310345],0
r4,1,0.012078,6.299353,[32  5] ; [12  9],[28.06896552  8.93103448] ; [15.93103448  5.06896552],0
a6,1,0.030734,4.667737,[28  9] ; [10 11],[24.24137931 12.75862069] ; [13.75862069  7.24137931],0
d1,1,0.048818,3.881596,[24 13] ; [ 8 13],[20.4137931 16.5862069] ; [11.5862069  9.4137931],0
d5,1,0.049956,3.84294,[30  7] ; [12  9],[26.79310345 10.20689655] ; [15.20689655  5.79310345],0
v1,1,0.062437,3.471435,[16 21] ; [ 4 17],[12.75862069 24.24137931] ; [ 7.24137931 13.75862069],0
p5,1,0.09431,2.799228,[ 1 36] ; [ 3 18],[ 2.55172414 34.44827586] ; [ 1.44827586 19.55172414],0
d3,1,0.108954,2.569329,[30  7] ; [13  8],[27.43103448  9.56896552] ; [15.56896552  5.43103448],0
a3,1,0.117619,2.448747,[22 15] ; [ 8 13],[19.13793103 17.86206897] ; [10.86206897 10.13793103],0
n1,1,0.13057,2.285714,[6 3] ; [2 5],[4.5 4.5] ; [3.5 3.5],0
d4,1,0.133001,2.257119,[31  6] ; [14  7],[28.70689655  8.29310345] ; [16.29310345  4.70689655],0
n4,1,0.135547,2.227791,[25 12] ; [10 11],[22.32758621 14.67241379] ; [12.67241379  8.32758621],0
p7,1,0.154212,2.030088,[27 10] ; [17  2],[29.07142857  7.92857143] ; [14.92857143  4.07142857],0
n5,1,0.155375,2.018674,[23 14] ; [ 9 12],[20.4137931 16.5862069] ; [11.5862069  9.4137931],0
n6,1,0.16179,1.957418,[27  9] ; [12  9],[24.63157895 11.36842105] ; [14.36842105  6.63157895],0
a4,1,0.167022,1.909467,[ 9 28] ; [ 2 19],[ 7.01724138 29.98275862] ; [ 3.98275862 17.01724138],0
u1,1,0.198114,1.656223,[ 6 31] ; [ 1 20],[ 4.46551724 32.53448276] ; [ 2.53448276 18.46551724],0
a7,1,0.217008,1.524049,[27 10] ; [12  9],[24.87931034 12.12068966] ; [14.12068966  6.87931034],0
u2,1,0.228871,1.447863,[7 8] ; [9 4],[8.57142857 6.42857143] ; [7.42857143 5.57142857],0
s4,1,0.298223,1.082126,[ 5 31] ; [ 5 15],[ 6.42857143 29.57142857] ; [ 3.57142857 16.42857143],0
