Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.9e-05,18.310255,[74  7] ; [43 26],[63.18 17.82] ; [53.82 15.18],1
v4,1,1.9e-05,18.240796,[73  6] ; [44 25],[62.4527027 16.5472973] ; [54.5472973 14.4527027],1
p4,1,0.000122,14.757414,[41 40] ; [14 55],[29.7 51.3] ; [25.3 43.7],1
r4,1,0.000175,14.080128,[65 16] ; [36 34],[54.17880795 26.82119205] ; [46.82119205 23.17880795],1
p7,1,0.000301,13.061584,[47 34] ; [19 48],[36.12162162 44.87837838] ; [29.87837838 37.12162162],1
p8,1,0.001136,10.59106,[34 47] ; [12 57],[24.84 56.16] ; [21.16 47.84],0
p11,1,0.001984,9.564423,[47 34] ; [23 47],[37.54966887 43.45033113] ; [32.45033113 37.54966887],0
r1,1,0.005346,7.758551,[64 17] ; [40 29],[56.16 24.84] ; [47.84 21.16],0
d3,1,0.009513,6.723803,[54 27] ; [32 38],[46.13245033 34.86754967] ; [39.86754967 30.13245033],0
s1,1,0.01412,6.023118,[ 2 78] ; [ 9 60],[ 5.90604027 74.09395973] ; [ 5.09395973 63.90604027],0
s8,1,0.028952,4.770453,[19 62] ; [ 7 63],[13.94701987 67.05298013] ; [12.05298013 57.94701987],0
p3,1,0.032038,4.596473,[29 51] ; [14 55],[23.08724832 56.91275168] ; [19.91275168 49.08724832],0
p6,1,0.032052,4.595701,[19 61] ; [ 7 61],[14.05405405 65.94594595] ; [11.94594595 56.05405405],0
a7,1,0.03456,4.466764,[57 24] ; [37 32],[50.76 30.24] ; [43.24 25.76],0
a6,1,0.036549,4.371298,[53 28] ; [34 36],[46.66887417 34.33112583] ; [40.33112583 29.66887417],0
s3,1,0.073788,3.196679,[37 43] ; [22 47],[31.67785235 48.32214765] ; [27.32214765 41.67785235],0
p10,1,0.082143,3.021978,[22 58] ; [11 59],[17.6 62.4] ; [15.4 54.6],0
s2,1,0.0928,2.825125,[28 51] ; [16 54],[23.32885906 55.67114094] ; [20.67114094 49.32885906],0
d5,1,0.094565,2.794894,[59 22] ; [42 28],[54.17880795 26.82119205] ; [46.82119205 23.17880795],0
b5,1,0.104637,2.633404,[50 31] ; [34 36],[45.05960265 35.94039735] ; [38.94039735 31.05960265],0
a1,1,0.120779,2.407195,[ 3 78] ; [ 7 63],[ 5.36423841 75.63576159] ; [ 4.63576159 65.36423841],0
n3,1,0.125763,2.344036,[17  9] ; [12 15],[14.22641509 11.77358491] ; [14.77358491 12.22641509],0
n2,1,0.126361,2.336649,[16  9] ; [13 17],[13.18181818 11.81818182] ; [15.81818182 14.18181818],0
n6,1,0.126476,2.335234,[54 27] ; [37 31],[49.46979866 31.53020134] ; [41.53020134 26.46979866],0
s7,1,0.134628,2.238311,[22 53] ; [12 53],[18.21428571 56.78571429] ; [15.78571429 49.21428571],0
v1,1,0.136218,2.220166,[30 51] ; [18 52],[25.74834437 55.25165563] ; [22.25165563 47.74834437],0
r2,1,0.161046,1.964375,[70 11] ; [52 15],[66.77027027 14.22972973] ; [55.22972973 11.77027027],0
n1,1,0.233992,1.416429,[ 6 20] ; [11 18],[ 8.03636364 17.96363636] ; [ 8.96363636 20.03636364],0
b2,1,0.237678,1.394314,[13 35] ; [17 27],[15.65217391 32.34782609] ; [14.34782609 29.65217391],0
b3,1,0.237678,1.394314,[13 35] ; [17 27],[15.65217391 32.34782609] ; [14.34782609 29.65217391],0
a3,1,0.28041,1.165104,[41 40] ; [41 28],[44.28 36.72] ; [37.72 31.28],0
a4,1,0.337299,0.920671,[22 58] ; [24 45],[24.69798658 55.30201342] ; [21.30201342 47.69798658],0
n4,1,0.369218,0.806296,[55 26] ; [42 27],[52.38 28.62] ; [44.62 24.38],0
s4,1,0.395878,0.720812,[13 67] ; [ 8 62],[11.2 68.8] ; [ 9.8 60.2],0
s6,1,0.414515,0.665815,[33 48] ; [24 46],[30.57615894 50.42384106] ; [26.42384106 43.57615894],0
a5,1,0.416557,0.660009,[47 34] ; [36 34],[44.52317881 36.47682119] ; [38.47682119 31.52317881],0
v3,1,0.419392,0.652017,[20 59] ; [21 46],[22.18493151 56.81506849] ; [18.81506849 48.18493151],0
u1,1,0.452399,0.564635,[10 71] ; [ 6 64],[ 8.58278146 72.41721854] ; [ 7.41721854 62.58278146],0
n5,1,0.453065,0.562972,[42 39] ; [40 29],[44.28 36.72] ; [37.72 31.28],0
p5,1,0.46814,0.526362,[ 1 80] ; [ 2 67],[ 1.62 79.38] ; [ 1.38 67.62],0
d2,1,0.487518,0.481999,[33 48] ; [32 37],[35.1 45.9] ; [29.9 39.1],0
d1,1,0.58155,0.303736,[36 45] ; [28 42],[34.33112583 46.66887417] ; [29.66887417 40.33112583],0
v2,1,0.622009,0.243054,[31 48] ; [24 44],[29.55782313 49.44217687] ; [25.44217687 42.55782313],0
u2,1,0.8063,0.060124,[19 20] ; [15 14],[19.5 19.5] ; [14.5 14.5],0
a8,1,0.886373,0.020419,[ 5 67] ; [ 5 61],[ 5.2173913 66.7826087] ; [ 4.7826087 61.2173913],0
d4,1,0.888391,0.019695,[54 26] ; [48 22],[54.4 25.6] ; [47.6 22.4],0
p12,1,0.924214,0.009049,[ 1 79] ; [ 1 69],[ 1.06666667 78.93333333] ; [ 0.93333333 69.06666667],0
a2,1,0.926778,0.008445,[12 69] ; [10 60],[11.8013245 69.1986755] ; [10.1986755 59.8013245],0
b4,1,0.931722,0.007341,[48 33] ; [41 29],[47.74172185 33.25827815] ; [41.25827815 28.74172185],0
p1,1,0.933287,0.007007,[ 6 74] ; [ 5 65],[ 5.86666667 74.13333333] ; [ 5.13333333 64.86666667],0
u3,1,0.988661,0.000202,[22 18] ; [16 13],[22.02898551 17.97101449] ; [15.97101449 13.02898551],0
b1,1,0.996538,1.9e-05,[44 37] ; [38 32],[43.98675497 37.01324503] ; [38.01324503 31.98675497],0
