Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000464,12.256902,[64  7] ; [10  8],[59.03370787 11.96629213] ; [14.96629213  3.03370787],1
d2,1,0.003137,8.726037,[47 24] ; [ 5 13],[41.48314607 29.51685393] ; [10.51685393  7.48314607],0
s8,1,0.004158,8.213333,[49 21] ; [ 6 12],[43.75 26.25] ; [11.25  6.75],0
a5,1,0.007421,7.168214,[60 11] ; [10  8],[55.84269663 15.15730337] ; [14.15730337  3.84269663],0
r2,1,0.021143,5.314996,[67  4] ; [13  4],[64.54545455  6.45454545] ; [15.45454545  1.54545455],0
r4,1,0.026063,4.951831,[65  6] ; [13  5],[62.2247191  8.7752809] ; [15.7752809  2.2247191],0
d5,1,0.026063,4.951831,[65  6] ; [13  5],[62.2247191  8.7752809] ; [15.7752809  2.2247191],0
s3,1,0.028115,4.821026,[47 23] ; [ 7 11],[42.95454545 27.04545455] ; [11.04545455  6.95454545],0
p1,1,0.034843,4.452854,[21 50] ; [ 1 17],[17.5505618 53.4494382] ; [ 4.4494382 13.5505618],0
s7,1,0.049082,3.872542,[51 17] ; [8 8],[47.76190476 20.23809524] ; [11.23809524  4.76190476],0
a4,1,0.050921,3.810875,[38 33] ; [ 5 13],[34.30337079 36.69662921] ; [8.69662921 9.30337079],0
p6,1,0.063609,3.440683,[44 26] ; [ 6 10],[40.69767442 29.30232558] ; [9.30232558 6.69767442],0
a2,1,0.067141,3.351572,[18 53] ; [ 1 17],[15.15730337 55.84269663] ; [ 3.84269663 14.15730337],0
u2,1,0.067278,3.348214,[3 4] ; [7 1],[4.66666667 2.33333333] ; [5.33333333 2.66666667],0
v3,1,0.081319,3.038332,[42 26] ; [ 7 11],[38.74418605 29.25581395] ; [10.25581395  7.74418605],0
d1,1,0.083898,2.987733,[54 17] ; [10  8],[51.05617978 19.94382022] ; [12.94382022  5.05617978],0
n1,1,0.153338,2.03873,[8 6] ; [1 4],[6.63157895 7.36842105] ; [2.36842105 2.63157895],0
n5,1,0.154605,2.026217,[64  7] ; [14  4],[62.2247191  8.7752809] ; [15.7752809  2.2247191],0
s6,1,0.215048,1.53711,[56 10] ; [13  5],[54.21428571 11.78571429] ; [14.78571429  3.21428571],0
a1,1,0.224211,1.477213,[ 8 63] ; [ 4 14],[ 9.57303371 61.42696629] ; [ 2.42696629 15.57303371],0
s4,1,0.309602,1.032375,[10 59] ; [ 1 17],[ 8.72413793 60.27586207] ; [ 2.27586207 15.72413793],0
