Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9e-06,19.818772,[15 62] ; [12  4],[22.35483871 54.64516129] ; [ 4.64516129 11.35483871],1
s7,1,0.002114,9.448176,[ 8 62] ; [7 9],[12.20930233 57.79069767] ; [ 2.79069767 13.20930233],0
p9,1,0.002373,9.235642,[39 35] ; [15  1],[44.4 29.6] ; [9.6 6.4],0
p10,1,0.004951,7.897295,[31 42] ; [13  3],[36.08988764 36.91011236] ; [7.91011236 8.08988764],0
r4,1,0.005664,7.654105,[44 33] ; [15  1],[48.84946237 28.15053763] ; [10.15053763  5.84946237],0
a8,1,0.006163,7.501969,[ 4 69] ; [ 4 10],[ 6.71264368 66.28735632] ; [ 1.28735632 12.71264368],0
u1,1,0.010146,6.60911,[ 4 73] ; [ 4 12],[ 6.62365591 70.37634409] ; [ 1.37634409 14.62365591],0
p5,1,0.010376,6.569107,[ 2 73] ; [ 3 13],[ 4.12087912 70.87912088] ; [ 0.87912088 15.12087912],0
p7,1,0.015886,5.815483,[27 48] ; [11  5],[31.31868132 43.68131868] ; [6.68131868 9.31868132],0
p2,1,0.021453,5.289646,[42 32] ; [14  2],[46.04444444 27.95555556] ; [9.95555556 6.04444444],0
p4,1,0.022052,5.241656,[24 51] ; [10  6],[28.02197802 46.97802198] ; [ 5.97802198 10.02197802],0
u3,1,0.02639,4.930268,[10 16] ; [6 1],[12.60606061 13.39393939] ; [3.39393939 3.60606061],0
p11,1,0.031488,4.626146,[35 42] ; [12  4],[38.91397849 38.08602151] ; [8.08602151 7.91397849],0
r3,1,0.049448,3.860094,[54 23] ; [15  1],[57.12903226 19.87096774] ; [11.87096774  4.12903226],0
v1,1,0.05297,3.744878,[28 49] ; [10  6],[31.46236559 45.53763441] ; [6.53763441 9.46236559],0
s5,1,0.061348,3.500575,[ 7 68] ; [ 4 11],[ 9.16666667 65.83333333] ; [ 1.83333333 13.16666667],0
d3,1,0.083206,3.001133,[39 37] ; [12  4],[42.13043478 33.86956522] ; [8.86956522 7.13043478],0
r1,1,0.124182,2.363773,[47 30] ; [13  3],[49.67741935 27.32258065] ; [10.32258065  5.67741935],0
p6,1,0.181384,1.786247,[12 60] ; [ 5 11],[13.90909091 58.09090909] ; [ 3.09090909 12.90909091],0
b3,1,0.194199,1.685474,[12 30] ; [5 5],[13.73076923 28.26923077] ; [3.26923077 6.73076923],0
b2,1,0.194199,1.685474,[12 30] ; [5 5],[13.73076923 28.26923077] ; [3.26923077 6.73076923],0
d5,1,0.212684,1.553063,[56 21] ; [14  2],[57.95698925 19.04301075] ; [12.04301075  3.95698925],0
p8,1,0.22226,1.489719,[25 49] ; [8 8],[27.13333333 46.86666667] ; [ 5.86666667 10.13333333],0
v3,1,0.252745,1.308064,[17 55] ; [ 6 10],[18.81818182 53.18181818] ; [ 4.18181818 11.81818182],0
n3,1,0.273016,1.201533,[19 10] ; [1 2],[18.125 10.875] ; [1.875 1.125],0
b1,1,0.296368,1.090467,[42 35] ; [11  5],[43.88172043 33.11827957] ; [9.11827957 6.88172043],0
p3,1,0.383851,0.758333,[20 55] ; [ 6 10],[21.42857143 53.57142857] ; [ 4.57142857 11.42857143],0
a2,1,0.387247,0.747568,[17 60] ; [ 2 14],[15.7311828 61.2688172] ; [ 3.2688172 12.7311828],0
a3,1,0.407325,0.686595,[51 25] ; [9 7],[49.56521739 26.43478261] ; [10.43478261  5.56521739],0
a4,1,0.443344,0.587611,[32 45] ; [ 5 11],[30.6344086 46.3655914] ; [6.3655914 9.6344086],0
a5,1,0.443344,0.587611,[45 32] ; [11  5],[46.3655914 30.6344086] ; [9.6344086 6.3655914],0
d2,1,0.472488,0.516151,[31 46] ; [8 8],[32.29032258 44.70967742] ; [6.70967742 9.29032258],0
a7,1,0.494897,0.465863,[51 26] ; [12  4],[52.16129032 24.83870968] ; [10.83870968  5.16129032],0
s2,1,0.541136,0.373439,[ 6 71] ; [ 2 14],[ 6.62365591 70.37634409] ; [ 1.37634409 14.62365591],0
s4,1,0.541136,0.373439,[ 6 71] ; [ 2 14],[ 6.62365591 70.37634409] ; [ 1.37634409 14.62365591],0
n2,1,0.581815,0.303309,[15 15] ; [2 1],[15.45454545 14.54545455] ; [1.54545455 1.45454545],0
d4,1,0.627949,0.234853,[48 29] ; [11  5],[48.84946237 28.15053763] ; [10.15053763  5.84946237],0
s1,1,0.672815,0.178327,[ 3 74] ; [ 1 15],[ 3.31182796 73.68817204] ; [ 0.68817204 15.31182796],0
b5,1,0.69274,0.156136,[44 33] ; [10  6],[44.70967742 32.29032258] ; [9.29032258 6.70967742],0
a6,1,0.69728,0.151317,[49 28] ; [11  5],[49.67741935 27.32258065] ; [10.32258065  5.67741935],0
d1,1,0.721753,0.12682,[30 47] ; [7 9],[30.6344086 46.3655914] ; [6.3655914 9.6344086],0
n5,1,0.733828,0.115625,[32 44] ; [ 6 10],[31.39130435 44.60869565] ; [6.60869565 9.39130435],0
b4,1,0.740024,0.110106,[42 35] ; [8 8],[41.39784946 35.60215054] ; [8.60215054 7.39784946],0
v2,1,0.762488,0.091334,[33 39] ; [8 8],[33.54545455 38.45454545] ; [7.45454545 8.54545455],0
r2,1,0.836167,0.042766,[60 16] ; [13  3],[60.30434783 15.69565217] ; [12.69565217  3.30434783],0
n4,1,0.887175,0.02013,[40 37] ; [8 8],[39.74193548 37.25806452] ; [8.25806452 7.74193548],0
n1,1,0.908893,0.013095,[11 19] ; [1 2],[10.90909091 19.09090909] ; [1.09090909 1.90909091],0
