Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,60.239821,[107  31] ; [ 3 34],[86.74285714 51.25714286] ; [23.25714286 13.74285714],1
r3,1,0.0,44.834557,[120  18] ; [12 24],[104.68965517  33.31034483] ; [27.31034483  8.68965517],1
r2,1,0.0,29.571231,[124  13] ; [18 17],[113.10465116  23.89534884] ; [28.89534884  6.10465116],1
p2,1,0.0,25.490733,[101  37] ; [10 26],[88.03448276 49.96551724] ; [22.96551724 13.03448276],1
n6,1,2e-06,22.244569,[102  36] ; [11 24],[90.13872832 47.86127168] ; [22.86127168 12.13872832],1
a1,1,9.7e-05,15.184676,[  3 135] ; [ 7 30],[  7.88571429 130.11428571] ; [ 2.11428571 34.88571429],1
p11,1,0.000104,15.056379,[90 48] ; [11 26],[79.64571429 58.35428571] ; [21.35428571 15.64571429],1
r1,1,0.000282,13.18462,[83 54] ; [10 27],[73.22413793 63.77586207] ; [19.77586207 17.22413793],1
p9,1,0.000629,11.687378,[92 42] ; [14 23],[83.06432749 50.93567251] ; [22.93567251 14.06432749],1
p10,1,0.000961,10.901844,[86 51] ; [12 25],[77.16091954 59.83908046] ; [20.83908046 16.16091954],1
s1,1,0.002156,9.411759,[  4 132] ; [ 6 31],[  7.86127168 128.13872832] ; [ 2.13872832 34.86127168],0
p8,1,0.002188,9.384802,[52 85] ; [ 4 32],[44.34682081 92.65317919] ; [11.65317919 24.34682081],0
p4,1,0.004353,8.130561,[57 80] ; [ 6 31],[49.60344828 87.39655172] ; [13.39655172 23.60344828],0
d5,1,0.008367,6.95323,[95 42] ; [17 20],[88.18390805 48.81609195] ; [23.81609195 13.18390805],0
b5,1,0.011888,6.327489,[91 47] ; [16 21],[84.37714286 53.62285714] ; [22.62285714 14.37714286],0
p6,1,0.016681,5.72967,[ 33 105] ; [ 2 33],[ 27.91907514 110.08092486] ; [ 7.08092486 27.91907514],0
u2,1,0.017717,5.623945,[32 27] ; [ 3 12],[27.90540541 31.09459459] ; [7.09459459 7.90540541],0
a7,1,0.017972,5.598917,[92 45] ; [17 20],[85.82183908 51.17816092] ; [23.17816092 13.82183908],0
b1,1,0.036648,4.366688,[52 86] ; [21 16],[57.56571429 80.43428571] ; [15.43428571 21.56571429],0
p1,1,0.039486,4.239849,[  8 129] ; [ 6 31],[ 11.02298851 125.97701149] ; [ 2.97701149 34.02298851],0
n2,1,0.050338,3.830171,[29 15] ; [ 7 11],[25.5483871 18.4516129] ; [10.4516129  7.5483871],0
n3,1,0.053616,3.724628,[27 14] ; [ 7 11],[23.62711864 17.37288136] ; [10.37288136  7.62711864],0
s8,1,0.060292,3.529331,[ 19 119] ; [ 1 36],[ 15.77142857 122.22857143] ; [ 4.22857143 32.77142857],0
p3,1,0.085617,2.954904,[46 91] ; [ 7 30],[41.72988506 95.27011494] ; [11.27011494 25.72988506],0
d3,1,0.10761,2.588979,[79 57] ; [16 21],[74.68208092 61.31791908] ; [20.31791908 16.68208092],0
p7,1,0.114687,2.488422,[60 76] ; [11 26],[55.8150289 80.1849711] ; [15.1849711 21.8150289],0
a6,1,0.226559,1.462332,[86 52] ; [19 18],[82.8 55.2] ; [22.2 14.8],0
d1,1,0.256214,1.289101,[59 79] ; [12 25],[55.98857143 82.01142857] ; [15.01142857 21.98857143],0
p5,1,0.287437,1.131588,[  3 133] ; [ 2 34],[  3.95348837 132.04651163] ; [ 1.04651163 34.95348837],0
p12,1,0.320904,0.985258,[  1 135] ; [ 1 36],[  1.57225434 134.42774566] ; [ 0.42774566 36.57225434],0
d4,1,0.3443,0.894354,[97 41] ; [23 14],[94.62857143 43.37142857] ; [25.37142857 11.62857143],0
n1,1,0.37792,0.777459,[14 29] ; [ 8 10],[15.50819672 27.49180328] ; [ 6.49180328 11.50819672],0
b2,1,0.397408,0.716156,[27 51] ; [11 14],[28.77669903 49.22330097] ; [ 9.22330097 15.77669903],0
