Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000321,12.943899,[5 1] ; [12 54],[1.41666667 4.58333333] ; [15.58333333 50.41666667],1
p5,1,0.002577,9.085248,[2 3] ; [ 3 64],[0.34722222 4.65277778] ; [ 4.65277778 62.34722222],0
p8,1,0.003519,8.516875,[4 2] ; [11 56],[1.23287671 4.76712329] ; [13.76712329 53.23287671],0
a8,1,0.006684,7.356044,[2 1] ; [ 7 55],[0.41538462 2.58461538] ; [ 8.58461538 53.41538462],0
s7,1,0.009933,6.646855,[5 1] ; [18 41],[2.12307692 3.87692308] ; [20.87692308 38.12307692],0
b2,1,0.014739,5.94742,[5 1] ; [14 30],[2.28 3.72] ; [16.72 27.28],0
b3,1,0.014739,5.94742,[5 1] ; [14 30],[2.28 3.72] ; [16.72 27.28],0
p7,1,0.020851,5.339163,[5 1] ; [24 44],[2.35135135 3.64864865] ; [26.64864865 41.35135135],0
p4,1,0.025936,4.960264,[5 1] ; [25 43],[2.43243243 3.56756757] ; [27.56756757 40.43243243],0
p12,1,0.02778,4.841639,[1 5] ; [ 1 67],[0.16216216 5.83783784] ; [ 1.83783784 66.16216216],0
s3,1,0.041821,4.14243,[5 1] ; [27 40],[2.63013699 3.36986301] ; [29.36986301 37.63013699],0
p6,1,0.048244,3.901478,[3 3] ; [11 55],[1.16666667 4.83333333] ; [12.83333333 53.16666667],0
d1,1,0.055237,3.674928,[5 1] ; [29 39],[2.75675676 3.24324324] ; [31.24324324 36.75675676],0
s2,1,0.0659,3.382306,[4 2] ; [20 47],[1.97260274 4.02739726] ; [22.02739726 44.97260274],0
d2,1,0.088082,2.909091,[5 1] ; [31 35],[3. 3.] ; [33. 33.],0
a1,1,0.097895,2.739501,[2 4] ; [ 7 61],[0.72972973 5.27027027] ; [ 8.27027027 59.72972973],0
a2,1,0.100643,2.69532,[3 3] ; [14 54],[1.37837838 4.62162162] ; [15.62162162 52.37837838],0
u1,1,0.138494,2.194608,[2 4] ; [ 8 60],[0.81081081 5.18918919] ; [ 9.18918919 58.81081081],0
p3,1,0.150358,2.06862,[4 2] ; [25 43],[2.35135135 3.64864865] ; [26.64864865 41.35135135],0
r1,1,0.191404,1.70678,[5 1] ; [38 30],[3.48648649 2.51351351] ; [39.51351351 28.48648649],0
s5,1,0.252559,1.309091,[2 4] ; [10 56],[1. 5.] ; [11. 55.],0
a4,1,0.270233,1.215566,[4 2] ; [29 38],[2.71232877 3.28767123] ; [30.28767123 36.71232877],0
a6,1,0.374874,0.787444,[4 2] ; [32 35],[2.95890411 3.04109589] ; [33.04109589 33.95890411],0
n4,1,0.389467,0.740605,[5 1] ; [45 23],[4.05405405 1.94594595] ; [45.94594595 22.05405405],0
d5,1,0.585441,0.297521,[5 1] ; [49 18],[4.43835616 1.56164384] ; [49.56164384 17.43835616],0
a7,1,0.609254,0.261263,[4 2] ; [38 30],[3.40540541 2.59459459] ; [38.59459459 29.40540541],0
b4,1,0.657581,0.196476,[4 2] ; [39 29],[3.48648649 2.51351351] ; [39.51351351 28.48648649],0
b5,1,0.980585,0.000592,[4 2] ; [45 23],[3.97297297 2.02702703] ; [45.02702703 22.97297297],0
