Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,68.854164,[34 28] ; [ 11 161],[11.92307692 50.07692308] ; [ 33.07692308 138.92307692],1
s7,1,0.00225,9.333144,[22 34] ; [ 31 132],[13.55251142 42.44748858] ; [ 39.44748858 123.55251142],0
n4,1,0.034679,4.460935,[51 11] ; [118  55],[44.58723404 17.41276596] ; [124.41276596  48.58723404],0
s4,1,0.038673,4.275154,[ 7 55] ; [  7 166],[ 3.69361702 58.30638298] ; [ 10.30638298 162.69361702],0
d5,1,0.039517,4.238493,[41 21] ; [137  36],[46.96170213 15.03829787] ; [131.03829787  41.96170213],0
a2,1,0.055356,3.671343,[ 7 55] ; [ 39 134],[12.13617021 49.86382979] ; [ 33.86382979 139.13617021],0
a6,1,0.066336,3.371445,[37 25] ; [125  48],[42.74042553 19.25957447] ; [119.25957447  53.74042553],0
n1,1,0.066951,3.356233,[9 8] ; [12 31],[ 5.95 11.05] ; [15.05 27.95],0
s8,1,0.088716,2.897515,[17 45] ; [ 30 143],[12.4 49.6] ; [ 34.6 138.4],0
r2,1,0.089114,2.890303,[61  1] ; [158  13],[58.27467811  3.72532189] ; [160.72532189  10.27467811],0
p1,1,0.0906,2.863674,[ 1 61] ; [ 13 159],[ 3.70940171 58.29059829] ; [ 10.29059829 161.70940171],0
p12,1,0.118869,2.432154,[ 4 57] ; [  4 168],[ 2.0944206 58.9055794] ; [  5.9055794 166.0944206],0
b5,1,0.119693,2.421333,[28 34] ; [98 75],[33.24255319 28.75744681] ; [92.75744681 80.24255319],0
n2,1,0.184258,1.762939,[13  4] ; [25 18],[10.76666667  6.23333333] ; [27.23333333 15.76666667],0
v4,1,0.19197,1.702431,[54  6] ; [164   9],[56.13733906  3.86266094] ; [161.86266094  11.13733906],0
a1,1,0.209941,1.571831,[ 4 58] ; [  5 168],[ 2.37446809 59.62553191] ; [  6.62553191 166.37446809],0
a4,1,0.213017,1.550804,[23 39] ; [80 93],[27.17446809 34.82553191] ; [75.82553191 97.17446809],0
p10,1,0.218865,1.511797,[48 14] ; [119  53],[44.24786325 17.75213675] ; [122.75213675  49.24786325],0
n6,1,0.292557,1.107818,[43 19] ; [131  41],[46.1025641 15.8974359] ; [127.8974359  44.1025641],0
d3,1,0.297126,1.087051,[46 16] ; [116  57],[42.74042553 19.25957447] ; [119.25957447  53.74042553],0
b3,1,0.307164,1.04283,[17 22] ; [35 67],[14.38297872 24.61702128] ; [37.61702128 64.38297872],0
b2,1,0.307164,1.04283,[17 22] ; [35 67],[14.38297872 24.61702128] ; [37.61702128 64.38297872],0
p8,1,0.352247,0.865344,[26 36] ; [83 87],[29.12931034 32.87068966] ; [79.87068966 90.12931034],0
d4,1,0.375171,0.786467,[48 13] ; [144  28],[50.26609442 10.73390558] ; [141.73390558  30.26609442],0
p7,1,0.384651,0.755786,[38 23] ; [95 75],[35.12121212 25.87878788] ; [97.87878788 72.12121212],0
n5,1,0.395649,0.72151,[42 19] ; [108  64],[39.27038627 21.72961373] ; [110.72961373  61.27038627],0
a7,1,0.408137,0.684222,[42 20] ; [126  46],[44.51282051 17.48717949] ; [123.48717949  48.51282051],0
u4,1,0.446594,0.579282,[ 1 61] ; [  1 172],[ 0.52765957 61.47234043] ; [  1.47234043 171.52765957],0
p6,1,0.446846,0.57864,[18 44] ; [ 41 129],[15.76724138 46.23275862] ; [ 43.23275862 126.76724138],0
p5,1,0.455041,0.558064,[ 2 58] ; [ 10 162],[ 3.10344828 56.89655172] ; [  8.89655172 163.10344828],0
s1,1,0.47297,0.515029,[ 3 59] ; [  5 167],[ 2.11965812 59.88034188] ; [  5.88034188 166.11965812],0
b4,1,0.481681,0.495056,[33 29] ; [101  72],[35.35319149 26.64680851] ; [98.64680851 74.35319149],0
u1,1,0.526196,0.401732,[ 6 56] ; [ 22 151],[ 7.38723404 54.61276596] ; [ 20.61276596 152.38723404],0
u3,1,0.529795,0.394784,[ 9 10] ; [29 23],[10.16901408  8.83098592] ; [27.83098592 24.16901408],0
v2,1,0.552365,0.353097,[32 26] ; [99 67],[33.91964286 24.08035714] ; [97.08035714 68.91964286],0
p2,1,0.593618,0.28473,[47 15] ; [136  36],[48.48717949 13.51282051] ; [134.51282051  37.48717949],0
p11,1,0.601271,0.273083,[50 12] ; [134  39],[48.54468085 13.45531915] ; [135.45531915  37.54468085],0
s5,1,0.643159,0.214634,[ 9 50] ; [ 22 149],[ 7.95217391 51.04782609] ; [ 23.04782609 147.95217391],0
u2,1,0.711408,0.136875,[11  8] ; [27 24],[10.31428571  8.68571429] ; [27.68571429 23.31428571],0
p4,1,0.735288,0.114311,[29 32] ; [77 94],[27.87068966 33.12931034] ; [78.12931034 92.87068966],0
r4,1,0.743998,0.106644,[55  7] ; [156  17],[55.66808511  6.33191489] ; [155.33191489  17.66808511],0
d1,1,0.744929,0.105842,[34 28] ; [99 74],[35.0893617 26.9106383] ; [97.9106383 75.0893617],0
