Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001815,9.72801,[17 12] ; [28 74],[ 9.96183206 19.03816794] ; [35.03816794 66.96183206],0
s8,1,0.00382,8.367379,[12 18] ; [16 87],[ 6.31578947 23.68421053] ; [21.68421053 81.31578947],0
s7,1,0.004468,8.083055,[15 15] ; [22 74],[ 8.80952381 21.19047619] ; [28.19047619 67.80952381],0
s6,1,0.021626,5.275633,[17 12] ; [36 67],[11.64393939 17.35606061] ; [41.35606061 61.64393939],0
n4,1,0.029773,4.72233,[24  6] ; [60 43],[18.94736842 11.05263158] ; [65.05263158 37.94736842],0
p6,1,0.037373,4.333333,[10 20] ; [16 84],[ 6. 24.] ; [20. 80.],0
n1,1,0.05528,3.673624,[7 5] ; [10 26],[4.25 7.75] ; [12.75 23.25],0
v1,1,0.061802,3.488357,[14 15] ; [29 69],[ 9.81889764 19.18110236] ; [33.18110236 64.81889764],0
a6,1,0.10587,2.614806,[21  9] ; [55 48],[17.14285714 12.85714286] ; [58.85714286 44.14285714],0
d4,1,0.167162,1.908209,[23  7] ; [65 38],[19.84962406 10.15037594] ; [68.15037594 34.84962406],0
d2,1,0.181975,1.781419,[16 14] ; [40 61],[12.82442748 17.17557252] ; [43.17557252 57.82442748],0
a8,1,0.187591,1.736437,[ 1 27] ; [12 87],[ 2.86614173 25.13385827] ; [10.13385827 88.86614173],0
r2,1,0.192128,1.701223,[25  5] ; [70 28],[22.265625  7.734375] ; [72.734375 25.265625],0
p11,1,0.197158,1.663304,[20 10] ; [55 48],[16.91729323 13.08270677] ; [58.08270677 44.91729323],0
s5,1,0.199404,1.646733,[ 3 24] ; [22 77],[ 5.35714286 21.64285714] ; [19.64285714 79.35714286],0
d5,1,0.21915,1.509928,[23  7] ; [66 36],[20.22727273  9.77272727] ; [68.77272727 33.22727273],0
n6,1,0.269562,1.218974,[23  7] ; [68 35],[20.52631579  9.47368421] ; [70.47368421 32.52631579],0
a2,1,0.289042,1.124079,[ 5 25] ; [10 93],[ 3.38345865 26.61654135] ; [11.61654135 91.38345865],0
d3,1,0.312389,1.020548,[18 12] ; [50 51],[15.57251908 14.42748092] ; [52.42748092 48.57251908],0
a7,1,0.314228,1.012819,[19 11] ; [54 48],[16.59090909 13.40909091] ; [56.40909091 45.59090909],0
u1,1,0.394872,0.723886,[ 1 29] ; [ 8 95],[ 2.03007519 27.96992481] ; [ 6.96992481 96.03007519],0
a3,1,0.409789,0.679412,[21  9] ; [63 39],[19.09090909 10.90909091] ; [64.90909091 37.09090909],0
b4,1,0.422481,0.643405,[15 15] ; [60 43],[16.91729323 13.08270677] ; [58.08270677 44.91729323],0
n2,1,0.438979,0.598951,[8 5] ; [27 10],[9.1 3.9] ; [25.9 11.1],0
s4,1,0.445714,0.581529,[ 4 26] ; [20 83],[ 5.41353383 24.58646617] ; [18.58646617 84.41353383],0
r3,1,0.471847,0.517647,[24  6] ; [75 27],[22.5  7.5] ; [76.5 25.5],0
u3,1,0.496398,0.462628,[4 5] ; [13 27],[3.12244898 5.87755102] ; [13.87755102 26.12244898],0
u2,1,0.509268,0.435572,[4 4] ; [15 25],[3.16666667 4.83333333] ; [15.83333333 24.16666667],0
r4,1,0.516096,0.421688,[16 14] ; [48 55],[14.43609023 15.56390977] ; [49.56390977 53.43609023],0
d1,1,0.523199,0.407582,[13 17] ; [38 65],[11.5037594 18.4962406] ; [39.4962406 63.5037594],0
n3,1,0.532375,0.389857,[9 4] ; [22 15],[8.06 4.94] ; [22.94 14.06],0
