Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000177,14.065711,[15  6] ; [13 40],[ 7.94594595 13.05405405] ; [20.05405405 32.94594595],1
p4,1,0.001793,9.75,[14 10] ; [12 42],[ 8. 16.] ; [18. 36.],0
p11,1,0.003241,8.666667,[18  6] ; [21 33],[12. 12.] ; [27. 27.],0
p10,1,0.021274,5.304212,[18  5] ; [27 27],[13.44155844  9.55844156] ; [31.55844156 22.44155844],0
a7,1,0.025614,4.981874,[17  7] ; [23 30],[12.46753247 11.53246753] ; [27.53246753 25.46753247],0
p5,1,0.035881,4.402741,[ 5 18] ; [ 3 50],[ 2.42105263 20.57894737] ; [ 5.57894737 47.42105263],0
s7,1,0.06517,3.400675,[11 12] ; [13 37],[ 7.56164384 15.43835616] ; [16.43835616 33.56164384],0
a3,1,0.065594,3.38998,[11 13] ; [36 17],[14.64935065  9.35064935] ; [32.35064935 20.64935065],0
s8,1,0.068862,3.309939,[ 7 16] ; [ 7 47],[ 4.18181818 18.81818182] ; [ 9.81818182 44.18181818],0
b1,1,0.069949,3.284211,[ 8 16] ; [30 24],[11.69230769 12.30769231] ; [26.30769231 27.69230769],0
p6,1,0.078995,3.085451,[ 9 15] ; [10 43],[ 5.92207792 18.07792208] ; [13.07792208 39.92207792],0
s2,1,0.088643,2.89884,[11 12] ; [15 39],[ 7.76623377 15.23376623] ; [18.23376623 35.76623377],0
v4,1,0.09903,2.721088,[18  3] ; [36 18],[15.12  5.88] ; [38.88 15.12],0
n4,1,0.115721,2.474298,[11 13] ; [35 19],[14.15384615  9.84615385] ; [31.84615385 22.15384615],0
d2,1,0.138701,2.192308,[ 9 15] ; [29 23],[12. 12.] ; [26. 26.],0
n3,1,0.139464,2.183863,[4 9] ; [14 11],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
u3,1,0.141454,2.162075,[7 6] ; [ 5 13],[5.03225806 7.96774194] ; [ 6.96774194 11.03225806],0
s1,1,0.143229,2.142922,[ 3 21] ; [ 2 52],[ 1.53846154 22.46153846] ; [ 3.46153846 50.53846154],0
a1,1,0.174287,1.845679,[ 1 23] ; [ 8 46],[ 2.76923077 21.23076923] ; [ 6.23076923 47.76923077],0
u2,1,0.175823,1.832579,[7 6] ; [ 5 12],[5.2 7.8] ; [ 6.8 10.2],0
p1,1,0.188804,1.726925,[ 4 19] ; [ 4 50],[ 2.38961039 20.61038961] ; [ 5.61038961 48.38961039],0
a4,1,0.235637,1.406506,[ 7 17] ; [23 30],[ 9.35064935 14.64935065] ; [20.64935065 32.35064935],0
d1,1,0.241373,1.372555,[ 9 15] ; [28 26],[11.38461538 12.61538462] ; [25.61538462 28.38461538],0
n2,1,0.253579,1.303476,[9 4] ; [13 13],[7.33333333 5.66666667] ; [14.66666667 11.33333333],0
v1,1,0.299109,1.078162,[ 6 17] ; [20 32],[ 7.97333333 15.02666667] ; [18.02666667 33.97333333],0
n5,1,0.312626,1.019549,[13 10] ; [37 17],[14.93506494  8.06493506] ; [35.06493506 18.93506494],0
b2,1,0.316578,1.003031,[ 4 11] ; [11 15],[5.48780488 9.51219512] ; [ 9.51219512 16.48780488],0
b3,1,0.316578,1.003031,[ 4 11] ; [11 15],[5.48780488 9.51219512] ; [ 9.51219512 16.48780488],0
p3,1,0.324932,0.968992,[ 9 15] ; [14 39],[ 7.16883117 16.83116883] ; [15.83116883 37.16883117],0
p2,1,0.358561,0.842926,[15  8] ; [28 24],[13.18666667  9.81333333] ; [29.81333333 22.18666667],0
s4,1,0.373914,0.790614,[ 5 19] ; [ 7 47],[ 3.69230769 20.30769231] ; [ 8.30769231 45.69230769],0
b5,1,0.382837,0.761573,[15  9] ; [28 26],[13.23076923 10.76923077] ; [29.76923077 24.23076923],0
v3,1,0.386425,0.750161,[ 5 18] ; [17 37],[ 6.57142857 16.42857143] ; [15.42857143 38.57142857],0
d5,1,0.390537,0.737269,[15  9] ; [39 15],[16.61538462  7.38461538] ; [37.38461538 16.61538462],0
u1,1,0.392242,0.731982,[ 2 22] ; [ 2 52],[ 1.23076923 22.76923077] ; [ 2.76923077 51.23076923],0
v2,1,0.397692,0.715295,[ 7 17] ; [20 31],[ 8.64 15.36] ; [18.36 32.64],0
r3,1,0.425125,0.636105,[14  9] ; [27 26],[12.40789474 10.59210526] ; [28.59210526 24.40789474],0
a6,1,0.543796,0.368549,[12 12] ; [31 23],[13.23076923 10.76923077] ; [29.76923077 24.23076923],0
n6,1,0.616285,0.251123,[14  8] ; [31 23],[13.02631579  8.97368421] ; [31.97368421 22.02631579],0
s3,1,0.617661,0.249169,[ 8 13] ; [24 30],[ 8.96 12.04] ; [23.04 30.96],0
r1,1,0.635951,0.224077,[ 6 17] ; [17 37],[ 6.87012987 16.12987013] ; [16.12987013 37.87012987],0
d4,1,0.641067,0.217349,[15  9] ; [36 17],[15.8961039  8.1038961] ; [35.1038961 17.8961039],0
a5,1,0.649644,0.206349,[12 12] ; [30 24],[12.92307692 11.07692308] ; [29.07692308 24.92307692],0
a2,1,0.664461,0.18815,[ 4 20] ; [ 7 47],[ 3.38461538 20.61538462] ; [ 7.61538462 46.38461538],0
s6,1,0.666372,0.185875,[ 7 15] ; [20 34],[ 7.81578947 14.18421053] ; [19.18421053 34.81578947],0
b4,1,0.673009,0.178102,[15  9] ; [31 23],[14.15384615  9.84615385] ; [31.84615385 22.15384615],0
p9,1,0.739673,0.110414,[15  9] ; [31 22],[14.33766234  9.66233766] ; [31.66233766 21.33766234],0
s5,1,0.79979,0.064322,[ 4 18] ; [11 42],[ 4.4 17.6] ; [10.6 42.4],0
d3,1,0.887041,0.020178,[14 10] ; [30 23],[13.71428571 10.28571429] ; [30.28571429 22.71428571],0
n1,1,1.0,0.0,[5 8] ; [10 16],[5. 8.] ; [10. 16.],0
