Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.514625,[54 12] ; [18 28],[42.42857143 23.57142857] ; [29.57142857 16.42857143],1
d4,1,3.4e-05,17.158034,[55 10] ; [22 24],[45.09009009 19.90990991] ; [31.90990991 14.09009009],1
v2,1,0.001201,10.489258,[31 31] ; [ 9 37],[22.96296296 39.03703704] ; [17.03703704 28.96296296],0
d1,1,0.001775,9.769292,[32 34] ; [ 9 37],[24.16071429 41.83928571] ; [16.83928571 29.16071429],0
a5,1,0.003597,8.476947,[37 29] ; [13 33],[29.46428571 36.53571429] ; [20.53571429 25.46428571],0
s4,1,0.011461,6.392411,[ 3 63] ; [ 9 37],[ 7.07142857 58.92857143] ; [ 4.92857143 41.07142857],0
a3,1,0.012684,6.212603,[45 21] ; [20 25],[38.64864865 27.35135135] ; [26.35135135 18.64864865],0
v3,1,0.015131,5.901176,[15 46] ; [ 3 42],[10.35849057 50.64150943] ; [ 7.64150943 37.35849057],0
p11,1,0.019724,5.436142,[46 20] ; [22 24],[40.07142857 25.92857143] ; [27.92857143 18.07142857],0
d3,1,0.022837,5.180892,[43 23] ; [19 25],[37.2 28.8] ; [24.8 19.2],0
s3,1,0.027447,4.862493,[11 55] ; [16 30],[15.91071429 50.08928571] ; [11.08928571 34.91071429],0
r2,1,0.030383,4.687473,[57  9] ; [32 14],[52.44642857 13.55357143] ; [36.55357143  9.44642857],0
a4,1,0.045929,3.98419,[21 45] ; [ 7 39],[16.5 49.5] ; [11.5 34.5],0
d5,1,0.047444,3.929582,[46 20] ; [23 22],[41.02702703 24.97297297] ; [27.97297297 17.02702703],0
a2,1,0.056763,3.62953,[ 8 58] ; [ 1 45],[ 5.30357143 60.69642857] ; [ 3.69642857 42.30357143],0
p8,1,0.063778,3.436297,[27 38] ; [11 34],[22.45454545 42.54545455] ; [15.54545455 29.45454545],0
s2,1,0.06421,3.425165,[ 7 58] ; [11 35],[10.54054054 54.45945946] ; [ 7.45945946 38.54054054],0
b4,1,0.073765,3.197189,[40 26] ; [20 26],[35.35714286 30.64285714] ; [24.64285714 21.35714286],0
v1,1,0.100917,2.690985,[24 41] ; [10 35],[20.09090909 44.90909091] ; [13.90909091 31.09090909],0
v4,1,0.105616,2.618623,[59  6] ; [36  9],[56.13636364  8.86363636] ; [38.86363636  6.13636364],0
b1,1,0.150252,2.069692,[24 42] ; [23 23],[27.69642857 38.30357143] ; [19.30357143 26.69642857],0
