Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.348984,[46 52] ; [14 81],[30.46632124 67.53367876] ; [29.53367876 65.46632124],1
p6,1,0.000983,10.859578,[27 69] ; [ 9 86],[18.09424084 77.90575916] ; [17.90575916 77.09424084],1
r3,1,0.004921,7.908118,[96  1] ; [86 10],[91.47150259  5.52849741] ; [90.52849741  5.47150259],0
p3,1,0.007233,7.214181,[33 65] ; [16 79],[24.88082902 73.11917098] ; [24.11917098 70.88082902],0
a8,1,0.01616,5.785387,[22 68] ; [10 82],[15.82417582 74.17582418] ; [16.17582418 75.82417582],0
n6,1,0.031403,4.630798,[78 18] ; [65 31],[71.5 24.5] ; [71.5 24.5],0
v2,1,0.04479,4.026537,[56 35] ; [41 47],[49.31284916 41.68715084] ; [47.68715084 40.31284916],0
p2,1,0.062819,3.46135,[77 21] ; [64 32],[71.22680412 26.77319588] ; [69.77319588 26.22680412],0
b1,1,0.06746,3.343758,[42 56] ; [29 67],[35.86597938 62.13402062] ; [35.13402062 60.86597938],0
r4,1,0.067822,3.33497,[87 11] ; [76 20],[82.34020619 15.65979381] ; [80.65979381 15.34020619],0
n4,1,0.069006,3.306498,[76 21] ; [64 32],[70.3626943 26.6373057] ; [69.6373057 26.3626943],0
n5,1,0.090885,2.858619,[70 26] ; [59 37],[64.5 31.5] ; [64.5 31.5],0
n2,1,0.121141,2.402501,[23  3] ; [26 10],[20.5483871  5.4516129] ; [28.4516129  7.5483871],0
s8,1,0.146283,2.110585,[50 48] ; [39 57],[44.95876289 53.04123711] ; [44.04123711 51.95876289],0
a4,1,0.150642,2.065737,[34 64] ; [43 53],[38.89690722 59.10309278] ; [38.10309278 57.89690722],0
r1,1,0.158023,1.993042,[79 18] ; [70 26],[74.88601036 22.11398964] ; [74.11398964 21.88601036],0
s5,1,0.181069,1.788826,[37 58] ; [26 62],[32.70491803 62.29508197] ; [30.29508197 57.70491803],0
v4,1,0.195951,1.672295,[90  6] ; [84 11],[87.45549738  8.54450262] ; [86.54450262  8.45549738],0
s7,1,0.197699,1.659292,[56 41] ; [44 47],[51.59574468 45.40425532] ; [48.40425532 42.59574468],0
p10,1,0.278634,1.173738,[76 21] ; [68 27],[72.75 24.25] ; [71.25 23.75],0
b4,1,0.284731,1.144368,[57 41] ; [63 33],[60.6185567 37.3814433] ; [59.3814433 36.6185567],0
p11,1,0.297332,1.086122,[73 25] ; [65 31],[69.71134021 28.28865979] ; [68.28865979 27.71134021],0
p9,1,0.313658,1.015208,[80 17] ; [72 22],[77.19371728 19.80628272] ; [74.80628272 19.19371728],0
s4,1,0.339181,0.913525,[18 79] ; [23 72],[20.71354167 76.28645833] ; [20.28645833 74.71354167],0
n3,1,0.380732,0.768336,[21  6] ; [23 11],[19.47540984  7.52459016] ; [24.52459016  9.47540984],0
u3,1,0.415619,0.662669,[17 15] ; [19 11],[18.58064516 13.41935484] ; [17.41935484 12.58064516],0
s2,1,0.47504,0.510227,[69 29] ; [63 33],[66.68041237 31.31958763] ; [65.31958763 30.68041237],0
d1,1,0.475291,0.509648,[45 53] ; [49 47],[47.48453608 50.51546392] ; [46.51546392 49.48453608],0
d3,1,0.504083,0.44633,[54 43] ; [58 38],[56.29015544 40.70984456] ; [55.70984456 40.29015544],0
a2,1,0.523276,0.407432,[15 83] ; [18 78],[16.67010309 81.32989691] ; [16.32989691 79.67010309],0
p5,1,0.542459,0.371001,[ 1 97] ; [ 2 93],[ 1.52331606 96.47668394] ; [ 1.47668394 93.52331606],0
v1,1,0.55636,0.346047,[45 48] ; [41 52],[43. 50.] ; [43. 50.],0
s1,1,0.560527,0.338792,[ 6 92] ; [ 4 90],[ 5.10416667 92.89583333] ; [ 4.89583333 89.10416667],0
p1,1,0.565176,0.330821,[ 6 91] ; [ 8 88],[ 7.03626943 89.96373057] ; [ 6.96373057 89.03626943],0
