Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.414894,[34  6] ; [11 22],[24.65753425 15.34246575] ; [20.34246575 12.65753425],1
n6,1,0.000308,13.021194,[35  4] ; [17 16],[28.16666667 10.83333333] ; [23.83333333  9.16666667],1
p11,1,0.008717,6.879832,[28 12] ; [13 20],[22.46575342 17.53424658] ; [18.53424658 14.46575342],0
r2,1,0.036003,4.396975,[38  2] ; [26  7],[35.06849315  4.93150685] ; [28.93150685  4.06849315],0
a7,1,0.037699,4.318565,[32  8] ; [19 14],[27.94520548 12.05479452] ; [23.05479452  9.94520548],0
r1,1,0.068484,3.318992,[32  8] ; [20 13],[28.49315068 11.50684932] ; [23.50684932  9.49315068],0
r4,1,0.110582,2.545881,[35  5] ; [24  9],[32.32876712  7.67123288] ; [26.67123288  6.32876712],0
n1,1,0.119467,2.424298,[5 4] ; [ 3 10],[3.27272727 5.72727273] ; [4.72727273 8.27272727],0
s7,1,0.122976,2.379009,[17 22] ; [ 8 23],[13.92857143 25.07142857] ; [11.07142857 19.92857143],0
u3,1,0.139883,2.179243,[ 7 11] ; [12  7],[9.24324324 8.75675676] ; [9.75675676 9.24324324],0
p10,1,0.146102,2.112485,[13 26] ; [ 6 27],[10.29166667 28.70833333] ; [ 8.70833333 24.29166667],0
s8,1,0.171946,1.865899,[14 25] ; [ 7 26],[11.375 27.625] ; [ 9.625 23.375],0
a5,1,0.173429,1.853052,[28 12] ; [18 15],[25.20547945 14.79452055] ; [20.79452055 12.20547945],0
u1,1,0.248672,1.330747,[ 9 31] ; [ 4 29],[ 7.12328767 32.87671233] ; [ 5.87671233 27.12328767],0
s3,1,0.266715,1.233566,[24 15] ; [16 17],[21.66666667 17.33333333] ; [18.33333333 14.66666667],0
a3,1,0.284789,1.144092,[22 18] ; [14 19],[19.7260274 20.2739726] ; [16.2739726 16.7260274],0
b2,1,0.290338,1.118052,[ 9 21] ; [ 4 19],[ 7.35849057 22.64150943] ; [ 5.64150943 17.35849057],0
b3,1,0.290338,1.118052,[ 9 21] ; [ 4 19],[ 7.35849057 22.64150943] ; [ 5.64150943 17.35849057],0
v4,1,0.297605,1.084897,[37  3] ; [28  5],[35.61643836  4.38356164] ; [29.38356164  3.61643836],0
a8,1,0.317009,1.001246,[ 3 30] ; [ 1 31],[ 2.03076923 30.96923077] ; [ 1.96923077 30.03076923],0
n3,1,0.340144,0.90989,[8 2] ; [8 5],[6.95652174 3.04347826] ; [9.04347826 3.95652174],0
r3,1,0.352383,0.864858,[35  5] ; [31  2],[36.16438356  3.83561644] ; [29.83561644  3.16438356],0
s5,1,0.373277,0.792728,[ 7 31] ; [ 9 24],[ 8.56338028 29.43661972] ; [ 7.43661972 25.56338028],0
s6,1,0.410024,0.678731,[25 14] ; [18 15],[23.29166667 15.70833333] ; [19.70833333 13.29166667],0
b4,1,0.491771,0.472648,[25 15] ; [18 15],[23.56164384 16.43835616] ; [19.43835616 13.56164384],0
a2,1,0.522593,0.408772,[ 7 33] ; [ 4 29],[ 6.02739726 33.97260274] ; [ 4.97260274 28.02739726],0
d1,1,0.549009,0.359096,[21 19] ; [15 18],[19.7260274 20.2739726] ; [16.2739726 16.7260274],0
v1,1,0.55706,0.34482,[16 24] ; [11 22],[14.79452055 25.20547945] ; [12.20547945 20.79452055],0
a6,1,0.638893,0.220193,[24 16] ; [18 15],[23.01369863 16.98630137] ; [18.98630137 14.01369863],0
p1,1,0.642596,0.215363,[ 5 35] ; [ 3 30],[ 4.38356164 35.61643836] ; [ 3.61643836 29.38356164],0
p8,1,0.650178,0.205675,[21 18] ; [16 17],[20.04166667 18.95833333] ; [16.95833333 16.04166667],0
d5,1,0.662779,0.190165,[32  8] ; [25  8],[31.23287671  8.76712329] ; [25.76712329  7.23287671],0
u2,1,0.67558,0.175144,[ 6 11] ; [ 8 11],[ 6.61111111 10.38888889] ; [ 7.38888889 11.61111111],0
d2,1,0.698829,0.149692,[20 20] ; [15 18],[19.17808219 20.82191781] ; [15.82191781 17.17808219],0
v3,1,0.729176,0.119869,[13 27] ; [12 21],[13.69863014 26.30136986] ; [11.30136986 21.69863014],0
p7,1,0.732654,0.116688,[24 15] ; [19 14],[23.29166667 15.70833333] ; [19.70833333 13.29166667],0
n2,1,0.780512,0.077647,[8 2] ; [9 3],[7.72727273 2.27272727] ; [9.27272727 2.72727273],0
