Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.8e-05,17.543897,[123  19] ; [20 16],[114.07865169  27.92134831] ; [28.92134831  7.07865169],1
p10,1,4.7e-05,16.580406,[123  22] ; [20 17],[113.92857143  31.07142857] ; [29.07142857  7.92857143],1
s1,1,0.000109,14.973286,[  5 138] ; [ 8 28],[ 10.38547486 132.61452514] ; [ 2.61452514 33.38547486],1
n6,1,0.000738,11.39077,[121  22] ; [22 15],[113.60555556  29.39444444] ; [29.39444444  7.60555556],1
p11,1,0.001117,10.622072,[114  32] ; [19 18],[106.10928962  39.89071038] ; [26.89071038 10.10928962],0
p4,1,0.001397,10.20999,[90 56] ; [12 25],[81.37704918 64.62295082] ; [20.62295082 16.37704918],0
n5,1,0.005042,7.864262,[108  36] ; [19 18],[101.03867403  42.96132597] ; [25.96132597 11.03867403],0
d5,1,0.00915,6.793364,[115  30] ; [21 15],[108.95027624  36.04972376] ; [27.04972376  8.95027624],0
r4,1,0.012401,6.252633,[130  16] ; [27 10],[125.2568306  20.7431694] ; [31.7431694  5.2568306],0
n4,1,0.014971,5.919873,[112  34] ; [21 16],[106.10928962  39.89071038] ; [26.89071038 10.10928962],0
r3,1,0.017743,5.62131,[138   5] ; [32  5],[135.05555556   7.94444444] ; [34.94444444  2.05555556],0
a7,1,0.022821,5.182084,[119  26] ; [24 13],[113.92857143  31.07142857] ; [29.07142857  7.92857143],0
v4,1,0.029262,4.752128,[137   8] ; [31  6],[133.84615385  11.15384615] ; [34.15384615  2.84615385],0
p7,1,0.038225,4.294976,[92 50] ; [16 19],[86.6440678 55.3559322] ; [21.3559322 13.6440678],0
a6,1,0.040112,4.213145,[96 50] ; [17 19],[90.64835165 55.35164835] ; [22.35164835 13.64835165],0
s7,1,0.086846,2.931892,[70 74] ; [11 23],[65.52808989 78.47191011] ; [15.47191011 18.52808989],0
r2,1,0.091844,2.841752,[137   8] ; [32  5],[134.64285714  10.35714286] ; [34.35714286  2.64285714],0
s5,1,0.103561,2.649828,[62 80] ; [10 25],[57.76271186 84.23728814] ; [14.23728814 20.76271186],0
n1,1,0.117942,2.444444,[ 6 26] ; [5 7],[ 8. 24.] ; [3. 9.],0
u2,1,0.153029,2.04179,[30 20] ; [4 7],[27.86885246 22.13114754] ; [6.13114754 4.86885246],0
p5,1,0.172591,1.860295,[ 14 132] ; [ 1 36],[ 11.96721311 134.03278689] ; [ 3.03278689 33.96721311],0
