Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.2e-05,17.97551,[ 8 59] ; [18 18],[16.91262136 50.08737864] ; [ 9.08737864 26.91262136],1
p3,1,4.6e-05,16.604932,[12 55] ; [21 16],[21.25961538 45.74038462] ; [11.74038462 25.25961538],1
p7,1,0.000802,11.237454,[25 40] ; [27 10],[33.1372549 31.8627451] ; [18.8627451 18.1372549],1
p2,1,0.00229,9.301587,[28 39] ; [27 10],[35.43269231 31.56730769] ; [19.56730769 17.43269231],0
s3,1,0.00679,7.327586,[22 44] ; [22 14],[28.47058824 37.52941176] ; [15.52941176 20.47058824],0
d3,1,0.032257,4.584798,[17 50] ; [17 20],[21.90384615 45.09615385] ; [12.09615385 24.90384615],0
u2,1,0.033492,4.520429,[19 14] ; [ 7 17],[15.05263158 17.94736842] ; [10.94736842 13.05263158],0
r4,1,0.038465,4.284355,[39 28] ; [29  8],[43.80769231 23.19230769] ; [24.19230769 12.80769231],0
s8,1,0.055982,3.652607,[ 8 58] ; [10 27],[11.53398058 54.46601942] ; [ 6.46601942 30.53398058],0
r3,1,0.056542,3.636007,[46 20] ; [32  5],[49.98058252 16.01941748] ; [28.01941748  8.98058252],0
n2,1,0.087227,2.924817,[17 11] ; [9 1],[19.15789474  8.84210526] ; [6.84210526 3.15789474],0
s7,1,0.088695,2.897894,[12 49] ; [13 24],[15.56122449 45.43877551] ; [ 9.43877551 27.56122449],0
n3,1,0.096821,2.757147,[16 10] ; [9 1],[18.05555556  7.94444444] ; [6.94444444 3.05555556],0
n1,1,0.102992,2.658588,[10 18] ; [6 3],[12.10810811 15.89189189] ; [3.89189189 5.10810811],0
p1,1,0.105776,2.616229,[ 2 64] ; [ 4 33],[ 3.84466019 62.15533981] ; [ 2.15533981 34.84466019],0
v2,1,0.121361,2.399673,[18 46] ; [16 21],[21.54455446 42.45544554] ; [12.45544554 24.54455446],0
s6,1,0.125994,2.341177,[22 44] ; [18 19],[25.63106796 40.36893204] ; [14.36893204 22.63106796],0
a3,1,0.145416,2.119689,[33 33] ; [13 24],[29.47572816 36.52427184] ; [16.52427184 20.47572816],0
a5,1,0.165365,1.924471,[25 42] ; [19 18],[28.34615385 38.65384615] ; [15.65384615 21.34615385],0
p6,1,0.176964,1.822938,[12 54] ; [11 26],[14.73786408 51.26213592] ; [ 8.26213592 28.73786408],0
v4,1,0.18246,1.777474,[49 16] ; [32  5],[51.61764706 13.38235294] ; [29.38235294  7.61764706],0
b3,1,0.182925,1.773701,[14 24] ; [ 5 19],[11.64516129 26.35483871] ; [ 7.35483871 16.64516129],0
b2,1,0.182925,1.773701,[14 24] ; [ 5 19],[11.64516129 26.35483871] ; [ 7.35483871 16.64516129],0
n6,1,0.196954,1.664818,[36 30] ; [25 12],[39.08737864 26.91262136] ; [21.91262136 15.08737864],0
d4,1,0.197656,1.659611,[36 31] ; [15 22],[32.85576923 34.14423077] ; [18.14423077 18.85576923],0
v3,1,0.236521,1.401208,[17 47] ; [14 23],[19.64356436 44.35643564] ; [11.35643564 25.64356436],0
d5,1,0.241973,1.369064,[30 37] ; [21 16],[32.85576923 34.14423077] ; [18.14423077 18.85576923],0
p5,1,0.242316,1.36707,[ 1 66] ; [ 2 34],[ 1.95145631 65.04854369] ; [ 1.04854369 34.95145631],0
u1,1,0.253713,1.30274,[ 1 66] ; [ 2 35],[ 1.93269231 65.06730769] ; [ 1.06730769 35.93269231],0
s4,1,0.279626,1.168909,[ 9 58] ; [ 8 29],[10.95192308 56.04807692] ; [ 6.04807692 30.95192308],0
a4,1,0.298455,1.081084,[15 52] ; [ 5 31],[13.00970874 53.99029126] ; [ 6.99029126 29.00970874],0
n4,1,0.317296,1.000058,[44 22] ; [21 16],[41.65048544 24.34951456] ; [23.34951456 13.65048544],0
s5,1,0.31829,0.99596,[ 8 58] ; [ 7 29],[ 9.70588235 56.29411765] ; [ 5.29411765 30.70588235],0
a1,1,0.318902,0.993444,[ 5 62] ; [ 1 36],[ 3.86538462 63.13461538] ; [ 2.13461538 34.86538462],0
s2,1,0.329356,0.951427,[18 49] ; [13 23],[20.16504854 46.83495146] ; [10.83495146 25.16504854],0
a7,1,0.340519,0.908477,[31 35] ; [21 16],[33.32038835 32.67961165] ; [18.67961165 18.32038835],0
d2,1,0.359536,0.839513,[16 51] ; [ 6 31],[14.17307692 52.82692308] ; [ 7.82692308 29.17307692],0
b1,1,0.393476,0.728174,[34 33] ; [22 15],[36.07692308 30.92307692] ; [19.92307692 17.07692308],0
p10,1,0.394465,0.725135,[12 55] ; [ 9 27],[13.66019417 53.33980583] ; [ 7.33980583 28.66019417],0
v1,1,0.405807,0.691051,[20 47] ; [14 23],[21.90384615 45.09615385] ; [12.09615385 24.90384615],0
b5,1,0.429457,0.624292,[38 29] ; [18 19],[36.07692308 30.92307692] ; [19.92307692 17.07692308],0
r2,1,0.431333,0.619231,[51 15] ; [31  6],[52.54368932 13.45631068] ; [29.45631068  7.54368932],0
a6,1,0.447046,0.57813,[31 36] ; [20 17],[32.85576923 34.14423077] ; [18.14423077 18.85576923],0
p11,1,0.520151,0.413593,[30 37] ; [19 18],[31.56730769 35.43269231] ; [17.43269231 19.56730769],0
a2,1,0.65227,0.20305,[ 3 64] ; [ 1 36],[ 2.57692308 64.42307692] ; [ 1.42307692 35.57692308],0
n5,1,0.755213,0.097202,[36 30] ; [19 18],[35.24271845 30.75728155] ; [19.75728155 17.24271845],0
b4,1,0.885888,0.020595,[39 28] ; [21 16],[38.65384615 28.34615385] ; [21.34615385 15.65384615],0
u3,1,0.897041,0.016744,[15 19] ; [11 13],[15.24137931 18.75862069] ; [10.75862069 13.24137931],0
s1,1,0.937363,0.006176,[ 7 59] ; [ 4 32],[ 7.11764706 58.88235294] ; [ 3.88235294 32.11764706],0
a8,1,0.963557,0.002088,[ 6 58] ; [ 3 30],[ 5.93814433 58.06185567] ; [ 3.06185567 29.93814433],0
r1,1,0.976648,0.000857,[43 23] ; [24 13],[42.93203883 23.06796117] ; [24.06796117 12.93203883],0
