Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.9e-05,16.140541,[50 87] ; [23  7],[59.88622754 77.11377246] ; [13.11377246 16.88622754],1
a8,1,0.000664,11.587969,[  3 127] ; [ 5 23],[  6.58227848 123.41772152] ; [ 1.41772152 26.58227848],1
p11,1,0.00626,7.473785,[84 55] ; [26  4],[90.47337278 48.52662722] ; [19.52662722 10.47337278],0
r4,1,0.018657,5.533365,[102  37] ; [28  2],[106.92307692  32.07692308] ; [23.07692308  6.92307692],0
s2,1,0.025454,4.992707,[ 36 102] ; [14 16],[41.07142857 96.92857143] ; [ 8.92857143 21.07142857],0
p3,1,0.026211,4.942041,[40 98] ; [15 15],[45.17857143 92.82142857] ; [ 9.82142857 20.17857143],0
p9,1,0.032628,4.565217,[87 51] ; [25  5],[92. 46.] ; [20. 10.],0
s3,1,0.035126,4.439025,[44 90] ; [16 14],[49.02439024 84.97560976] ; [10.97560976 19.02439024],0
n4,1,0.037649,4.320815,[42 97] ; [15 15],[46.8816568 92.1183432] ; [10.1183432 19.8816568],0
u2,1,0.081931,3.026172,[31 34] ; [9 3],[33.76623377 31.23376623] ; [6.23376623 5.76623377],0
p6,1,0.082194,3.020984,[ 22 113] ; [ 9 21],[ 25.36363636 109.63636364] ; [ 5.63636364 24.36363636],0
u3,1,0.090813,2.859896,[31 33] ; [9 3],[33.68421053 30.31578947] ; [6.31578947 5.68421053],0
a4,1,0.100162,2.702964,[ 39 100] ; [13 17],[42.76923077 96.23076923] ; [ 9.23076923 20.76923077],0
d2,1,0.116268,2.466882,[44 95] ; [14 16],[47.70414201 91.29585799] ; [10.29585799 19.70414201],0
r1,1,0.133168,2.25518,[91 47] ; [24  6],[94.46428571 43.53571429] ; [20.53571429  9.46428571],0
n2,1,0.135036,2.23363,[27 18] ; [7 1],[28.86792453 16.13207547] ; [5.13207547 2.86792453],0
p10,1,0.144176,2.132817,[76 61] ; [21  9],[79.5748503 57.4251497] ; [17.4251497 12.5748503],0
p2,1,0.161195,1.962984,[97 40] ; [25  5],[100.08383234  36.91616766] ; [21.91616766  8.08383234],0
v4,1,0.170942,1.874661,[121  16] ; [29  1],[123.05389222  13.94610778] ; [26.94610778  3.05389222],0
v3,1,0.177169,1.821215,[ 30 103] ; [10 19],[ 32.83950617 100.16049383] ; [ 7.16049383 21.83950617],0
p4,1,0.184908,1.757731,[51 87] ; [15 15],[54.21428571 83.78571429] ; [11.78571429 18.21428571],0
d1,1,0.202804,1.622068,[61 78] ; [17 13],[64.15384615 74.84615385] ; [13.84615385 16.15384615],0
s4,1,0.333942,0.933549,[ 18 121] ; [ 2 28],[ 16.44970414 122.55029586] ; [ 3.55029586 26.44970414],0
a2,1,0.34383,0.896098,[ 11 128] ; [ 4 26],[ 12.33727811 126.66272189] ; [ 2.66272189 27.33727811],0
v1,1,0.344514,0.893563,[43 94] ; [11 16],[45.1097561 91.8902439] ; [ 8.8902439 18.1097561],0
d5,1,0.355921,0.852235,[94 44] ; [23  7],[96.10714286 41.89285714] ; [20.89285714  9.10714286],0
a5,1,0.386067,0.751294,[76 63] ; [19 11],[78.13609467 60.86390533] ; [16.86390533 13.13609467],0
u1,1,0.392706,0.730546,[  8 131] ; [ 3 27],[  9.04733728 129.95266272] ; [ 1.95266272 28.04733728],0
p1,1,0.405353,0.692388,[  8 129] ; [ 3 27],[  9.0239521 127.9760479] ; [ 1.9760479 28.0239521],0
a3,1,0.479246,0.500578,[73 65] ; [18 12],[74.75 63.25] ; [16.25 13.75],0
n6,1,0.524377,0.405276,[84 55] ; [20 10],[85.53846154 53.46153846] ; [18.46153846 11.53846154],0
p7,1,0.579206,0.30752,[66 72] ; [15 13],[67.3373494 70.6626506] ; [13.6626506 14.3373494],0
s1,1,0.58251,0.302195,[  6 133] ; [ 2 28],[  6.57988166 132.42011834] ; [ 1.42011834 28.57988166],0
p12,1,0.58251,0.302195,[  6 133] ; [ 2 28],[  6.57988166 132.42011834] ; [ 1.42011834 28.57988166],0
a1,1,0.58251,0.302195,[  6 133] ; [ 2 28],[  6.57988166 132.42011834] ; [ 1.42011834 28.57988166],0
n3,1,0.597359,0.278997,[33 13] ; [5 3],[32.37037037 13.62962963] ; [5.62962963 2.37037037],0
b2,1,0.630667,0.231158,[16 49] ; [ 6 14],[16.82352941 48.17647059] ; [ 5.17647059 14.82352941],0
b3,1,0.630667,0.231158,[16 49] ; [ 6 14],[16.82352941 48.17647059] ; [ 5.17647059 14.82352941],0
d3,1,0.654674,0.200058,[86 52] ; [20 10],[87.07142857 50.92857143] ; [18.92857143 11.07142857],0
a6,1,0.70292,0.145452,[84 55] ; [17 13],[83.07100592 55.92899408] ; [17.92899408 12.07100592],0
n1,1,0.724638,0.124092,[ 9 37] ; [2 6],[ 9.37037037 36.62962963] ; [1.62962963 6.37037037],0
r2,1,0.756422,0.096213,[120  17] ; [26  3],[120.4939759  16.5060241] ; [25.5060241  3.4939759],0
b5,1,0.790836,0.070344,[87 52] ; [18 12],[86.36094675 52.63905325] ; [18.63905325 11.36094675],0
s5,1,0.793535,0.068499,[ 27 108] ; [ 6 21],[ 27.5 107.5] ; [ 5.5 21.5],0
a7,1,0.798871,0.064928,[98 40] ; [22  8],[98.57142857 39.42857143] ; [21.42857143  8.57142857],0
d4,1,0.833444,0.04422,[109  30] ; [23  7],[108.56804734  30.43195266] ; [23.43195266  6.56804734],0
b1,1,0.848538,0.036475,[53 86] ; [12 18],[53.46153846 85.53846154] ; [11.53846154 18.46153846],0
b4,1,0.861774,0.030317,[81 58] ; [18 12],[81.4260355 57.5739645] ; [17.5739645 12.4260355],0
p5,1,0.938197,0.006012,[  5 133] ; [ 1 29],[  4.92857143 133.07142857] ; [ 1.07142857 28.92857143],0
v2,1,0.981948,0.000512,[65 69] ; [14 15],[64.94478528 69.05521472] ; [14.05521472 14.94478528],0
p8,1,0.988277,0.000216,[55 83] ; [12 18],[55.03571429 82.96428571] ; [11.96428571 18.03571429],0
