Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.7e-05,17.609363,[84  3] ; [36 14],[76.20437956 10.79562044] ; [43.79562044  6.20437956],1
p9,1,3.6e-05,17.059802,[65 21] ; [18 28],[54.07575758 31.92424242] ; [28.92424242 17.07575758],1
p10,1,0.000253,13.388511,[64 23] ; [20 28],[54.13333333 32.86666667] ; [29.86666667 18.13333333],1
n4,1,0.01508,5.907056,[69 18] ; [30 20],[62.86861314 24.13138686] ; [36.13138686 13.86861314],0
b1,1,0.025684,4.977169,[35 52] ; [30 20],[41.27737226 45.72262774] ; [23.72262774 26.27737226],0
r4,1,0.047713,3.920071,[76 11] ; [37 13],[71.75912409 15.24087591] ; [41.24087591  8.75912409],0
p12,1,0.048985,3.875861,[10 77] ; [ 1 49],[ 6.98540146 80.01459854] ; [ 4.01459854 45.98540146],0
u2,1,0.051145,3.803505,[19 16] ; [ 4 12],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
b4,1,0.054626,3.693478,[58 29] ; [25 25],[52.7080292 34.2919708] ; [30.2919708 19.7080292],0
v1,1,0.071738,3.242801,[38 45] ; [15 35],[33.07518797 49.92481203] ; [19.92481203 30.07518797],0
d5,1,0.095707,2.77567,[56 31] ; [39 11],[60.32846715 26.67153285] ; [34.67153285 15.32846715],0
p4,1,0.098473,2.73011,[34 53] ; [12 36],[29.64444444 57.35555556] ; [16.35555556 31.64444444],0
a6,1,0.119072,2.429484,[57 30] ; [26 24],[52.7080292 34.2919708] ; [30.2919708 19.7080292],0
n5,1,0.162265,1.952993,[67 20] ; [33 17],[63.50364964 23.49635036] ; [36.49635036 13.50364964],0
s8,1,0.207109,1.591518,[38 49] ; [16 33],[34.54411765 52.45588235] ; [19.45588235 29.54411765],0
a3,1,0.213068,1.550457,[51 36] ; [34 15],[54.375 32.625] ; [30.625 18.375],0
p3,1,0.23849,1.3895,[33 54] ; [14 36],[29.84671533 57.15328467] ; [17.15328467 32.84671533],0
a2,1,0.255795,1.291373,[14 73] ; [12 38],[16.51094891 70.48905109] ; [ 9.48905109 40.51094891],0
s2,1,0.261594,1.2603,[39 46] ; [18 32],[35.88888889 49.11111111] ; [21.11111111 28.88888889],0
d2,1,0.275671,1.18831,[39 47] ; [27 22],[42.04444444 43.95555556] ; [23.95555556 25.04444444],0
s3,1,0.302287,1.06408,[39 46] ; [18 31],[36.15671642 48.84328358] ; [20.84328358 28.15671642],0
b5,1,0.337397,0.920299,[52 35] ; [34 16],[54.61313869 32.38686131] ; [31.38686131 18.61313869],0
r1,1,0.377737,0.778053,[62 25] ; [32 18],[59.69343066 27.30656934] ; [34.30656934 15.69343066],0
s7,1,0.378761,0.77472,[37 48] ; [16 29],[34.65384615 50.34615385] ; [18.34615385 26.65384615],0
