Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.593966,[25 25] ; [111  25],[36.55913978 13.44086022] ; [99.44086022 36.55913978],1
s7,1,2e-05,18.194143,[ 7 41] ; [64 64],[19.36363636 28.63636364] ; [51.63636364 76.36363636],1
d1,1,0.000618,11.721749,[ 9 42] ; [61 75],[19.09090909 31.90909091] ; [50.90909091 85.09090909],1
n6,1,0.000894,11.034971,[28 23] ; [107  28],[37.01612903 13.98387097] ; [97.98387097 37.01612903],1
p10,1,0.001411,10.191573,[23 28] ; [93 39],[32.32786885 18.67213115] ; [83.67213115 48.32786885],0
d5,1,0.00158,9.983308,[22 29] ; [93 43],[31.36363636 19.63636364] ; [83.63636364 52.36363636],0
s6,1,0.001587,9.9753,[14 37] ; [72 63],[23.58064516 27.41935484] ; [62.41935484 72.58064516],0
p3,1,0.002113,9.448656,[ 9 42] ; [56 78],[17.91891892 33.08108108] ; [47.08108108 86.91891892],0
v3,1,0.003021,8.79459,[ 9 41] ; [54 76],[17.5 32.5] ; [45.5 84.5],0
s8,1,0.004613,8.025223,[10 41] ; [57 79],[18.27272727 32.72727273] ; [48.72727273 87.27272727],0
p9,1,0.005578,7.681741,[27 23] ; [100  33],[34.69945355 15.30054645] ; [92.30054645 40.69945355],0
a5,1,0.015045,5.911174,[23 28] ; [88 48],[30.27272727 20.72727273] ; [80.72727273 55.27272727],0
p2,1,0.015419,5.867912,[28 23] ; [97 35],[34.83606557 16.16393443] ; [90.16393443 41.83606557],0
p6,1,0.025778,4.970855,[ 6 44] ; [36 94],[11.66666667 38.33333333] ; [30.33333333 99.66666667],0
d2,1,0.033382,4.526094,[15 36] ; [63 72],[21.38709677 29.61290323] ; [56.61290323 78.38709677],0
u3,1,0.037309,4.336232,[12 11] ; [12 33],[ 8.11764706 14.88235294] ; [15.88235294 29.11764706],0
d4,1,0.039078,4.25748,[26 24] ; [93 43],[31.98924731 18.01075269] ; [87.01075269 48.98924731],0
n1,1,0.062173,3.478462,[ 5 17] ; [20 23],[ 8.46153846 13.53846154] ; [16.53846154 26.46153846],0
n2,1,0.070867,3.26282,[18  5] ; [24 19],[14.63636364  8.36363636] ; [27.36363636 15.63636364],0
a4,1,0.074403,3.183117,[13 38] ; [53 81],[18.19459459 32.80540541] ; [47.80540541 86.19459459],0
s3,1,0.080685,3.051049,[18 33] ; [66 67],[23.2826087 27.7173913] ; [60.7173913 72.2826087],0
v2,1,0.099475,2.713948,[15 33] ; [58 71],[19.79661017 28.20338983] ; [53.20338983 75.79661017],0
p8,1,0.105309,2.623245,[15 36] ; [56 76],[19.78688525 31.21311475] ; [51.21311475 80.78688525],0
r1,1,0.105697,2.617411,[26 25] ; [87 49],[30.81818182 20.18181818] ; [82.18181818 53.81818182],0
a3,1,0.128388,2.311887,[28 23] ; [91 45],[32.45454545 18.54545455] ; [86.54545455 49.45454545],0
r3,1,0.145873,2.114881,[38 13] ; [114  22],[41.45454545  9.54545455] ; [110.54545455  25.45454545],0
b3,1,0.154323,2.028988,[ 7 19] ; [41 56],[10.14634146 15.85365854] ; [37.85365854 59.14634146],0
b2,1,0.154323,2.028988,[ 7 19] ; [41 56],[10.14634146 15.85365854] ; [37.85365854 59.14634146],0
r2,1,0.188502,1.729286,[39 12] ; [111  20],[42.03296703  8.96703297] ; [107.96703297  23.03296703],0
u2,1,0.195599,1.674933,[13 10] ; [18 27],[10.48529412 12.51470588] ; [20.51470588 24.48529412],0
s2,1,0.228312,1.451344,[14 36] ; [51 85],[17.47311828 32.52688172] ; [47.52688172 88.47311828],0
p5,1,0.3216,0.98243,[ 2 48] ; [ 11 123],[ 3.5326087 46.4673913] ; [  9.4673913 124.5326087],0
v1,1,0.335113,0.929039,[19 32] ; [60 73],[21.89673913 29.10326087] ; [57.10326087 75.89673913],0
u1,1,0.337594,0.919547,[ 1 50] ; [  7 129],[ 2.18181818 48.81818182] ; [  5.81818182 130.18181818],0
p4,1,0.386679,0.749361,[19 31] ; [60 73],[21.58469945 28.41530055] ; [57.41530055 75.58469945],0
r4,1,0.40777,0.685294,[32 19] ; [94 42],[34.36363636 16.63636364] ; [91.63636364 44.36363636],0
a2,1,0.485278,0.486979,[ 2 49] ; [  9 127],[ 3. 48.] ; [  8. 128.],0
d3,1,0.580832,0.304891,[18 33] ; [54 82],[19.63636364 31.36363636] ; [52.36363636 83.63636364],0
p11,1,0.603878,0.269186,[34 17] ; [96 40],[35.45454545 15.54545455] ; [94.54545455 41.45454545],0
s4,1,0.610311,0.259722,[ 5 46] ; [ 17 119],[ 6. 45.] ; [ 16. 120.],0
b5,1,0.611541,0.257937,[28 23] ; [69 67],[26.45454545 24.54545455] ; [70.54545455 65.45454545],0
p7,1,0.696,0.152667,[27 23] ; [67 65],[25.82417582 24.17582418] ; [68.17582418 63.82417582],0
s1,1,0.712928,0.13537,[ 2 49] ; [  7 127],[ 2.48108108 48.51891892] ; [  6.51891892 127.48108108],0
a8,1,0.730774,0.118402,[ 5 43] ; [ 11 115],[ 4.4137931 43.5862069] ; [ 11.5862069 114.4137931],0
b4,1,0.765261,0.08915,[26 25] ; [66 70],[25.09090909 25.90909091] ; [66.90909091 69.09090909],0
b1,1,0.765261,0.08915,[26 25] ; [66 70],[25.09090909 25.90909091] ; [66.90909091 69.09090909],0
a1,1,0.842228,0.039619,[ 3 48] ; [  7 129],[ 2.72727273 48.27272727] ; [  7.27272727 128.72727273],0
n3,1,0.885326,0.0208,[15  8] ; [26 15],[14.734375  8.265625] ; [26.265625 14.734375],0
v4,1,0.894142,0.017706,[41  9] ; [111  23],[41.30434783  8.69565217] ; [110.69565217  23.30434783],0
a6,1,0.927355,0.008313,[21 30] ; [55 81],[20.72727273 30.27272727] ; [55.27272727 80.72727273],0
